source,order,family,genus,specificEp,yearpub,PUBL,year,month,ANA,BAR,CAT,CLE,CRU,MIG,NIC,ROS
lit,,,Solenotus,sp.,1982,"Tech. Rep., Allan Hancock, USC",,,,,,x,,,,
lit,Acari,Acaridae,Tyrophagus,sp.,1993,Third Calif. Is. Symp.,,,,,x,,,,,
lit,Acari,Adamystidae,undetermined,sp.,1993,Third Calif. Is. Symp.,,,,,x,,,,,
lit,Acari,Ameroseiidae,Epicriopsis,nr. palustris,1993,Third Calif. Is. Symp.,,,,,x,,,,,
lit,Acari,Anystidae,nr. Bechsteinia,sp.,1993,Third Calif. Is. Symp.,,,,,x,,,,,
lit,Acari,Aphelacaridae,Aphelacarus,sp.,1993,Third Calif. Is. Symp.,,,,,x,,,,,
lit,Acari,Argasidae,Ornithodoros,megnini,1983,Pan-Pac. Ent.,,,,,,,,,,x
lit,Acari,Argasidae,Ornithodoros,megnini,1985,Bull. Calif. Insect Surv.,,,,,,,,,,x
lit,Acari,Argasidae,Ornithodoros,talaje,1908,Ticks: Mon. Ixodoides,,,,,,x,,,,
lit,Acari,Argasidae,Ornithodoros,talaje,1908,"U.S. Dept. Agr., Bur. Ent.",,,,,,x,,,,
lit,Acari,Argasidae,Ornithodoros,talaje,1921,Pom Coll. J. Ent. & Zool.,,,,,,x,,,,
lit,Acari,Argasidae,Ornithodoros,talaje,1939,Pan-Pac. Ent.,,,,,,x,,,,
lit,Acari,Argasidae,Ornithodoros,talaje,1985,Bull. Calif. Insect Surv.,,,,,,x,,,,
lit,Acari,Ascidae,Antennoseius,sp.,1993,Third Calif. Is. Symp.,,,,,x,,,,,
lit,Acari,Ascidae,Gamasellodes,sp.,1993,Third Calif. Is. Symp.,,,,,x,,,,,
lit,Acari,Ascidae,Iphidozercon,sp.,1993,Third Calif. Is. Symp.,,,,,x,,,,,
lit,Acari,Ascidae,Zerconopsis,sp.,1993,Third Calif. Is. Symp.,,,,,x,,,,,
lit,Acari,Bdellidae,Bdella,sp.,1993,Third Calif. Is. Symp.,,,,,x,,,,,
lit,Acari,Bimichaeliidae,undetermined,sp.,1993,Third Calif. Is. Symp.,,,,,x,,,,,
lit,Acari,Brachychthoniidae,Eobrachychtonius,sp.,1993,Third Calif. Is. Symp.,,,,,x,,,,,
lit,Acari,Brachychthoniidae,Poecilochthonius,sp.,1993,Third Calif. Is. Symp.,,,,,x,,,,,
lit,Acari,Brachychthoniidae,Sellnickochthonius,sp. (zelawaiensis grp.),1993,Third Calif. Is. Symp.,,,,,x,,,,,
lit,Acari,Caeculidae,Caeculus,sp.,1993,Third Calif. Is. Symp.,,,,,x,,,,,
lit,Acari,Caligonellidae,Caligonella,sp.,1993,Third Calif. Is. Symp.,,,,,x,,,,,
lit,Acari,Camerobiidae,Neophyllobius,sp.,1993,Third Calif. Is. Symp.,,,,,x,,,,,
lit,Acari,Camisiidae,Camisia,sp. (segnis grp.),1993,Third Calif. Is. Symp.,,,,,x,,,,,
lit,Acari,Ceratozetidae,Ceratozetes,new sp.,1993,Third Calif. Is. Symp.,,,,,x,,,,,
