record,source,order,family,acceptedFamily,genus,acceptedGenus,subgenus,specificEp,,scientificName,acceptedName,synSource,yearpub,PUBL,year,month,Anacapa,Santa Barbara,Santa Catalina,San Clemente,Santa Cruz,San Miguel,San Nicholas,Santa Rosa 
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Andrena,Andrena,,,,,,,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,1,,,
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Andrena,Andrena,,,,,,,1939,Proc. Calif. Acad. Sci. ser.4,,,,,1,,,,,
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Andrena,Andrena,,,,,,,1985,Ent. Calif. Ch. Isls. Proc.,,,,,1,,,,,1
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Andrena,Andrena,,,,,,,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,,1,,
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Andrena,Andrena,,,,,,,1985,Ent. Calif. Ch. Isls. Proc.,,,,,1,,,,,
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Andrena,Andrena,,,,,,,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,1,,,
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Andrena,Andrena,,,,,,,1985,Ent. Calif. Ch. Isls. Proc.,,,1,,,,1,,,
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Andrena,Andrena,Diandrena,gnaphalii,,Andrena gnaphalii,Andrena gnaphalii,Discover Life,1938,Ann. & Mag. Nat. Hist.,1938,3,,,1,,,,,
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Andrena,Andrena,Diandrena,gnaphalii,,Andrena gnaphalii,Andrena gnaphalii,Discover Life,1938,Ann. & Mag. Nat. Hist. ser. 11,,,,,1,,,,,
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Andrena,Andrena,Diandrena,gnaphalii,,Andrena gnaphalii,Andrena gnaphalii,Discover Life,1939,Proc. Calif. Acad. Sci. ser.4,,,,,1,,,,,
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Andrena,Andrena,Diandrena,gnaphalii,,Andrena gnaphalii,Andrena gnaphalii,Discover Life,1969,Univ. Calif. Publ. Ent.,,,,,1,,,,,
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Andrena,Andrena,Diandrena,gnaphalii,,Andrena gnaphalii,Andrena gnaphalii,Discover Life,1985,Ent. Calif. Ch. Isls. Proc.,,,,,1,,,,,
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Andrena,Andrena,Diandrena,submoesta,,Andrena submoesta,Andrena submoesta,Discover Life,1985,Ent. Calif. Ch. Isls. Proc.,1979,3,1,,,,,,,
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Andrena,Andrena,Diandrena,submoesta,,Andrena submoesta,Andrena submoesta,Discover Life,1985,Ent. Calif. Ch. Isls. Proc.,,,1,1,,1,,1,1,
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Andrena,Andrena,Euandrena,auricoma,,Andrena auricoma,Andrena auricoma,Discover Life,1938,Ann. & Mag. Nat. Hist.,1938,3,,,1,,,,,
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Andrena,Andrena,Euandrena,auricoma,,Andrena auricoma,Andrena auricoma,Discover Life,1939,Proc. Calif. Acad. Sci. ser.4,,,,,1,,,,,
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Andrena,Andrena,Euandrena,auricoma,,Andrena auricoma,Andrena auricoma,Discover Life,1975,Trans. Amer. Ent. Soc.,,,,,,,1,,,
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Andrena,Andrena,Euandrena,auricoma,,Andrena auricoma,Andrena auricoma,Discover Life,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,,,,1
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Andrena,Andrena,Euandrena,caerulea,,Andrena caerulea,Andrena caerulea,Discover Life,1939,Proc. Calif. Acad. Sci. ser.4,,,,,,,,1,,
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Andrena,Andrena,Euandrena,caerulea,,Andrena caerulea,Andrena caerulea,Discover Life,1975,Trans. Amer. Ent. Soc.,,,,,,,1,,,
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Andrena,Andrena,Euandrena,caerulea,,Andrena caerulea,Andrena caerulea,Discover Life,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,1,,,1
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Andrena,Andrena,Euandrena,chlorura,,Andrena chlorura,Andrena chlorura,Discover Life,1940,Bull. S. Calif. Acad. Sci.,,,,,,1,,,,
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Andrena,Andrena,Euandrena,chlorura,,Andrena chlorura,Andrena chlorura,Discover Life,1941,Bull. S. Calif. Acad. Sci.,,,,,,1,,,,
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Andrena,Andrena,Euandrena,chlorura,,Andrena chlorura,Andrena chlorura,Discover Life,1975,Trans. Amer. Ent. Soc.,,,,,,1,,,,
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Andrena,Andrena,Euandrena,chlorura,,Andrena chlorura,Andrena chlorura,Discover Life,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,,,,
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Andrena,Andrena,Euandrena,escondida,,Andrena escondida,Andrena escondida,Discover Life,1938,Ann. & Mag. Nat. Hist.,1938,3,,,1,,,,,
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Andrena,Andrena,Euandrena,escondida,,Andrena escondida,Andrena escondida,Discover Life,1938,Ann. & Mag. Nat. Hist. ser. 11,,,,,1,,,,,
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Andrena,Andrena,Euandrena,escondida,,Andrena escondida,Andrena escondida,Discover Life,1939,Proc. Calif. Acad. Sci. ser.4,,,,,1,,,,,
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Andrena,Andrena,Euandrena,escondida,,Andrena escondida,Andrena escondida,Discover Life,1941,Trans. S. Diego Soc. Nat. Hist,,,,,1,,,,,
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Andrena,Andrena,Euandrena,escondida,,Andrena escondida,Andrena escondida,Discover Life,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,,,,
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Andrena,Andrena,Euandrena,nigrocaerulea,,Andrena nigrocaerulea,Andrena nigrocaerulea,Discover Life,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,1,,,
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Andrena,Andrena,Euandrena,,,,,,1985,Ent. Calif. Ch. Isls. Proc.,,,,,1,,,,,
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Andrena,Andrena,Euandrena,suavis,,Andrena suavis,Andrena suavis,Discover Life,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,1,,,
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Andrena,Andrena,(Hesperandrena),baeriae,,Andrena baeriae,Andrena baeriae,Discover Life,1939,Proc. Calif. Acad. Sci. ser.4,,,,,1,,,,,
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Andrena,Andrena,(Hesperandrena),baeriae,,Andrena baeriae,Andrena baeriae,Discover Life,1941,Bull. S. Calif. Acad. Sci.,,,,,1,,,,,
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Andrena,Andrena,(Melandrena),cerasifolii,,Andrena cerasifolii,Andrena cerasifolii,Discover Life,1938,Ann. & Mag. Nat. Hist.,1938,3,,,1,,,,,
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Andrena,Andrena,(Melandrena),cerasifolii,,Andrena cerasifolii,Andrena cerasifolii,Discover Life,1939,Proc. Calif. Acad. Sci. ser.4,,,,,1,,,,,
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Andrena,Andrena,(Melandrena),cerasifolii,,Andrena cerasifolii,Andrena cerasifolii,Discover Life,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,,,,
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Andrena,Andrena,(Melandrena),meadowsi,,Andrena meadowsi,Andrena perimelas,Discover Life,NA,,,,,,,,,,,
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Andrena,Andrena,(Melandrena),perimelas,,Andrena perimelas,Andrena perimelas,Discover Life,1938,Ann. & Mag. Nat. Hist. ser. 11,,,,,1,,,,,
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Andrena,Andrena,(Melandrena),perimelas,,Andrena perimelas,Andrena perimelas,Discover Life,1939,Proc. Calif. Acad. Sci. ser.4,,,,,1,,,,,
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Andrena,Andrena,(Melandrena),perimelas,,Andrena perimelas,Andrena perimelas,Discover Life,1979,Trans. Amer. Ent. Soc.,,,,,1,,1,1,,
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Andrena,Andrena,(Melandrena),perimelas,,Andrena perimelas,Andrena perimelas,Discover Life,1985,Ent. Calif. Ch. Isls. Proc.,1979,3,1,,,,,,,
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Andrena,Andrena,(Melandrena),perimelas,,Andrena perimelas,Andrena perimelas,Discover Life,1985,Ent. Calif. Ch. Isls. Proc.,,,1,,1,,1,1,,
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Andrena,Andrena,(Melandrena),sola,,Andrena sola,Andrena sola,Discover Life,1979,Trans. Amer. Ent. Soc.,,,,,,,1,,,
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Andrena,Andrena,(Melandrena),sola,,Andrena sola,Andrena sola,Discover Life,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,1,,,1
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Andrena,Andrena,(Melandrena),,,,,,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,1,,,
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Andrena,Andrena,(Micrandrena),chlorogaster,,Andrena chlorogaster,Andrena chlorogaster,Discover Life,1939,Pom. Coll. J. Ent. & Zool.,,,,,1,,,,,
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Andrena,Andrena,(Micrandrena),chlorogaster,,Andrena chlorogaster,Andrena chlorogaster,Discover Life,1939,Proc. Calif. Acad. Sci. ser.4,,,,,1,,,,,
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Andrena,Andrena,(Micrandrena),chlorogaster,,Andrena chlorogaster,Andrena chlorogaster,Discover Life,1951,Proc. U.S. Natl. Mus.,,,,,1,,,,,
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Andrena,Andrena,(Micrandrena),chlorogaster,,Andrena chlorogaster,Andrena chlorogaster,Discover Life,1968,Bull. Univ. Nebr. State Mus.,,,,,1,,,,,
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Andrena,Andrena,(Micrandrena),chlorogaster,,Andrena chlorogaster,Andrena chlorogaster,Discover Life,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,1,,,
