group_forR,source,acceptedClass,acceptedOrder,acceptedFamily,scientificName,acceptedName,commonName,Endemic,Island(s),Rare,Notes
acari,Miller_1985,Arachnida,Acari,Ixodidae,Ixodes peromysci,Ixodes peromysci,Channel Islands Deer Mouse Tick,X,"SBI, AI, SCLI",,
acari,Miller_1985,Arachnida,Acari,Laelapidae,Poecilochirus pilosula,Laelaps pilosula,Santa Rosa Island Parasite Mite,X,SRI,,
acari,Miller_1985,Arachnida,Acari,Microtrombidiidae,Rhyncolophus angustipes,Microtrombidium augustipes,Santa Rosa Island Micro Velvet Mite,X,SRI,,
aran,Miller_1985,Arachnida,Araneae,Agelenidae,Rualena alleni,Rualena alleni,San Nicolas Island Funnel-weaver Spider,X,SNI,,
aran,Miller_1985,Arachnida,Araneae,Agelenidae,Rualena cockerelli,Rualena cockerelli,San Miguel Island Funnel Weaver Spider,X,SMI,,
aran,Miller_1985,Arachnida,Araneae,Agelenidae,Rualena cruzana,Rualena cruzana,Santa Cruz Island Funnel Weaver Spider,X,SCRI,,
aran,Miller_1985,Arachnida,Araneae,Gnaphosidae,Drassyllus barbus,Drassyllus barbus,Santa Barbara Island Ground Spider,X,SBI,,
aran,Miller_1985,Arachnida,Araneae,Gnaphosidae,Zelotes cruz,Zelotes cruz,Channel Islands Ground Spider,X,"SCRI, AI, SBI",,
aran,Miller_1985,Arachnida,Araneae,Segestriidae,Segestria cruzana,Citharoceps cruzana,Santa Cruz Island Tube-dwelling Spider,X,SCRI,,
aran,Miller_1985,Arachnida,Araneae,Zodariidae,Lutica clementea,Lutica clementea,San Clemente Island Dune Spider,X,SCLI,,
aran,Miller_1985,Arachnida,Araneae,Zodariidae,Lutica nicolasia,Lutica nicolasia,San Nicolas Island Dune Spider,X,SNI,,
,Miller_1985,Insecta,Coleoptera,Anobiidae,Euvrilletta catalinae,Euvrilletta catalinae,Catalina Island Death Watch Beetle,X,SCAI,,Oligomerodes catalinae SYN
,Miller_1985,Insecta,Coleoptera,Anobiidae,Xarifa insularis,Xarifa insularis,Southern Island Death Watch Beetle,X,"SCAI, SCLI",,
,Miller_1985,Insecta,Coleoptera,Cantharidae,Cantharis hatchi dorothyae,Cantharis hatchi dorothyae,Catalina Island Soldier Beetle,X,SCAI,,in iNat; not in species list in DL; GBIF doesn't list species
,Miller_1985,Insecta,Coleoptera,Carabidae,Amara insularis,Amara insularis,San Clemente Island Sun Beetle,X,SCLI,,
,Miller_1985,Insecta,Coleoptera,Carabidae,Pterostichus gliscans,Pterostichus gliscans,San Clemente Island Ground Beetle,X,SCLI,,
,Miller_1985,Insecta,Coleoptera,Chrysomelidae,Colaspidea subvittata,Colaspidea subvittata,Channel Islands Leaf Beetle,X,"SCAI, SCLI",,Can't find in online databases
,Miller_1985,Insecta,Coleoptera,Coccinelidae,Scymnus falli,Scymnus falli,Channel Islands Dusky Ladybug,X,"SCRI, SRI, SBI",,
,Miller_1985,Insecta,Coleoptera,Curculionidae,Sciopithes insularis,Sciopithes insularis,San Clemente Island Broad-nosed Weevil,X,SCLI,,
,catalinaconservancy,Insecta,Coleoptera,Curculionidae,Trigonoscuta catalina,Trigonoscuta catalina,Catalina Island Broad-Nosed Weevil,X,SCAI,,
,Miller_1985,Insecta,Coleoptera,Latridiidae,Melanophthalma insularis,Melanophthalma insularis,San Clemente Island Fungus Beetle,X,SCLI,,
