source,order,family,genus,specificEp,scientificName,yearpub,PUBL,year,month,ANA,BAR,CAT,CLE,CRU,MIG,NIC,ROS
lit,,,Solenotus,sp.,Solenotus sp.,1982,"Tech. Rep., Allan Hancock, USC",,,,,,x,,,,
lit,Acari,Acaridae,Tyrophagus,sp.,Tyrophagus sp.,1993,Third Calif. Is. Symp.,,,,,x,,,,,
lit,Acari,Adamystidae,undetermined,sp.,undetermined sp.,1993,Third Calif. Is. Symp.,,,,,x,,,,,
lit,Acari,Ameroseiidae,Epicriopsis,nr. palustris,Epicriopsis nr. palustris,1993,Third Calif. Is. Symp.,,,,,x,,,,,
lit,Acari,Anystidae,nr. Bechsteinia,sp.,nr. Bechsteinia sp.,1993,Third Calif. Is. Symp.,,,,,x,,,,,
lit,Acari,Aphelacaridae,Aphelacarus,sp.,Aphelacarus sp.,1993,Third Calif. Is. Symp.,,,,,x,,,,,
lit,Acari,Argasidae,Ornithodoros,megnini,Ornithodoros megnini,1983,Pan-Pac. Ent.,,,,,,,,,,x
lit,Acari,Argasidae,Ornithodoros,megnini,Ornithodoros megnini,1985,Bull. Calif. Insect Surv.,,,,,,,,,,x
lit,Acari,Argasidae,Ornithodoros,talaje,Ornithodoros talaje,1908,Ticks: Mon. Ixodoides,,,,,,x,,,,
lit,Acari,Argasidae,Ornithodoros,talaje,Ornithodoros talaje,1908,"U.S. Dept. Agr., Bur. Ent.",,,,,,x,,,,
lit,Acari,Argasidae,Ornithodoros,talaje,Ornithodoros talaje,1921,Pom Coll. J. Ent. & Zool.,,,,,,x,,,,
lit,Acari,Argasidae,Ornithodoros,talaje,Ornithodoros talaje,1939,Pan-Pac. Ent.,,,,,,x,,,,
lit,Acari,Argasidae,Ornithodoros,talaje,Ornithodoros talaje,1985,Bull. Calif. Insect Surv.,,,,,,x,,,,
lit,Acari,Ascidae,Antennoseius,sp.,Antennoseius sp.,1993,Third Calif. Is. Symp.,,,,,x,,,,,
lit,Acari,Ascidae,Gamasellodes,sp.,Gamasellodes sp.,1993,Third Calif. Is. Symp.,,,,,x,,,,,
lit,Acari,Ascidae,Iphidozercon,sp.,Iphidozercon sp.,1993,Third Calif. Is. Symp.,,,,,x,,,,,
lit,Acari,Ascidae,Zerconopsis,sp.,Zerconopsis sp.,1993,Third Calif. Is. Symp.,,,,,x,,,,,
lit,Acari,Bdellidae,Bdella,sp.,Bdella sp.,1993,Third Calif. Is. Symp.,,,,,x,,,,,
