source,order,acceptedOrder,family,acceptedFamily,genus,acceptedGenus,scientificName,acceptedName,AUTHOR,YRPUBL,PUBL,VOL,PG,PG2,Anacapa,Santa Barbara,Santa Catalina,San Clemente,Santa Cruz,San Miguel,San Nicholas,Santa Rosa,month,year,NOTES
literature,Acari,Acari,Ixodidae,Ixodidae,Ixodes,Ixodes,Ixodes pacificus,Ixodes pacificus,Crooks,2001,Journal of Wildlife Diseases,37,189,-193,,,,,x,,,,,,
literature,Araneae,Araneae,Agelenidae,Agelenidae,Rualena,Rualena,Rualena alleni,Rualena alleni,SNI report,,,,,,,,,,,,x,,,,prob SNI endemic
literature,Araneae,Araneae,Agelenidae,Agelenidae,Rualena,Rualena,Rualena cruzana,Rualena cruzana,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,ENDEMIC
literature,Araneae,Araneae,Agelenidae,Agelenidae,Hololena,Hololena,Hololena,,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Agelenidae,Agelenidae,Rualena,Rualena,Rualena,,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Anyphaenidae,Anyphaenidae,Lupettiana,Lupettiana,Lupettiana mordax,Lupettiana mordax,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Anyphaenidae,Anyphaenidae,Anyphaena,Anyphaena,Anyphaena,,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Araneidae,Araneidae,Araneus,Araneus,Araneus montereyensis,Araneus montereyensis,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Araneidae,Araneidae,Araniella,Araniella,Araniella displicata,Araniella displicata,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
literature,Araneae,Araneae,Araneidae,Araneidae,Argiope,Argiope,Argiope argentata,Argiope argentata,Carratt & Ramirez,2015,Arachnology,16,314,-318,,,x,,,,,,,,
literature,Araneae,Araneae,Araneidae,Araneidae,Metepeira,Metepeira,Metepeira grinnelli,Metepeira grinnelli,Naughton,2014,Monographs of the Western North American Naturalist,7,297,-305,,,,,x,,,,,,
