"","Var1","Freq"
"1","Adelidae",218
"2","Alucitidae",2
"3","Autostichidae",3
"4","Bedelliidae",8
"5","Blastobasidae",11
"6","Bucculatricidae",2
"7","Carposinidae",5
"8","Choreutidae",1
"9","Coleophoridae",22
"10","Cosmopterigidae",5
"11","Cossidae",11
"12","Crambidae",846
"13","Depressariidae",68
"14","Elachistidae",2
"15","Erebebidae",1
"16","Erebidae",1308
"17","Euteliidae",2
"18","Gelechiidae",500
"19","Geometridae",1080
"20","Gracillariidae",37
"21","Heliodinidae",1
"22","Hesperiidae",363
"23","Lasiocampidae",14
"24","Lycaenidae",1232
"25","Momphidae",1
"26","Nepticulidae",15
"27","Noctuidae",913
"28","Nolidae",5
"29","Notodontidae",103
"30","Nymphalidae",509
"31","Oecophoridae",9
"32","Papilionidae",73
"33","Pieridae",229
"34","Plutellidae",128
"35","Prodoxidae",1
"36","Pterophoridae",54
"37","Pyralidae",275
"38","Saturniidae",19
"39","Schreckensteiniidae",1
"40","Scythrididae",5
"41","Sesiidae",23
"42","Sphingidae",239
"43","Tineidae",208
"44","Tischeriidae",3
"45","Tortricidae",390
"46","Ypsolophidae",1
