source,id,institutio,collection,ownerInsti,collecti_1,basisOfRec,occurrence,catalogNum,otherCatal,kingdom,phylum,class,order_,family,acceptedFamily,scientific,acceptedName,taxonID,scientif_1,genus,acceptedGenus,specificEp,taxonRank,infraspeci,identified,dateIdenti,identifica,identifi_1,taxonRemar,identifi_2,typeStatus,recordedBy,recordNumb,eventDate,year,month,day,startDayOf,endDayOfYe,verbatimEv,occurren_1,habitat,fieldNumbe,informatio,dataGenera,dynamicPro,associated,reproducti,establishm,lifeStage,sex,individual,samplingPr,samplingEf,preparatio,country,stateProvi,county,municipali,island,locality,ArcMap_IslandNames,locationRe,decimalLat,decimalLon,geodeticDa,coordinate,verbatimCo,georeferen,georefer_1,georefer_2,georefer_3,georefer_4,minimumEle,maximumEle,minimumDep,maximumDep,verbatimDe,verbatimEl,dispositio,language,recordEnte,modified,rights,rightsHold,accessRigh,recordId,references
Cal-IBIS,1554554,ASU,ASUHIC, ,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,5877d433-b56d-4f12-b377-bb9dd5da305f,ASUHIC0023298, , , , , , ,,Gelechioidea,,16981,"Stainton, 1854", ,, , , ,R. Leuschner,1989, , , , , ,Collector unknown, ,7/25/64,1964,7,25,207,0,7/25/64, , , , , , , , , , , ,0, , , ,United States,California,Santa Barbara County, ,Anacapa,"Frenchy's Cove, West Anacapa Island",Anacapa, ,34.01096,-119.434006,WGS84,50, ,Catherine Mercado, ,Google Earth,requires verification, ,0, , , , , , , ,camercad,8/11/15 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:1c392160-3efc-482b-8c63-10228b67326a,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1554554
Cal-IBIS,1568465,SBMNH,SBMNHENT, ,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,380b78fe-d7c4-4f4b-99c9-bd3a681a5c8e,SBMNHENT0116452, ,Animalia,Arthropoda,Insecta,Lepidoptera, ,,Lepidoptera,,16681,"Linnaeus, 1758", ,, , , , , , , , , , ,Richard L. Doutt, ,9/22/92,1992,9,22,266,0,"gall 22-IX-92, em 12-II-93", , , , , , ,Quercus macdonaldii, , ,adult, ,1, , ,pinned,United States,California,Santa Barbara, ,Santa Cruz,Santa Cruz Island,Santa Cruz, ,34.016667,-119.716667,WGS84,20653, , , ,GeoLocate, , ,0, , , , , , , ,entan,1/9/20 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:588de6a8-82d8-4463-9cc0-1140f06ea49c,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1568465
Cal-IBIS,1574831,UCSB,IZC, ,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,9c8b67b5-25bf-45b0-acdf-8fcd43fe836b,UCSB-IZC00032808, ,Animalia,Arthropoda,Insecta,Lepidoptera, ,,Lepidoptera,,16681,"Linnaeus, 1758", ,, , , , , , , , , , ,Chaz, ,3/30/89,1989,3,30,89,0,30-Mar-89,blu light, , , , , , , , ,Adult, ,1, , ,pinned,United States,California,Santa Barbara, ,Santa Cruz,Santa Cruz Island,Santa Cruz, ,33.998239,-119.725508,WGS84,20600, ,entan (2019-09-19 15:25:08), ,georef batch tool 2019-09-19; GeoLocate,reviewed - high confidence, ,0, , , , , , , ,SandyCui,2/7/20 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:a279e5f3-f4e8-448b-b397-189bbdcaa701,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1574831
Cal-IBIS,1568464,SBMNH,SBMNHENT, ,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,a6c6565b-19c1-4a40-86f8-fe4dd64e258d,SBMNHENT0116451, ,Animalia,Arthropoda,Insecta,Lepidoptera, ,,Lepidoptera,,16681,"Linnaeus, 1758", ,, , , , , , , , , , ,Richard L. Doutt, ,9/22/92,1992,9,22,266,0,"gall 22-IX-92, em 12-II-93", , , , , , ,Quercus macdonaldii, , ,adult, ,1, , ,pinned,United States,California,Santa Barbara, ,Santa Cruz,Santa Cruz Island,Santa Cruz, ,34.016667,-119.716667,WGS84,20653, , , ,GeoLocate, , ,0, , , , , , , ,entan,1/9/20 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:a4e55ddd-78b2-4798-b62a-df1e76b9418d,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1568464
Cal-IBIS,1568383,SBMNH,SBMNHENT, ,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,ba0db5d2-fcbe-438f-87da-d6c5f7d919ef,SBMNHENT0115680, ,Animalia,Arthropoda,Insecta,Lepidoptera, ,,Lepidoptera,,16681,"Linnaeus, 1758", ,, , , , , , , , , , ,Richard L. Doutt, ,9/21/92,1992,9,21,265,0,21-IX-1992,moth associated with gall, , , , , ,Quercus dumosa, , ,adult, ,1, , ,pinned,United States,California,Santa Barbara, ,Santa Cruz,Santa Cruz Island,Santa Cruz, ,34.016667,-119.716667,WGS84,20653, , , ,GeoLocate, , ,0, , , , , , , ,entan,1/9/20 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:a136e6e1-e2eb-4a53-a6f1-449309d75f70,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1568383
Cal-IBIS,1574833,UCSB,IZC, ,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,e046d9c9-e689-4278-8ee4-82ce317e6ff0,UCSB-IZC00032094, ,Animalia,Arthropoda,Insecta,Lepidoptera, ,,Lepidoptera,,16681,"Linnaeus, 1758", ,, , , , , , , , , , ,Chaz, ,3/30/89,1989,3,30,89,0,30-Mar-89,Blu light, , , , , , , , ,Adult, ,1, , ,pinned,United States,California,Santa Barbara, ,Santa Cruz,Santa Cruz Island,Santa Cruz, ,33.998239,-119.725508,WGS84,20600, ,entan (2019-09-19 15:25:08), ,georef batch tool 2019-09-19; GeoLocate,reviewed - high confidence, ,0, , , , , , , ,SandyCui,2/7/20 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:ec84b313-eec2-4b5a-a97c-970e0eb9d097,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1574833
Cal-IBIS,1568466,SBMNH,SBMNHENT, ,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,e6f8e069-f27f-42a0-8965-6f8739bceea6,SBMNHENT0116453, ,Animalia,Arthropoda,Insecta,Lepidoptera, ,,Lepidoptera,,16681,"Linnaeus, 1758", ,, , , , , , , , , , ,Richard L. Doutt, ,9/22/92,1992,9,22,266,0,"gall 22-IX-92, em 12-II-93", , , , , , ,Quercus macdonaldii, , ,adult, ,1, , ,pinned,United States,California,Santa Barbara, ,Santa Cruz,Santa Cruz Island,Santa Cruz, ,34.016667,-119.716667,WGS84,20653, , , ,GeoLocate, , ,0, , , , , , , ,entan,1/9/20 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:72c75e47-3b10-4a9e-b2b8-51892b87216c,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1568466
Cal-IBIS,2077733,GBIF,ARTH, ,8057914d-70e4-4cc3-842d-dbbdebde837d,MATERIAL_SAMPLE,http://bins.boldsystems.org/index.php/Public_RecordView?processid=LNAUT246-14,USNM ENT 00907692, ,Animalia,Arthropoda,Insecta,Lepidoptera,Arctiidae,Erebidae,Crambidia suffusa,Crambidia suffusa,146043,"Barnes and McDunnough, 1912",Crambidia,Crambidia,suffusa, , , , , , , , , ,D.Meadows, ,10/18/31,1931,10,18,291,0,1931-10-18T00:00:00,Smithsonian Institution National Museum of Natural History, , , , , , , , , , ,0, , ,Tissue,United States,California, , ,Santa Catalina,"Los Angeles County, Santa Catalina Island, Avalon",Santa Catalina, ,33.3379,-118.33, ,0, , , ,Google Earth, , ,0, , , , , , ,en, ,1/22/21 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:d14ef390-11e0-4a46-8e44-2bdb83adcdcc,http://www.cal-ibis.org:80/collections/individual/index.php?occid=2077733
Cal-IBIS,1561284,SDNHM,SDMC, ,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,7b974351-f445-482a-b787-d738d9c3fca0,SDNHM123771, ,Animalia,Arthropoda,Insecta,Lepidoptera,Blastobasidae,Blastobasidae,Blastobasidae,,917958,"Meyrick, 1894", ,, , , , , , , , , , ,Faulkner, ,4/10/81,1981,4,10,100,0,10-Apr-81, , , , , , , , , ,Adult, ,0, , ,Pinned,United States,California,Los Angeles, ,San Clemente,"San Clemente Island, Wilson Cove",San Clemente, ,33.006852,-118.559746, ,1000, ,cmojica (2020-06-09 18:34:14), ,georef batch tool 2020-06-09; GeoLocate,reviewed - high confidence,Marker placed at cove center on shore. Uncertainty extends a 1000 m radius to include all cove area and immediate shoreline.,0, , , , , , , ,cmojica,6/9/20 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:3f637040-608a-4ea6-95ec-e36332239632,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1561284
Cal-IBIS,1575133,UCSB,IZC, ,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,07003aa7-139d-4763-a7a7-3a0090a42905,UCSB-IZC00006089, ,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Crambidae,Pyraustinae,,38551, , ,, , , ,Pamela Horsley,2018, , , , , , , ,1974-05-00,1974,5,0,0,0,May-74, , , , , , , , , , , ,1, , ,Pinned,United States,California,Santa Barbara, ,Santa Cruz,Santa Cruz Island,Santa Cruz, ,34.008126,-119.724201,WGS84,20754, ,rbehm (2018-09-17 15:29:17), ,georef batch tool 2018-09-17; GeoLocate,reviewed - high confidence, ,0, , , , , , , ,phorsley,2/7/20 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:dbccf466-f6c9-4c77-b879-305b714efec2,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1575133
