iconic,Family
butterfly,Nymphalidae
butterfly,Lycaenidae
butterfly,Morphidae
butterfly,Pieridae
butterfly,Papilionidae
moth,Psychidae
moth,Cossidae
moth,Sesiidae
moth,Zygaenidae
moth,Gelechiidae
moth,Geomtridae
moth,Sphingidae
moth,Tortricidae
moth,Nepticulidae
moth,Noctuidae
moth,Pterophoridae
moth,Notodontidae
moth,Pyralidae
moth,Saturniidae
moth,Limacodidae
moth,Hepialidae
moth,Arctiidae
moth,Lasiocamipdae
moth,Tineidae
moth,Lymantriidae
moth,Thyrididae
butterfly,Hesperiidae
moth,Adelidae
moth,Cecidosidae
moth,Heliozelidae
moth,Incurvariidae
moth,Prodoxidae
moth,Autostichidae
moth,Bedelliidae
moth,Blastobasidae
moth,Coleophoridae
moth,Cosmopterigidae
moth,Elachistidae
moth,Momphidae
moth,Oecophoridae
moth,Bucculatricidae
moth,Carposinidae
moth,Choreutidae
moth,Crambidae
moth,Depressariidae
moth,Erebebidae
moth,Erebidae
moth,Euteliidae
moth,Gracillariidae
moth,Heliodinidae
moth,Lasiocampidae
moth,Nolidae
moth,Plutellidae
moth,Prodoxidae
moth,Schreckensteiniidae
moth,Scythrididae
moth,Tischeriidae
moth,Ypsolophidae
moth,Alucitidae
