record,source,place_guess,island,latitude,longitude,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,acceptedName,common_name,iconic_taxon_name,taxon_id,taxon_order_name,taxon_family_name,acceptedFamily,taxon_genus_name,acceptedGenus,taxon_species_name,taxon_subspecies_name,id,month,year,time_observed_at_date,time_observed_at_time,time_obs_3,time_zone,user_login,created_at,updated_at,quality_grade,license,url,image_url,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id
occurrence,iNaturalist,"Channel Islands National Park, CA, US",Santa Cruz,34.00894063,-119.7567505,1598,1598,,,FALSE,,,Three-striped Longhorn,Adela trigrapha,Adela trigrapha,Three-striped Longhorn,Insecta,57722,Lepidoptera,Adelidae,Adelidae,Adela,Adela,Adela trigrapha,,42203706,4,2020,4/14/20,23:43:17,300,Pacific Time (US & Canada),zccas,2020-04-15 03:07:26 +0300,2020-05-04 00:22:12 +0300,research,CC-BY-NC,https://www.inaturalist.org/observations/42203706,https://inaturalist-open-data.s3.amazonaws.com/photos/66997217/medium.jpg?1586909251,2,0,FALSE,3
occurrence,iNaturalist,"Santa Barbara County, CA, USA",Santa Cruz,34.030275,-119.7898583,,,,,FALSE,,,Three-striped Longhorn,Adela trigrapha,Adela trigrapha,Three-striped Longhorn,Insecta,57722,Lepidoptera,Adelidae,Adelidae,Adela,Adela,Adela trigrapha,,13136045,4,2018,4/20/18,22:56:00,300,Pacific Time (US & Canada),silversea_starsong,2018-06-05 08:53:51 +0300,2018-06-05 09:14:49 +0300,research,CC-BY-NC,https://www.inaturalist.org/observations/13136045,https://inaturalist-open-data.s3.amazonaws.com/photos/19156182/medium.jpeg?1528178023,1,0,FALSE,
occurrence,iNaturalist,"Santa Barbara County, CA, USA",Santa Cruz,34.029235,-119.7885817,,,,,FALSE,,,Three-striped Longhorn,Adela trigrapha,Adela trigrapha,Three-striped Longhorn,Insecta,57722,Lepidoptera,Adelidae,Adelidae,Adela,Adela,Adela trigrapha,,15021941,4,2018,4/20/18,23:15:00,300,Pacific Time (US & Canada),silversea_starsong,2018-08-01 21:04:53 +0300,2018-08-06 18:41:07 +0300,research,CC-BY-NC,https://www.inaturalist.org/observations/15021941,https://inaturalist-open-data.s3.amazonaws.com/photos/22416988/medium.jpeg?1533146604,2,0,FALSE,
occurrence,iNaturalist,"Santa Cruz Island Reserve, Channel Islands National Park, Channel Islands, Santa Barbara, UC Natural Reserve System, California, United States",Santa Cruz,34.00534167,-119.759525,,,,,FALSE,,,Three-striped Longhorn,Adela trigrapha,Adela trigrapha,Three-striped Longhorn,Insecta,57722,Lepidoptera,Adelidae,Adelidae,Adela,Adela,Adela trigrapha,,70183811,4,2019,4/11/19,23:45:00,300,Pacific Time (US & Canada),silversea_starsong,2021-02-26 07:43:22 +0300,2021-03-02 12:22:11 +0300,research,CC-BY-NC,https://www.inaturalist.org/observations/70183811,https://inaturalist-open-data.s3.amazonaws.com/photos/114039071/medium.jpeg?1614311473,1,0,FALSE,
occurrence,iNaturalist,"Avalon, CA 90704, USA",Santa Catalina,33.3428193,-118.3282279,2403,2403,,,FALSE,,,Montana Six-plume Moth,Alucita montana,Alucita montana,Montana Six-plume Moth,Insecta,213109,Lepidoptera,Alucitidae,Alucitidae,Alucita,Alucita,Alucita montana,,5255015,,,,,,Pacific Time (US & Canada),psyllidhipster,2017-03-09 06:35:00 +0300,2020-09-25 02:27:32 +0300,research,CC-BY-NC,https://www.inaturalist.org/observations/5255015,https://inaturalist-open-data.s3.amazonaws.com/photos/6502449/medium.jpg?1489028708,1,0,FALSE,
occurrence,iNaturalist,"Avalon, CA 90704, USA",Santa Catalina,33.34583075,-118.3347511,1589,1589,,,FALSE,,,Glyphidocera septentrionella,Glyphidocera septentrionella,Glyphidocera septentrionella,,Insecta,220440,Lepidoptera,Autostichidae,Autostichidae,Glyphidocera,Glyphidocera,Glyphidocera septentrionella,,5253052,7,2014,7/5/14,4:33:00,400,Pacific Time (US & Canada),psyllidhipster,2017-03-09 02:26:04 +0300,2017-05-02 21:58:40 +0300,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/5253052,https://inaturalist-open-data.s3.amazonaws.com/photos/6498957/medium.jpg?1489009084,0,0,FALSE,
occurrence,iNaturalist,"Avalon, CA 90704, USA",Santa Catalina,33.34583075,-118.3347511,1589,1589,,,FALSE,,,Glyphidocera septentrionella,Glyphidocera septentrionella,Glyphidocera septentrionella,,Insecta,220440,Lepidoptera,Autostichidae,Autostichidae,Glyphidocera,Glyphidocera,Glyphidocera septentrionella,,5253139,7,2014,7/10/14,5:53:00,400,Pacific Time (US & Canada),psyllidhipster,2017-03-09 02:27:14 +0300,2017-05-02 21:58:48 +0300,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/5253139,https://inaturalist-open-data.s3.amazonaws.com/photos/6499066/medium.jpg?1489009253,0,0,FALSE,
occurrence,iNaturalist,"Avalon, CA 90704, USA",Santa Catalina,33.34583075,-118.3347511,1589,1589,,,FALSE,,,Symmoca signatella,Symmoca signatella,Symmoca signatella,,Insecta,363635,Lepidoptera,Autostichidae,Autostichidae,Symmoca,Symmoca,Symmoca signatella,,5253073,7,2014,7/7/14,5:17:00,400,Pacific Time (US & Canada),psyllidhipster,2017-03-09 02:26:28 +0300,2019-09-17 13:19:30 +0300,research,CC-BY-NC,https://www.inaturalist.org/observations/5253073,https://inaturalist-open-data.s3.amazonaws.com/photos/6498997/medium.jpg?1489009150,1,0,FALSE,
occurrence,iNaturalist,"Avalon, CA 90704, USA",Santa Catalina,33.3428193,-118.3282279,2403,2403,,,FALSE,,,Scavenger Moths,Blastobasidae,,Blastobasid Moths,Insecta,173093,Lepidoptera,Blastobasidae,Blastobasidae,,,,,5255024,,,,,,Pacific Time (US & Canada),psyllidhipster,2017-03-09 06:35:03 +0300,2020-06-03 23:09:07 +0300,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/5255024,https://inaturalist-open-data.s3.amazonaws.com/photos/6502458/medium.jpg?1489028723,0,0,FALSE,
occurrence,iNaturalist,"Avalon, CA 90704, USA",Santa Catalina,33.3428193,-118.3282279,2403,2403,,,FALSE,,,Blastobasinae,Blastobasinae,,,Insecta,336937,Lepidoptera,Blastobasidae,Blastobasidae,,,,,5255075,,,,,,Pacific Time (US & Canada),psyllidhipster,2017-03-09 06:35:23 +0300,2017-05-02 21:59:00 +0300,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/5255075,https://inaturalist-open-data.s3.amazonaws.com/photos/6502514/medium.jpg?1489028809,0,0,FALSE,
