"","source","month","year","island","order","acceptedFamily","acceptedGenus","acceptedName"
"1","iNaturalist",4,2020,"Santa Cruz","Lepidoptera","Adelidae","Adela","Adela trigrapha"
"2","iNaturalist",4,2018,"Santa Cruz","Lepidoptera","Adelidae","Adela","Adela trigrapha"
"3","iNaturalist",4,2018,"Santa Cruz","Lepidoptera","Adelidae","Adela","Adela trigrapha"
"4","iNaturalist",4,2019,"Santa Cruz","Lepidoptera","Adelidae","Adela","Adela trigrapha"
"5","iNaturalist",,,"Santa Catalina","Lepidoptera","Alucitidae","Alucita","Alucita montana"
"6","iNaturalist",7,2014,"Santa Catalina","Lepidoptera","Autostichidae","Glyphidocera","Glyphidocera septentrionella"
"7","iNaturalist",7,2014,"Santa Catalina","Lepidoptera","Autostichidae","Glyphidocera","Glyphidocera septentrionella"
"8","iNaturalist",7,2014,"Santa Catalina","Lepidoptera","Autostichidae","Symmoca","Symmoca signatella"
"9","iNaturalist",,,"Santa Catalina","Lepidoptera","Blastobasidae",,
"10","iNaturalist",,,"Santa Catalina","Lepidoptera","Blastobasidae",,
"11","iNaturalist",3,2018,"Santa Catalina","Lepidoptera","Blastobasidae",,
"12","iNaturalist",3,2018,"Santa Catalina","Lepidoptera","Blastobasidae",,
"13","iNaturalist",7,2015,"Santa Cruz","Lepidoptera","Bucculatricidae","Bucculatrix",
"14","iNaturalist",,,"Santa Catalina","Lepidoptera","Bucculatricidae","Bucculatrix","Bucculatrix quadrigemina"
"15","iNaturalist",4,2018,"Santa Cruz","Lepidoptera","Carposinidae","Bondia","Bondia comonana"
"16","iNaturalist",7,2015,"Santa Cruz","Lepidoptera","Carposinidae","Bondia","Bondia comonana"
"17","iNaturalist",6,2018,"Santa Cruz","Lepidoptera","Choreutidae","Tebenna","Tebenna gnaphaliella"
"18","iNaturalist",7,2014,"Santa Catalina","Lepidoptera","Coleophoridae","Coleophora",
"19","iNaturalist",7,2015,"Santa Cruz","Lepidoptera","Coleophoridae","Coleophora",
"20","iNaturalist",,,"Santa Catalina","Lepidoptera","Coleophoridae","Coleophora","Coleophora accordella"
"21","iNaturalist",7,2015,"Santa Cruz","Lepidoptera","Coleophoridae","Coleophora","Coleophora nigrostriata"
"22","iNaturalist",10,2019,"Santa Catalina","Lepidoptera","Cosmopterigidae","Pyroderces","Pyroderces badia"
"23","iNaturalist",,,"Santa Catalina","Lepidoptera","Cosmopterigidae","Walshia","Walshia miscecolorella"
"24","iNaturalist",7,2015,"Santa Cruz","Lepidoptera","Cosmopterigidae","Walshia","Walshia miscecolorella"
"25","iNaturalist",7,2015,"Santa Cruz","Lepidoptera","Cossidae","Givira","Givira marga"
"26","iNaturalist",7,2015,"Santa Cruz","Lepidoptera","Cossidae","Givira","Givira marga"
"27","iNaturalist",8,2015,"Santa Catalina","Lepidoptera","Crambidae","Abegesta","Abegesta reluctalis"
"28","iNaturalist",,,"Santa Catalina","Lepidoptera","Crambidae","Abegesta","Abegesta remellalis"
"29","iNaturalist",,,"Santa Catalina","Lepidoptera","Crambidae","Abegesta","Abegesta remellalis"
"30","iNaturalist",4,2018,"Santa Cruz","Lepidoptera","Crambidae","Choristostigma","Choristostigma elegantalis"
"31","iNaturalist",8,2015,"Santa Catalina","Lepidoptera","Crambidae",,
"32","iNaturalist",6,2018,"Santa Catalina","Lepidoptera","Crambidae",,
"33","iNaturalist",6,2019,"San Clemente","Lepidoptera","Crambidae",,
"34","iNaturalist",6,2019,"San Clemente","Lepidoptera","Crambidae",,
"35","iNaturalist",8,2015,"Santa Catalina","Lepidoptera","Crambidae",,
"36","iNaturalist",7,2015,"Santa Cruz","Lepidoptera","Crambidae",,
"37","iNaturalist",3,2018,"Santa Catalina","Lepidoptera","Crambidae",,
"38","iNaturalist",3,2018,"Santa Catalina","Lepidoptera","Crambidae",,
"39","iNaturalist",3,2018,"Santa Catalina","Lepidoptera","Crambidae",,
"40","iNaturalist",10,2018,"San Clemente","Lepidoptera","Crambidae","Crambus",
"41","iNaturalist",7,2015,"Santa Cruz","Lepidoptera","Crambidae","Diastictis","Diastictis fracturalis"
"42","iNaturalist",7,2014,"Santa Catalina","Lepidoptera","Crambidae","Diastictis","Diastictis sperryorum"
"43","iNaturalist",5,2019,"San Clemente","Lepidoptera","Crambidae","Dicymolomia",
"44","iNaturalist",7,2015,"Santa Cruz","Lepidoptera","Crambidae","Dicymolomia",
"45","iNaturalist",,,"Santa Catalina","Lepidoptera","Crambidae","Dicymolomia","Dicymolomia metalliferalis"
"46","iNaturalist",,,"Santa Catalina","Lepidoptera","Crambidae","Dicymolomia","Dicymolomia metalliferalis"
"47","iNaturalist",6,2019,"San Clemente","Lepidoptera","Crambidae","Dicymolomia","Dicymolomia metalliferalis"
"48","iNaturalist",7,2015,"Santa Cruz","Lepidoptera","Crambidae","Dicymolomia","Dicymolomia metalliferalis"
"49","iNaturalist",7,2015,"Santa Cruz","Lepidoptera","Crambidae","Dicymolomia","Dicymolomia metalliferalis"
"50","iNaturalist",7,2015,"Santa Cruz","Lepidoptera","Crambidae","Dicymolomia","Dicymolomia metalliferalis"
"51","iNaturalist",7,2014,"Santa Catalina","Lepidoptera","Crambidae","Dicymolomia","Dicymolomia opuntialis"
"52","iNaturalist",,,"Santa Catalina","Lepidoptera","Crambidae","Dicymolomia","Dicymolomia opuntialis"
"53","iNaturalist",10,2019,"Santa Catalina","Lepidoptera","Crambidae","Dicymolomia","Dicymolomia opuntialis"
"54","iNaturalist",,,"Santa Catalina","Lepidoptera","Crambidae","Euchromius","Euchromius ocellea"
"55","iNaturalist",,,"Santa Catalina","Lepidoptera","Crambidae","Euchromius","Euchromius ocellea"
"56","iNaturalist",6,2019,"San Clemente","Lepidoptera","Crambidae","Euchromius","Euchromius ocellea"
"57","iNaturalist",7,2015,"Santa Cruz","Lepidoptera","Crambidae","Euchromius","Euchromius ocellea"
"58","iNaturalist",,,"Santa Catalina","Lepidoptera","Crambidae","Eudonia","Eudonia rectilinea"
"59","iNaturalist",,,"Santa Catalina","Lepidoptera","Crambidae","Eudonia","Eudonia rectilinea"
"60","iNaturalist",,,"Santa Catalina","Lepidoptera","Crambidae","Eudonia","Eudonia rectilinea"
