record,order,family,acceptedFamily,genus,acceptedGenus,species,acceptedEpithet ,acceptedName,DESCRIBER,DESYR,XREF,AUTHOR,YRPUBL,PUBL,VOL,PAGE,PAGE2,IDYRQUAL,Anacapa,Santa Barbara,Santa Catalina,San Clemente,,Santa Cruz,San Miguel,San Nicholas,Santa Rosa,NO,SO,COR,GUA,MONTH,year,NOSPEC,ECOLOGY,NOTES,,
Literature,Lepidoptera,Adelidae,Adelidae,Adela,Adela,flammeusella,flammeusella,Adela flammeusella,Chambers,1876,,Powell,1969,J. Lepid. Soc.,23,211,-240,,,,,,,x,,,,,,,,0,,,,,,
Literature,Lepidoptera,Adelidae,Adelidae,Adela,Adela,flammeusella,flammeusella,Adela flammeusella,Chambers,1876,,Powell,1985,Ent. Calif. Ch. Isls. Proc.,,82,,,,,,,,x,,,,,,,,0,,,,,,
Literature,Lepidoptera,Adelidae,Adelidae,Adela,Adela,thorpella,thorpbella,Adela thorpbella,Powell,1969,,Powell,1969,J. Lepid. Soc.,23,211,-240,,,,,,,x,,,,,,,,0,,,,,,
Literature,Lepidoptera,Adelidae,Adelidae,Adela,Adela,thorpella,thorpbella,Adela thorpbella,Powell,1969,,Powell,1985,Ent. Calif. Ch. Isls. Proc.,,82,,,,,,,,x,,,,,,,,0,,,,,,
Literature,Lepidoptera,Adelidae,Adelidae,Adela,Adela,trigrapha,trigrapha,Adela trigrapha,Zeller,1876,,Powell,1969,J. Lepid. Soc.,23,211,-240,,,,,,,x,,,,,,,,0,,,,,,
Literature,Lepidoptera,Adelidae,Adelidae,Adela,Adela,trigrapha,trigrapha,Adela trigrapha,Zeller,1876,,Powell,1985,Ent. Calif. Ch. Isls. Proc.,,82,,,,,,,,x,,,,,,,,0,,,,,,
Literature,Lepidoptera,Arctiidae,Erebidae,Arachnis,Arachnis,picta insularis,picta insularis,Arachnis picta insularis,Clarke,1941,,Clarke,1940,Bull. S. Calif. Acad. Sci.,39,187,-188,,x,,,,,,,,,,,,,0,,,,,,
Literature,Lepidoptera,Arctiidae,Erebidae,Arachnis,Arachnis,picta insularis,picta insularis,Arachnis picta insularis,Clarke,1941,,Comstock & Henne,1940,Bull. S. Calif. Acad. Sci.,39,189,-190,,x,,,,,,,,,,,,,0,,,,,,
Literature,Lepidoptera,Arctiidae,Erebidae,Arachnis,Arachnis,picta insularis,picta insularis,Arachnis picta insularis,Clarke,1941,,Clarke,1941,Proc. U.S. Nat. Mus.,91,59,-71,,x,,,,,,,,,,,,,0,,,,,,
Literature,Lepidoptera,Arctiidae,Erebidae,Arachnis,Arachnis,picta insularis,picta insularis,Arachnis picta insularis,Clarke,1941,,Comstock,1942,Bull. S. Calif. Acad. Sci.,41,83,-85,,x,,,,,x,,,x,,,,,0,,,,TL ana,,
Literature,Lepidoptera,Arctiidae,Erebidae,Arachnis,Arachnis,picta insularis,picta insularis,Arachnis picta insularis,Clarke,1941,,Powell,1985,Ent. Calif. Ch. Isls. Proc.,,78,,,x,,,,,,,,,,,,,0,,,,,,
Literature,Lepidoptera,Arctiidae,Erebidae,Arachnis,Arachnis,picta meadowsi,picta meadowsi,Arachnis picta meadowsi,Comstock,1942,as picta,Meadows,1938,Bull. S. Calif. Acad. Sci.,37,136,,,,,x,,,,,,,,,,,6,1938,,,,,
Literature,Lepidoptera,Arctiidae,Erebidae,Arachnis,Arachnis,picta meadowsi,picta meadowsi,Arachnis picta meadowsi,Comstock,1942,as picta,Clarke,1941,Proc. U.S. Nat. Mus.,91,59,-71,,,,x,,,,,,,,,,,0,,2,,unnamed race,,
Literature,Lepidoptera,Arctiidae,Erebidae,Arachnis,Arachnis,picta meadowsi,picta meadowsi,Arachnis picta meadowsi,Comstock,1942,,Comstock,1942,Bull. S. Calif. Acad. Sci.,41,83,-85,,,,x,,,,,,,,,,,0,,,,,,
Literature,Lepidoptera,Arctiidae,Erebidae,Arachnis,Arachnis,picta meadowsi,picta meadowsi,Arachnis picta meadowsi,Comstock,1942,,Powell,1985,Ent. Calif. Ch. Isls. Proc.,,78,,,,,x,,,,,,,,,,,0,,,,,,
Literature,Lepidoptera,Arctiidae,Erebidae,Cisthene,Cisthene,dorsimacula,dorsimacula,Cisthene dorsimacula,Dyar,1904,,Meadows,1938,Bull. S. Calif. Acad. Sci.,37,134,,,,,x,,,,,,,,,,,0,,,,,,
Literature,Lepidoptera,Arctiidae,Erebidae,Cisthene,Cisthene,faustinula,faustinula,Cisthene faustinula,(Boisduval),1869,,Meadows,1938,Bull. S. Calif. Acad. Sci.,37,134,,,,,x,,,,,,,,,,,0,,,fairly common with C. conjunct,,,
Literature,Lepidoptera,Arctiidae,Erebidae,Cisthene,Cisthene,faustinula,faustinula,Cisthene faustinula,(Boisduval),1869,,Knowlton,1967,Trans. Amer. Ent. Soc.,93,41,-100,,,,x,,,,,,x,,,,,0,,,,,,
Literature,Lepidoptera,Arctiidae,Erebidae,Cisthene,Cisthene,liberomacula,liberomacula,Cisthene liberomacula,(Dyar),1904,,Knowlton,1967,Trans. Amer. Ent. Soc.,93,41,-100,,,,x,,,,,,,,,,,0,,,,,,
Literature,Lepidoptera,Arctiidae,Erebidae,Cisthene,Cisthene,sp.,,,,,MISID as conjuncta,Meadows,1938,Bull. S. Calif. Acad. Sci.,37,134,,,,,x,,,,,,,,,,,0,,,,,,
Literature,Lepidoptera,Arctiidae,Erebidae,Crambidia,Crambidia,suffusa,suffusa,Crambidia suffusa,Barnes & McDunnough,1912,MISID as lithosioides,Meadows,1938,Bull. S. Calif. Acad. Sci.,37,134,,,,,x,,,,,,,,,,,0,,,,,,
Literature,Lepidoptera,Arctiidae,Erebidae,Ctenucha,Ctenucha,brunnea,brunnea,Ctenucha brunnea,Stretch,1872,,Comstock & Dammers,1941,Bull. S. Calif. Acad. Sci.,40,11,-12,,,,,,,,,,x,,,,,0,,,,,,
Literature,Lepidoptera,Arctiidae,Erebidae,Estigmene,Estigmene,acrea,acrea,Estigmene acrea,Drury,1773,,Meadows,1938,Bull. S. Calif. Acad. Sci.,37,136,,,,,x,,,,,,,,,,,6,1938,,,,,
Literature,Lepidoptera,Arctiidae,Erebidae,Estigmene,Estigmene,sp.,,,,,,Remington,1971,Discovery,7,13,,,,,,,,x,,,,,,,,0,,,moth of wooly bear catapillar,,,
Literature,Lepidoptera,Arctiidae,Erebidae,Grammia,Grammia,nevadensis,nevadensis,Grammia nevadensis,(Grote & Robinson),1866,as Apantesis,Powell,1985,Ent. Calif. Ch. Isls. Proc.,,82,,,,,,x,,x,,,,,,,,0,,,,,,
Literature,Lepidoptera,Arctiidae,Erebidae,Grammia,Grammia,nevadensis complex,nevadensis,Grammia nevadensis,(Grote & Robinson),1866,as Apantesis,Meadows,1938,Bull. S. Calif. Acad. Sci.,37,135,,,,,x,,,,,,,,,,,0,,,,,,
Literature,Lepidoptera,Arctiidae,Erebidae,Grammia,Grammia,spp.,,,,,,Ferguson,1985,Ent.,3,181,-275,,,,,,,,,,,,,,,0,,,,Channel Islands,,
Literature,Lepidoptera,Arctiidae,Erebidae,Hemihyalea,Pseudohemihyalea,edwardsii,edwardsii,Pseudohemihyalea edwardsii,(Packard),1864,,Cockerell,1938,Univ. Colorado Stud.,26,16,,,,,x,,,,,,,,,,,0,,,,new mutation,,
Literature,Lepidoptera,Arctiidae,Erebidae,Hemihyalea,Pseudohemihyalea,edwardsii,edwardsii,Pseudohemihyalea edwardsii,(Packard),1864,as edwardsii var. ochrous SYN,Meadows,1938,Bull. S. Calif. Acad. Sci.,37,133,-136,,,,x,,,,,,,,,,,0,,,,,,
Literature,Lepidoptera,Arctiidae,Erebidae,Hemihyalea,Pseudohemihyalea,edwardsii,edwardsii,Pseudohemihyalea edwardsii,(Packard),1864,,Meadows,1938,Bull. S. Calif. Acad. Sci.,37,134,,,,,x,,,,,,,,,,,0,,,,,,
Literature,Lepidoptera,Arctiidae,Erebidae,Hemihyalea,Pseudohemihyalea,edwardsii,edwardsii,Pseudohemihyalea edwardsii,(Packard),1864,,Powell,1985,Ent. Calif. Ch. Isls. Proc.,,82,,,,,x,,,,,,,,,,,0,,,,,,
