source,order,family,genus,specificEp,yearpub,PUBL,year,month,Anacapa,Santa Barbara,Santa Catalina,San Clemente,Santa Cruz,San Miguel,San Nicholas,Santa Rosa 
lit,Hymenoptera,Andrenidae,Andrena,sp. 1,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,1,,,
lit,Hymenoptera,Andrenidae,Andrena,sp. 2,1939,Proc. Calif. Acad. Sci. ser.4,,,,,1,,,,,
lit,Hymenoptera,Andrenidae,Andrena,sp. 2,1985,Ent. Calif. Ch. Isls. Proc.,,,,,1,,,,,1
lit,Hymenoptera,Andrenidae,Andrena,sp. 3,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,,1,,
lit,Hymenoptera,Andrenidae,Andrena,sp. 4,1985,Ent. Calif. Ch. Isls. Proc.,,,,,1,,,,,
lit,Hymenoptera,Andrenidae,Andrena,sp. 5,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,1,,,
lit,Hymenoptera,Andrenidae,Andrena,sp. 6,1985,Ent. Calif. Ch. Isls. Proc.,,,1,,,,1,,,
lit,Hymenoptera,Andrenidae,Andrena (Diandrena),gnaphalii,1938,Ann. & Mag. Nat. Hist.,1938,3,,,1,,,,,
lit,Hymenoptera,Andrenidae,Andrena (Diandrena),gnaphalii,1938,Ann. & Mag. Nat. Hist. ser. 11,,,,,1,,,,,
lit,Hymenoptera,Andrenidae,Andrena (Diandrena),gnaphalii,1939,Proc. Calif. Acad. Sci. ser.4,,,,,1,,,,,
lit,Hymenoptera,Andrenidae,Andrena (Diandrena),gnaphalii,1969,Univ. Calif. Publ. Ent.,,,,,1,,,,,
lit,Hymenoptera,Andrenidae,Andrena (Diandrena),gnaphalii,1985,Ent. Calif. Ch. Isls. Proc.,,,,,1,,,,,
lit,Hymenoptera,Andrenidae,Andrena (Diandrena),submoesta,1985,Ent. Calif. Ch. Isls. Proc.,1979,3,1,,,,,,,
lit,Hymenoptera,Andrenidae,Andrena (Diandrena),submoesta,1985,Ent. Calif. Ch. Isls. Proc.,,,1,1,,1,,1,1,
lit,Hymenoptera,Andrenidae,Andrena (Euandrena),auricoma,1938,Ann. & Mag. Nat. Hist.,1938,3,,,1,,,,,
lit,Hymenoptera,Andrenidae,Andrena (Euandrena),auricoma,1939,Proc. Calif. Acad. Sci. ser.4,,,,,1,,,,,
lit,Hymenoptera,Andrenidae,Andrena (Euandrena),auricoma,1975,Trans. Amer. Ent. Soc.,,,,,,,1,,,
lit,Hymenoptera,Andrenidae,Andrena (Euandrena),auricoma,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,,,,1
lit,Hymenoptera,Andrenidae,Andrena (Euandrena),caerulea,1939,Proc. Calif. Acad. Sci. ser.4,,,,,,,,1,,
lit,Hymenoptera,Andrenidae,Andrena (Euandrena),caerulea,1975,Trans. Amer. Ent. Soc.,,,,,,,1,,,
lit,Hymenoptera,Andrenidae,Andrena (Euandrena),caerulea,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,1,,,1
lit,Hymenoptera,Andrenidae,Andrena (Euandrena),chlorura,1940,Bull. S. Calif. Acad. Sci.,,,,,,1,,,,
lit,Hymenoptera,Andrenidae,Andrena (Euandrena),chlorura,1941,Bull. S. Calif. Acad. Sci.,,,,,,1,,,,
lit,Hymenoptera,Andrenidae,Andrena (Euandrena),chlorura,1975,Trans. Amer. Ent. Soc.,,,,,,1,,,,
lit,Hymenoptera,Andrenidae,Andrena (Euandrena),chlorura,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,,,,
lit,Hymenoptera,Andrenidae,Andrena (Euandrena),escondida,1938,Ann. & Mag. Nat. Hist.,1938,3,,,1,,,,,
lit,Hymenoptera,Andrenidae,Andrena (Euandrena),escondida,1938,Ann. & Mag. Nat. Hist. ser. 11,,,,,1,,,,,
lit,Hymenoptera,Andrenidae,Andrena (Euandrena),escondida,1939,Proc. Calif. Acad. Sci. ser.4,,,,,1,,,,,
lit,Hymenoptera,Andrenidae,Andrena (Euandrena),escondida,1941,Trans. S. Diego Soc. Nat. Hist,,,,,1,,,,,
lit,Hymenoptera,Andrenidae,Andrena (Euandrena),escondida,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,,,,
lit,Hymenoptera,Andrenidae,Andrena (Euandrena),nigrocaerulea,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,1,,,
lit,Hymenoptera,Andrenidae,Andrena (Euandrena),sp.,1985,Ent. Calif. Ch. Isls. Proc.,,,,,1,,,,,
lit,Hymenoptera,Andrenidae,Andrena (Euandrena),suavis,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,1,,,
lit,Hymenoptera,Andrenidae,Andrena (Hesperandrena),baeriae,1939,Proc. Calif. Acad. Sci. ser.4,,,,,1,,,,,
lit,Hymenoptera,Andrenidae,Andrena (Hesperandrena),baeriae,1941,Bull. S. Calif. Acad. Sci.,,,,,1,,,,,
lit,Hymenoptera,Andrenidae,Andrena (Melandrena),cerasifolii,1938,Ann. & Mag. Nat. Hist.,1938,3,,,1,,,,,
lit,Hymenoptera,Andrenidae,Andrena (Melandrena),cerasifolii,1939,Proc. Calif. Acad. Sci. ser.4,,,,,1,,,,,
lit,Hymenoptera,Andrenidae,Andrena (Melandrena),cerasifolii,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,,,,
lit,Hymenoptera,Andrenidae,Andrena (Melandrena),meadowsi,NA,,,,,,,,,,,
lit,Hymenoptera,Andrenidae,Andrena (Melandrena),perimelas,1938,Ann. & Mag. Nat. Hist. ser. 11,,,,,1,,,,,
lit,Hymenoptera,Andrenidae,Andrena (Melandrena),perimelas,1939,Proc. Calif. Acad. Sci. ser.4,,,,,1,,,,,
lit,Hymenoptera,Andrenidae,Andrena (Melandrena),perimelas,1979,Trans. Amer. Ent. Soc.,,,,,1,,1,1,,
lit,Hymenoptera,Andrenidae,Andrena (Melandrena),perimelas,1985,Ent. Calif. Ch. Isls. Proc.,1979,3,1,,,,,,,
lit,Hymenoptera,Andrenidae,Andrena (Melandrena),perimelas,1985,Ent. Calif. Ch. Isls. Proc.,,,1,,1,,1,1,,
lit,Hymenoptera,Andrenidae,Andrena (Melandrena),sola,1979,Trans. Amer. Ent. Soc.,,,,,,,1,,,
lit,Hymenoptera,Andrenidae,Andrena (Melandrena),sola,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,1,,,1
lit,Hymenoptera,Andrenidae,Andrena (Melandrena),sp.,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,1,,,
