source,order,family,genus,subgenus,specificEp,scientificName,yearpub,PUBL,year,month,Anacapa,Santa Barbara,Santa Catalina,San Clemente,Santa Cruz,San Miguel,San Nicholas,Santa Rosa 
lit,Hymenoptera,Andrenidae,Andrena,,,,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,1,,,
lit,Hymenoptera,Andrenidae,Andrena,,,,1939,Proc. Calif. Acad. Sci. ser.4,,,,,1,,,,,
lit,Hymenoptera,Andrenidae,Andrena,,,,1985,Ent. Calif. Ch. Isls. Proc.,,,,,1,,,,,1
lit,Hymenoptera,Andrenidae,Andrena,,,,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,,1,,
lit,Hymenoptera,Andrenidae,Andrena,,,,1985,Ent. Calif. Ch. Isls. Proc.,,,,,1,,,,,
lit,Hymenoptera,Andrenidae,Andrena,,,,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,1,,,
lit,Hymenoptera,Andrenidae,Andrena,,,,1985,Ent. Calif. Ch. Isls. Proc.,,,1,,,,1,,,
lit,Hymenoptera,Andrenidae,Andrena,Diandrena,gnaphalii,Andrena gnaphalii,1938,Ann. & Mag. Nat. Hist.,1938,3,,,1,,,,,
lit,Hymenoptera,Andrenidae,Andrena,Diandrena,gnaphalii,Andrena gnaphalii,1938,Ann. & Mag. Nat. Hist. ser. 11,,,,,1,,,,,
lit,Hymenoptera,Andrenidae,Andrena,Diandrena,gnaphalii,Andrena gnaphalii,1939,Proc. Calif. Acad. Sci. ser.4,,,,,1,,,,,
lit,Hymenoptera,Andrenidae,Andrena,Diandrena,gnaphalii,Andrena gnaphalii,1969,Univ. Calif. Publ. Ent.,,,,,1,,,,,
lit,Hymenoptera,Andrenidae,Andrena,Diandrena,gnaphalii,Andrena gnaphalii,1985,Ent. Calif. Ch. Isls. Proc.,,,,,1,,,,,
lit,Hymenoptera,Andrenidae,Andrena,Diandrena,submoesta,Andrena submoesta,1985,Ent. Calif. Ch. Isls. Proc.,1979,3,1,,,,,,,
lit,Hymenoptera,Andrenidae,Andrena,Diandrena,submoesta,Andrena submoesta,1985,Ent. Calif. Ch. Isls. Proc.,,,1,1,,1,,1,1,
lit,Hymenoptera,Andrenidae,Andrena,Euandrena,auricoma,Andrena auricoma,1938,Ann. & Mag. Nat. Hist.,1938,3,,,1,,,,,
lit,Hymenoptera,Andrenidae,Andrena,Euandrena,auricoma,Andrena auricoma,1939,Proc. Calif. Acad. Sci. ser.4,,,,,1,,,,,
lit,Hymenoptera,Andrenidae,Andrena,Euandrena,auricoma,Andrena auricoma,1975,Trans. Amer. Ent. Soc.,,,,,,,1,,,
lit,Hymenoptera,Andrenidae,Andrena,Euandrena,auricoma,Andrena auricoma,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,,,,1
lit,Hymenoptera,Andrenidae,Andrena,Euandrena,caerulea,Andrena caerulea,1939,Proc. Calif. Acad. Sci. ser.4,,,,,,,,1,,
lit,Hymenoptera,Andrenidae,Andrena,Euandrena,caerulea,Andrena caerulea,1975,Trans. Amer. Ent. Soc.,,,,,,,1,,,
lit,Hymenoptera,Andrenidae,Andrena,Euandrena,caerulea,Andrena caerulea,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,1,,,1
lit,Hymenoptera,Andrenidae,Andrena,Euandrena,chlorura,Andrena chlorura,1940,Bull. S. Calif. Acad. Sci.,,,,,,1,,,,
lit,Hymenoptera,Andrenidae,Andrena,Euandrena,chlorura,Andrena chlorura,1941,Bull. S. Calif. Acad. Sci.,,,,,,1,,,,
lit,Hymenoptera,Andrenidae,Andrena,Euandrena,chlorura,Andrena chlorura,1975,Trans. Amer. Ent. Soc.,,,,,,1,,,,
lit,Hymenoptera,Andrenidae,Andrena,Euandrena,chlorura,Andrena chlorura,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,,,,
lit,Hymenoptera,Andrenidae,Andrena,Euandrena,escondida,Andrena escondida,1938,Ann. & Mag. Nat. Hist.,1938,3,,,1,,,,,
lit,Hymenoptera,Andrenidae,Andrena,Euandrena,escondida,Andrena escondida,1938,Ann. & Mag. Nat. Hist. ser. 11,,,,,1,,,,,
lit,Hymenoptera,Andrenidae,Andrena,Euandrena,escondida,Andrena escondida,1939,Proc. Calif. Acad. Sci. ser.4,,,,,1,,,,,
lit,Hymenoptera,Andrenidae,Andrena,Euandrena,escondida,Andrena escondida,1941,Trans. S. Diego Soc. Nat. Hist,,,,,1,,,,,
lit,Hymenoptera,Andrenidae,Andrena,Euandrena,escondida,Andrena escondida,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,,,,
lit,Hymenoptera,Andrenidae,Andrena,Euandrena,nigrocaerulea,Andrena nigrocaerulea,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,1,,,
lit,Hymenoptera,Andrenidae,Andrena,Euandrena,,,1985,Ent. Calif. Ch. Isls. Proc.,,,,,1,,,,,
