"","Var1","Freq"
"1","-",1
"2","Acroceridae",3
"3","Agromyzidae",12
"4","Anthomyiidae",186
"5","Asilidae",92
"6","Asteiidae",1
"7","Bibionidae",14
"8","Bombyliidae",172
"9","Calliphoridae",41
"10","Camilidae",1
"11","Cecidomyiidae",28
"12","Ceratopogonidae",2
"13","Chironomidae",36
"14","Chloropidae",167
"15","Chyromyidae",1
"16","Coelopidae",31
"17","Conopidae",3
"18","Culicidae",17
"19","Dolichopodidae",46
"20","Drosophilidae",1
"21","Empididae",7
"22","Ephydridae",48
"23","Fanniidae",2
"24","Heleomyzidae",150
"25","Hippoboscidae",2
"26","Lauxaniidae",6
"27","Limoniidae",16
"28","Lonchaeidae",1
"29","Milichiidae",2
"30","Muscidae",13
"31","Mycetophilidae",2
"32","Mythicomyiidae",1
"33","Neriidae",10
"34","Oestridae",2
"35","Phoridae",123
"36","Piophilidae",2
"37","Pipunculidae",1
"38","Platypezidae",1
"39","Psychodidae",3
"40","Rhagionidae",3
"41","Rhinophoridae",1
"42","Sarcophagidae",32
"43","Scathophagidae",5
"44","Scatopsidae",1
"45","Sciaridae",18
"46","Sepsidae",3
"47","Simuliidae",1
"48","Sphaeroceridae",6
"49","Stratiomyidae",16
"50","Stratiomyiidae",4
"51","Syrphidae",763
"52","Tabanidae",15
"53","Tachinidae",51
"54","Tephritidae",95
"55","Therevidae",20
"56","Tipulidae",87
"57","Ulidiidae",1
