source,id,observed_o,month,year,observed_1,time_obser,time_zone,user_id,user_login,created_at,updated_at,quality_gr,license,url,image_url,sound_url,tag_list,descriptio,num_identi,num_iden_1,captive_cu,oauth_appl,island,place_gues,latitude,longitude,positional,public_pos,geoprivacy,taxon_geop,coordinate,positionin,position_1,species_gu,acceptedFamily,acceptedGenus,scientific,acceptedName,common_nam,iconic_tax,taxon_id
iNaturalist,11327388,2018/04/21 12:29 AM PDT,4,2018,4/21/18,2018-04-21 07:29:00 UTC,Pacific Time (US & Canada),6971,silversea_starsong,2018-04-22 18:01:01 UTC,2018-08-01 03:41:43 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/11327388,https://inaturalist-open-data.s3.amazonaws.com/photos/16129510/medium.jpeg?1524420047, , , ,3,0,FALSE,0,Santa Cruz,"Santa Barbara County, CA, USA",33.99589,-119.7169283,0,0, , ,FALSE, , ,Pallid Bat,Vespertilionidae,Antrozous,Antrozous pallidus,Antrozous pallidus,Pallid Bat,Mammalia,40614
iNaturalist,11327389,2018/04/21 12:31 AM PDT,4,2018,4/21/18,2018-04-21 07:31:00 UTC,Pacific Time (US & Canada),6971,silversea_starsong,2018-04-22 18:01:01 UTC,2018-05-04 18:18:26 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/11327389,https://inaturalist-open-data.s3.amazonaws.com/photos/16129515/medium.jpeg?1524420052, , , ,2,0,FALSE,0,Santa Cruz,"Santa Barbara County, CA, USA",33.99585667,-119.7168367,0,0, , ,FALSE, , ,Pallid Bat,Vespertilionidae,Antrozous,Antrozous pallidus,Antrozous pallidus,Pallid Bat,Mammalia,40614
iNaturalist,1214506,2/28/11 17:39,2,2011,2/28/11,2011-03-01 03:39:24 UTC,Hawaii,75077,timproffittwhite,2015-02-05 21:36:10 UTC,2020-10-30 14:54:07 UTC,research, ,http://www.inaturalist.org/observations/1214506,https://inaturalist-open-data.s3.amazonaws.com/photos/1532832/medium.jpg?1444282346, , ,Bison roam the beaches of Catalina,4,0,FALSE,0,Santa Catalina,"California, United States",33.374118,-118.353137,0,0, ,open,FALSE, , ,American Bison,Bovidae,Bos,Bison bison,Bos bison,American Bison,Mammalia,42408
iNaturalist,1472546,12/17/05 11:41,12,2005,12/17/05,2005-12-17 19:41:04 UTC,Pacific Time (US & Canada),95810,kiloueka,2015-05-10 07:54:12 UTC,2020-10-29 20:29:15 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1472546,https://inaturalist-open-data.s3.amazonaws.com/photos/1825568/medium.JPG?1431244457, , , ,4,0,FALSE,0,Santa Catalina,Catalina Island,33.387886,-118.41631,20231,20231, ,open,FALSE, , ,American Bison,Bovidae,Bos,Bison bison,Bos bison,American Bison,Mammalia,42408
iNaturalist,1472553,3/23/14 16:01,3,2014,3/23/14,2014-03-23 23:01:08 UTC,Pacific Time (US & Canada),95810,kiloueka,2015-05-10 07:54:50 UTC,2020-10-29 20:32:50 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1472553,https://inaturalist-open-data.s3.amazonaws.com/photos/1825575/medium.JPG?1431244494, , , ,4,0,FALSE,0,Santa Catalina,"Airport Rd, Catalina, California",33.385519,-118.45171,0,0, ,open,FALSE, , ,American Bison,Bovidae,Bos,Bison bison,Bos bison,American Bison,Mammalia,42408
iNaturalist,1472554,3/23/14 15:58,3,2014,3/23/14,2014-03-23 22:58:24 UTC,Pacific Time (US & Canada),95810,kiloueka,2015-05-10 07:54:55 UTC,2020-10-29 20:29:13 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1472554,https://inaturalist-open-data.s3.amazonaws.com/photos/1825576/medium.jpg?1431244508, , , ,4,0,FALSE,0,Santa Catalina,"Airport Rd, Catalina, California",33.40021,-118.419695,0,0, ,open,FALSE, , ,American Bison,Bovidae,Bos,Bison bison,Bos bison,American Bison,Mammalia,42408
iNaturalist,1472555,3/4/14 13:13,3,2014,3/4/14,2014-03-04 21:13:42 UTC,Pacific Time (US & Canada),95810,kiloueka,2015-05-10 07:55:22 UTC,2020-10-29 20:29:11 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1472555,https://inaturalist-open-data.s3.amazonaws.com/photos/1825577/medium.JPG?1431244526, , , ,4,0,FALSE,0,Santa Catalina,"Airport Rd, Catalina, California",33.398562,-118.420125,0,0, ,open,FALSE, , ,American Bison,Bovidae,Bos,Bison bison,Bos bison,American Bison,Mammalia,42408
iNaturalist,1634153,6/6/15,6,2015,6/6/15, ,Pacific Time (US & Canada),100507,angelanordeng,2015-06-15 05:53:13 UTC,2020-10-24 21:50:19 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1634153,https://inaturalist-open-data.s3.amazonaws.com/photos/2004485/medium.jpg?1434347615, , , ,5,0,FALSE,0,Santa Catalina,catalina island,33.387886,-118.41631,20231,20231, ,open,FALSE, , ,American Bison,Bovidae,Bos,Bison bison,Bos bison,American Bison,Mammalia,42408
iNaturalist,1635826,3/25/10 20:43,3,2010,3/25/10,2010-03-26 01:43:51 UTC,Central Time (US & Canada),105431,shaunmichael,2015-06-15 18:56:06 UTC,2021-07-06 22:46:27 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1635826,https://static.inaturalist.org/photos/2006557/medium.jpg?1434394602, , ,Managed herd,5,0,FALSE,0,Santa Catalina,"Middle ranch, CA",33.35489,-118.438785,0,0, ,open,FALSE, , ,American Bison,Bovidae,Bos,Bison bison,Bos bison,American Bison,Mammalia,42408
iNaturalist,1830287,Sat Aug 01 2015 13:07:17 GMT-0700 (PDT),8,2015,8/1/15,2015-08-01 20:07:17 UTC,Pacific Time (US & Canada),3494,damontighe,2015-08-04 03:13:00 UTC,2020-10-29 20:27:16 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1830287,https://inaturalist-open-data.s3.amazonaws.com/photos/2222170/medium.jpg?1438658028, , , ,7,0,FALSE,3,Santa Catalina,"W End Rd, Avalon, CA, US",33.47143833,-118.574455,0,0, ,open,FALSE, , ,American Bison,Bovidae,Bos,Bison bison,Bos bison,American Bison,Mammalia,42408
