"","source","institution","month","year","island","order","acceptedFamily","acceptedGenus","acceptedName","scientificName","latitude","longitude","Collectors","type"
"1","Cal-IBIS","CAS",5,2019,"Santa Cruz","Araneae","Amaurobiidae","Callobius",,"Callobius",0,0,"E. P. Van Duzee","Collection"
"2","Cal-IBIS","CAS",5,1967,"Santa Cruz","Araneae","Araneidae","Araneus","Araneus andrewsi","Araneus andrewsi",0,0,"Elbert L. Sleeper","Collection"
"3","Cal-IBIS","GBIF",0,0,"San Clemente","Araneae","Araneidae","Metepeira","Metepeira ventura","Metepeira ventura",32.89,-118.5,,"Collection"
"4","Cal-IBIS","GBIF",1,1965,"Santa Catalina","Araneae","Araneidae","Metepeira","Metepeira ventura","Metepeira ventura",33.44,-118.55,,"Collection"
"5","Cal-IBIS","GBIF",0,0,"Santa Catalina","Araneae","Araneidae","Metepeira","Metepeira ventura","Metepeira ventura",33.35,-118.39,,"Collection"
"6","Cal-IBIS","GBIF",1,1993,"Santa Catalina","Araneae","Araneidae","Metepeira","Metepeira ventura","Metepeira ventura",33.38,-118.42,,"Collection"
"7","Cal-IBIS","GBIF",1,1995,"Santa Catalina","Araneae","Araneidae","Metepeira","Metepeira ventura","Metepeira ventura",33.38,-118.41,,"Collection"
"8","Cal-IBIS","WAM",9,1984,"Santa Catalina","Pseudoscorpiones","Garypinidae",,,"Garypinidae",33.36667,-118.35,"Lowe, G.","Collection"
"9","Cal-IBIS","CAS",6,1972,"Santa Cruz","Araneae","Gnaphosidae","Gnaphosa","Gnaphosa californica","Gnaphosa californica",0,0,"David C. Rentz; David Weissman","Collection"
"10","Cal-IBIS","CAS",5,1978,"San Nicolas","Araneae","Gnaphosidae","Gnaphosa","Gnaphosa maritima","Gnaphosa maritima",0,0,"John Doyen","Collection"
"11","Cal-IBIS","CAS",12,1962,"San Clemente","Araneae","Gnaphosidae","Gnaphosa","Gnaphosa salsa","Gnaphosa salsa",0,0,"Phil Regal","Collection"
"12","Cal-IBIS","CAS",0,1910,"Santa Catalina","Araneae","Gnaphosidae","Marinarozelotes","Marinarozelotes jaxartensis","Trachyzelotes jaxartensis",0,0,"J. T. Carlson","Collection"
"13","Cal-IBIS","EMEC",3,1972,"San Clemente","Opiliones","Protolophidae","Protolophus",,"Protolophus",32.88714,-118.44554,"J. T. Doyen","Collection"
"14","Cal-IBIS","EMEC",3,1972,"San Clemente","Opiliones","Protolophidae","Protolophus",,"Protolophus",32.88714,-118.44554,"J. Toldmen","Collection"
"15","Cal-IBIS","EMEC",1,1976,"San Clemente","Opiliones","Protolophidae","Protolophus",,"Protolophus",32.88714,-118.44554,"P. Rude","Collection"
"16","Cal-IBIS","EMEC",3,1972,"San Clemente","Opiliones","Protolophidae","Protolophus",,"Protolophus",33.01608,-118.59706,"J. Powell","Collection"
"17","Cal-IBIS","EMEC",3,1972,"San Clemente","Opiliones","Protolophidae","Protolophus",,"Protolophus",33.01608,-118.59706,"S. L. Szerlip","Collection"
"18","Cal-IBIS","CAS",12,1967,"Santa Cruz","Opiliones","Phalangodidae","Calicina","Calicina topanga","Calicina topanga",34.0001,-119.728,"Tom Briggs; K. Hom, A. Jung","Collection"
"19","Cal-IBIS","SDSU",5,2009,"Santa Cruz","Opiliones","Phalangodidae","Calicina","Calicina topanga","Calicina topanga",34.0255,-119.6976,"M Caterino","Collection"
