"","source","month","year","island","class","order","acceptedFamily","acceptedGenus","acceptedName","scientificName","latitude","longitude","phylum"
"1","iNaturalist",6,2019,"Santa Catalina","Arachnida","Araneae","Agelenidae",NA,NA,"Agelenidae",33.33499167,-118.3174667,"Arthropoda"
"2","iNaturalist",5,2021,"Santa Catalina","Arachnida","Araneae","Agelenidae",NA,NA,"Agelenidae",33.38813938,-118.4163104,"Arthropoda"
"3","iNaturalist",11,2020,"Anacapa","Arachnida","Araneae","Agelenidae",NA,NA,"Agelenidae",34.01545278,-119.3632283,"Arthropoda"
"4","iNaturalist",9,2018,"Santa Cruz","Arachnida","Araneae","Agelenidae",NA,NA,"Agelenidae",34.04987285,-119.5785284,"Arthropoda"
"5","iNaturalist",5,2019,"Santa Catalina","Arachnida","Araneae","Agelenidae",NA,NA,"Agelenidae",33.45075833,-118.5099533,"Arthropoda"
"6","iNaturalist",NA,NA,"San Clemente","Arachnida","Araneae","Agelenidae",NA,NA,"Agelenidae",32.8022,-118.4251,"Arthropoda"
"7","iNaturalist",3,2019,"San Clemente","Arachnida","Araneae","Agelenidae",NA,NA,"Agelenidae",32.87785529,-118.4358593,"Arthropoda"
"8","iNaturalist",3,2019,"San Clemente","Arachnida","Araneae","Agelenidae",NA,NA,"Agelenidae",32.88769667,-118.4850517,"Arthropoda"
"9","iNaturalist",6,2019,"San Clemente","Arachnida","Araneae","Agelenidae",NA,NA,"Agelenidae",32.9961114,-118.5520955,"Arthropoda"
"10","iNaturalist",4,2021,"Santa Catalina","Arachnida","Araneae","Agelenidae",NA,NA,"Agelenidae",33.39740064,-118.4348122,"Arthropoda"
"11","iNaturalist",3,2019,"San Clemente","Arachnida","Araneae","Agelenidae",NA,NA,"Agelenidae",32.91842667,-118.4887333,"Arthropoda"
"12","iNaturalist",8,2016,"Santa Catalina","Arachnida","Araneae","Agelenidae",NA,NA,"Agelenidae",33.471765,-118.550885,"Arthropoda"
"13","iNaturalist",7,2016,"Santa Catalina","Arachnida","Araneae","Agelenidae",NA,NA,"Agelenidae",33.43620333,-118.5019,"Arthropoda"
"14","iNaturalist",1,2019,"San Clemente","Arachnida","Araneae","Agelenidae",NA,NA,"Agelenidae",32.9947,-118.548677,"Arthropoda"
"15","iNaturalist",4,2018,"Santa Cruz","Arachnida","Araneae","Agelenidae",NA,NA,"Agelenidae",33.99585833,-119.7168283,"Arthropoda"
"16","iNaturalist",5,2019,"Santa Rosa","Arachnida","Araneae","Agelenidae",NA,NA,"Agelenidae",34.00791926,-120.0486022,"Arthropoda"
"17","iNaturalist",4,2019,"Santa Catalina","Arachnida","Araneae","Agelenidae",NA,NA,"Agelenidae",33.37524645,-118.4778551,"Arthropoda"
"18","iNaturalist",2,2021,"Santa Cruz","Arachnida","Araneae","Agelenidae",NA,NA,"Agelenidae",34.02675,-119.6952639,"Arthropoda"
"19","iNaturalist",NA,NA,"Santa Cruz","Arachnida","Araneae","Agelenidae",NA,NA,"Agelenidae",34.0232056,-119.7657663,"Arthropoda"
"20","iNaturalist",7,2015,"Santa Catalina","Arachnida","Araneae","Agelenidae",NA,NA,"Ageleninae",33.3847387,-118.4752862,"Arthropoda"
"21","iNaturalist",4,2017,"Santa Catalina","Arachnida","Araneae","Agelenidae","Agelenopsis",NA,"Agelenopsis",33.42894667,-118.4892883,"Arthropoda"
"22","iNaturalist",11,2013,"Santa Catalina","Arachnida","Araneae","Agelenidae","Agelenopsis",NA,"Agelenopsis",33.386534,-118.473733,"Arthropoda"
"23","iNaturalist",8,2015,"Santa Catalina","Arachnida","Araneae","Agelenidae","Agelenopsis",NA,"Agelenopsis",33.39553,-118.4491717,"Arthropoda"
"24","iNaturalist",10,2020,"Santa Catalina","Arachnida","Araneae","Agelenidae","Agelenopsis",NA,"Agelenopsis",33.44134807,-118.4922788,"Arthropoda"
"25","iNaturalist",7,2019,"Santa Catalina","Arachnida","Araneae","Agelenidae","Agelenopsis","Agelenopsis aperta","Agelenopsis aperta",33.44066667,-118.50087,"Arthropoda"
"26","iNaturalist",7,2015,"Santa Catalina","Arachnida","Araneae","Agelenidae","Agelenopsis","Agelenopsis aperta","Agelenopsis aperta",33.3200668,-118.3180553,"Arthropoda"
"27","iNaturalist",12,2019,"Santa Catalina","Arachnida","Araneae","Anyphaenidae","Anyphaena",NA,"Anyphaena",33.3560137,-118.4452891,"Arthropoda"
"28","iNaturalist",10,2017,"Santa Cruz","Arachnida","Araneae","Anyphaenidae",NA,NA,"Anyphaenidae",34.01080738,-119.660606,"Arthropoda"
"29","iNaturalist",NA,NA,"San Clemente","Arachnida","Araneae","Anyphaenidae",NA,NA,"Anyphaenidae",32.8779,-118.4353,"Arthropoda"
"30","iNaturalist",NA,NA,"Santa Cruz","Arachnida","Araneae","Anyphaenidae",NA,NA,"Anyphaenidae",34.0232056,-119.7657663,"Arthropoda"
"31","iNaturalist",NA,NA,"San Clemente","Arachnida","Trombidiformes","Anystidae",NA,NA,"Anystidae",32.8779,-118.4353,"Arthropoda"
"32","iNaturalist",NA,NA,"San Clemente","Arachnida","Trombidiformes","Anystidae",NA,NA,"Anystidae",32.8779,-118.4353,"Arthropoda"
"33","iNaturalist",3,2019,"San Clemente","Arachnida","Trombidiformes","Anystidae",NA,NA,"Anystidae",32.86809913,-118.4892184,"Arthropoda"
"34","iNaturalist",3,2019,"San Clemente","Arachnida","Trombidiformes","Anystidae",NA,NA,"Anystidae",32.87053167,-118.4872233,"Arthropoda"
"35","iNaturalist",NA,NA,"San Clemente","Arachnida","Trombidiformes","Anystidae",NA,NA,"Anystidae",32.8692,-118.4944,"Arthropoda"
"36","iNaturalist",3,2019,"San Clemente","Arachnida","Trombidiformes","Anystidae","Anystis",NA,"Anystis",32.87071667,-118.495235,"Arthropoda"
"37","iNaturalist",3,2020,"Santa Cruz","Arachnida","Araneae","Araneidae","Aculepeira","Aculepeira packardi","Aculepeira packardi",34.02053333,-119.5553967,"Arthropoda"
"38","iNaturalist",3,2020,"San Clemente","Arachnida","Araneae","Araneidae","Aculepeira","Aculepeira packardi","Aculepeira packardi",32.86214722,-118.4644167,"Arthropoda"
"39","iNaturalist",2,2020,"San Clemente","Arachnida","Araneae","Araneidae","Aculepeira","Aculepeira packardi","Aculepeira packardi",32.86302833,-118.4549133,"Arthropoda"
"40","iNaturalist",5,2019,"San Clemente","Arachnida","Araneae","Araneidae","Aculepeira","Aculepeira packardi","Aculepeira packardi",32.90632,-118.47512,"Arthropoda"
"41","iNaturalist",4,2017,"San Clemente","Arachnida","Araneae","Araneidae","Aculepeira","Aculepeira packardi","Aculepeira packardi",32.89022308,-118.448257,"Arthropoda"
"42","iNaturalist",NA,NA,"Santa Catalina","Arachnida","Araneae","Araneidae",NA,NA,"Araneidae",33.34583075,-118.3347511,"Arthropoda"
"43","iNaturalist",6,2020,"Santa Rosa","Arachnida","Araneae","Araneidae",NA,NA,"Araneidae",33.99014167,-120.0487528,"Arthropoda"
"44","iNaturalist",3,2020,"Santa Catalina","Arachnida","Araneae","Araneidae",NA,NA,"Araneidae",33.3508653,-118.3300394,"Arthropoda"
"45","iNaturalist",8,2020,"San Clemente","Arachnida","Araneae","Araneidae",NA,NA,"Araneidae",32.99588251,-118.553369,"Arthropoda"
"46","iNaturalist",8,2019,"San Clemente","Arachnida","Araneae","Araneidae",NA,NA,"Araneidae",32.86822865,-118.4793662,"Arthropoda"
"47","iNaturalist",1,2020,"San Clemente","Arachnida","Araneae","Araneidae",NA,NA,"Araneidae",32.91299667,-118.48027,"Arthropoda"
"48","iNaturalist",9,2019,"Santa Catalina","Arachnida","Araneae","Araneidae",NA,NA,"Araneidae",33.34386525,-118.328863,"Arthropoda"
"49","iNaturalist",1,2020,"Santa Catalina","Arachnida","Araneae","Araneidae",NA,NA,"Araneidae",33.34983425,-118.3331563,"Arthropoda"
"50","iNaturalist",9,2020,"Santa Catalina","Arachnida","Araneae","Araneidae",NA,NA,"Araneidae",33.35091902,-118.3301512,"Arthropoda"
"51","iNaturalist",5,2017,"Santa Cruz","Arachnida","Araneae","Araneidae",NA,NA,"Araneidae",34.02202208,-119.8709249,"Arthropoda"
"52","iNaturalist",8,2017,"Santa Catalina","Arachnida","Araneae","Araneidae",NA,NA,"Araneidae",33.30724834,-118.3371675,"Arthropoda"
"53","iNaturalist",NA,NA,"Santa Catalina","Arachnida","Araneae","Araneidae",NA,NA,"Araneidae",33.35637352,-118.4415506,"Arthropoda"
"54","iNaturalist",7,2019,"Santa Catalina","Arachnida","Araneae","Araneidae",NA,NA,"Araneinae",33.34985019,-118.3331864,"Arthropoda"
"55","iNaturalist",8,2015,"Santa Catalina","Arachnida","Araneae","Araneidae",NA,NA,"Araneinae",33.3428193,-118.3282279,"Arthropoda"
"56","iNaturalist",7,2020,"San Clemente","Arachnida","Araneae","Araneidae",NA,NA,"Araneinae",32.87450833,-118.4601217,"Arthropoda"
"57","iNaturalist",2,2021,"San Clemente","Arachnida","Araneae","Araneidae",NA,NA,"Araneinae",32.9086,-118.47683,"Arthropoda"
"58","iNaturalist",3,2019,"Santa Barbara","Arachnida","Araneae","Araneidae",NA,NA,"Araneinae",33.47573056,-119.0381,"Arthropoda"
"59","iNaturalist",6,2019,"Santa Catalina","Arachnida","Araneae","Araneidae",NA,NA,"Araneinae",33.47111333,-118.5342033,"Arthropoda"
"60","iNaturalist",6,2019,"Santa Catalina","Arachnida","Araneae","Araneidae",NA,NA,"Araneinae",33.35636092,-118.4415473,"Arthropoda"
"61","iNaturalist",NA,NA,"Santa Catalina","Arachnida","Araneae","Araneidae","Araneus",NA,"Araneus",33.34583075,-118.3347511,"Arthropoda"
"62","iNaturalist",3,2016,"San Clemente","Arachnida","Araneae","Araneidae","Araneus",NA,"Araneus",32.861421,-118.482485,"Arthropoda"
"63","iNaturalist",5,2019,"Santa Catalina","Arachnida","Araneae","Araneidae","Araneus",NA,"Araneus",33.45042833,-118.5037833,"Arthropoda"
"64","iNaturalist",NA,NA,"San Clemente","Arachnida","Araneae","Araneidae","Araneus",NA,"Araneus",32.8779,-118.4353,"Arthropoda"
"65","iNaturalist",7,2012,"Santa Catalina","Arachnida","Araneae","Araneidae","Araneus",NA,"Araneus",33.34857,-118.341337,"Arthropoda"
"66","iNaturalist",3,2019,"San Clemente","Arachnida","Araneae","Araneidae","Araneus",NA,"Araneus",32.86824333,-118.4891667,"Arthropoda"
"67","iNaturalist",6,2019,"San Clemente","Arachnida","Araneae","Araneidae","Araneus",NA,"Araneus",32.87710567,-118.4338865,"Arthropoda"
"68","iNaturalist",NA,NA,"San Clemente","Arachnida","Araneae","Araneidae","Araneus",NA,"Araneus",32.8781,-118.4349,"Arthropoda"
"69","iNaturalist",5,2019,"San Clemente","Arachnida","Araneae","Araneidae","Araneus",NA,"Araneus",32.99599075,-118.5523453,"Arthropoda"
"70","iNaturalist",8,2019,"San Clemente","Arachnida","Araneae","Araneidae","Araneus",NA,"Araneus",32.86801491,-118.4794237,"Arthropoda"
"71","iNaturalist",8,2019,"San Clemente","Arachnida","Araneae","Araneidae","Araneus",NA,"Araneus",32.86799002,-118.4790938,"Arthropoda"
"72","iNaturalist",7,2017,"Santa Catalina","Arachnida","Araneae","Araneidae","Araneus",NA,"Araneus",33.34775621,-118.4455579,"Arthropoda"
"73","iNaturalist",5,2019,"Santa Catalina","Arachnida","Araneae","Araneidae","Araneus",NA,"Araneus",33.356445,-118.4414283,"Arthropoda"
"74","iNaturalist",NA,NA,"San Clemente","Arachnida","Araneae","Araneidae","Araneus",NA,"Araneus",32.8692,-118.4944,"Arthropoda"
"75","iNaturalist",5,2019,"San Clemente","Arachnida","Araneae","Araneidae","Araneus",NA,"Araneus",32.84315833,-118.4748083,"Arthropoda"
"76","iNaturalist",8,2019,"San Clemente","Arachnida","Araneae","Araneidae","Araneus",NA,"Araneus",32.90689635,-118.5065669,"Arthropoda"
"77","iNaturalist",6,2020,"San Clemente","Arachnida","Araneae","Araneidae","Araneus",NA,"Araneus",32.92321333,-118.4934,"Arthropoda"
"78","iNaturalist",7,2020,"San Clemente","Arachnida","Araneae","Araneidae","Araneus",NA,"Araneus",32.87407,-118.4605033,"Arthropoda"
"79","iNaturalist",8,2020,"San Clemente","Arachnida","Araneae","Araneidae","Araneus",NA,"Araneus",32.92523,-118.4936133,"Arthropoda"
"80","iNaturalist",4,2019,"Santa Cruz","Arachnida","Araneae","Araneidae","Araneus",NA,"Araneus",33.99610333,-119.7161517,"Arthropoda"
"81","iNaturalist",4,2017,"Santa Catalina","Arachnida","Araneae","Araneidae","Araneus",NA,"Araneus",33.46680011,-118.5309476,"Arthropoda"
"82","iNaturalist",7,2020,"San Clemente","Arachnida","Araneae","Araneidae","Araneus","Araneus andrewsi","Araneus andrewsi",32.91755545,-118.4865266,"Arthropoda"
"83","iNaturalist",5,2017,"Santa Cruz","Arachnida","Araneae","Araneidae","Araneus","Araneus andrewsi","Araneus andrewsi",34.02211833,-119.870585,"Arthropoda"
"84","iNaturalist",7,2015,"Santa Cruz","Arachnida","Araneae","Araneidae","Araneus","Araneus andrewsi","Araneus andrewsi",33.997565,-119.72795,"Arthropoda"
"85","iNaturalist",6,2019,"Santa Catalina","Arachnida","Araneae","Araneidae","Araneus","Araneus andrewsi","Araneus andrewsi",33.39159825,-118.3712183,"Arthropoda"
"86","iNaturalist",6,2019,"Santa Catalina","Arachnida","Araneae","Araneidae","Araneus","Araneus andrewsi","Araneus andrewsi",33.39202446,-118.3703085,"Arthropoda"
"87","iNaturalist",6,2019,"Santa Catalina","Arachnida","Araneae","Araneidae","Araneus","Araneus andrewsi","Araneus andrewsi",33.39202446,-118.3703085,"Arthropoda"
"88","iNaturalist",7,2016,"Santa Catalina","Arachnida","Araneae","Araneidae","Araneus","Araneus detrimentosus","Araneus detrimentosus",33.47305556,-118.5491667,"Arthropoda"
"89","iNaturalist",12,2019,"Santa Catalina","Arachnida","Araneae","Araneidae","Araneus","Araneus gemma","Araneus gemma",33.3559861,-118.4452654,"Arthropoda"
"90","iNaturalist",9,2019,"Santa Catalina","Arachnida","Araneae","Araneidae","Argiope",NA,"Argiope",33.44741971,-118.4765282,"Arthropoda"
"91","iNaturalist",4,2017,"Santa Catalina","Arachnida","Araneae","Araneidae","Argiope","Argiope argentata","Argiope argentata",33.39034038,-118.4379944,"Arthropoda"
"92","iNaturalist",10,2018,"Santa Catalina","Arachnida","Araneae","Araneidae","Argiope","Argiope argentata","Argiope argentata",33.342295,-118.327905,"Arthropoda"
"93","iNaturalist",6,2019,"Santa Catalina","Arachnida","Araneae","Araneidae","Argiope","Argiope argentata","Argiope argentata",33.34153056,-118.3219389,"Arthropoda"
"94","iNaturalist",6,2019,"Santa Catalina","Arachnida","Araneae","Araneidae","Argiope","Argiope argentata","Argiope argentata",33.33561667,-118.3156667,"Arthropoda"
"95","iNaturalist",7,2015,"Santa Catalina","Arachnida","Araneae","Araneidae","Argiope","Argiope argentata","Argiope argentata",33.3847387,-118.4752862,"Arthropoda"
"96","iNaturalist",7,2015,"Santa Catalina","Arachnida","Araneae","Araneidae","Argiope","Argiope argentata","Argiope argentata",33.3847387,-118.4752862,"Arthropoda"
"97","iNaturalist",7,2015,"Santa Catalina","Arachnida","Araneae","Araneidae","Argiope","Argiope argentata","Argiope argentata",33.3847387,-118.4752862,"Arthropoda"
"98","iNaturalist",7,2015,"Santa Catalina","Arachnida","Araneae","Araneidae","Argiope","Argiope argentata","Argiope argentata",33.3847387,-118.4752862,"Arthropoda"
"99","iNaturalist",7,2015,"Santa Catalina","Arachnida","Araneae","Araneidae","Argiope","Argiope argentata","Argiope argentata",33.3847387,-118.4752862,"Arthropoda"
"100","iNaturalist",7,2015,"Santa Catalina","Arachnida","Araneae","Araneidae","Argiope","Argiope argentata","Argiope argentata",33.3847387,-118.4752862,"Arthropoda"
