"","source","month","year","island","order","acceptedFamily","acceptedGenus","acceptedName","scientificName","latitude","longitude","phylum","class"
"1","Cal-IBIS",9,1992,"Santa Cruz","Coleoptera",NA,NA,NA,"Coleoptera",34.016667,-119.716667,"Arthropoda","Insecta"
"2","Cal-IBIS",9,1992,"Santa Cruz","Coleoptera",NA,NA,NA,"Coleoptera",34.016667,-119.716667,"Arthropoda","Insecta"
"3","Cal-IBIS",6,2011,"Santa Cruz","Coleoptera",NA,NA,NA,"Coleoptera",34.008126,-119.724201,"Arthropoda","Insecta"
"4","Cal-IBIS",6,2011,"Santa Cruz","Coleoptera",NA,NA,NA,"Coleoptera",34.008126,-119.724201,"Arthropoda","Insecta"
"5","Cal-IBIS",6,2011,"Santa Cruz","Coleoptera",NA,NA,NA,"Coleoptera",34.008126,-119.724201,"Arthropoda","Insecta"
"6","Cal-IBIS",6,2008,"Santa Catalina","Coleoptera","Anobiidae","Byrrhodes",NA,"Byrrhodes",33.368,-118.4812,"Arthropoda","Insecta"
"7","Cal-IBIS",6,2008,"Anacapa","Coleoptera","Anobiidae","Ernobius",NA,"Ernobius",34.0152,-119.3656,"Arthropoda","Insecta"
"8","Cal-IBIS",6,2007,"Santa Rosa","Coleoptera","Anobiidae","Hemicoelus",NA,"Hemicoelus",34.0053,-120.0961,"Arthropoda","Insecta"
"9","Cal-IBIS",5,2009,"Santa Cruz","Coleoptera","Anobiidae","Petalium",NA,"Petalium",34.0019,-119.7127,"Arthropoda","Insecta"
"10","Cal-IBIS",3,2010,"San Clemente","Coleoptera","Anobiidae","Tricorynus",NA,"Tricorynus",32.9822,-118.5696,"Arthropoda","Insecta"
"11","Cal-IBIS",3,2010,"San Clemente","Coleoptera","Anobiidae","Tricorynus",NA,"Tricorynus",32.9822,-118.5696,"Arthropoda","Insecta"
"12","Cal-IBIS",6,2008,"San Clemente","Coleoptera","Anobiidae","Tricorynus",NA,"Tricorynus",33.0045,-118.5775,"Arthropoda","Insecta"
"13","Cal-IBIS",6,2008,"San Nicolas","Coleoptera","Anobiidae","Tricorynus",NA,"Tricorynus",33.2353,-119.5053,"Arthropoda","Insecta"
"14","Cal-IBIS",6,2008,"San Nicolas","Coleoptera","Anobiidae","Tricorynus",NA,"Tricorynus",33.2298,-119.5196,"Arthropoda","Insecta"
"15","Cal-IBIS",1,2010,"Santa Catalina","Coleoptera","Anobiidae","Tricorynus",NA,"Tricorynus",33.3648,-118.4663,"Arthropoda","Insecta"
"16","Cal-IBIS",1,2010,"Santa Catalina","Coleoptera","Anobiidae","Tricorynus",NA,"Tricorynus",33.3648,-118.4663,"Arthropoda","Insecta"
"17","Cal-IBIS",1,2010,"Santa Catalina","Coleoptera","Anobiidae","Tricorynus",NA,"Tricorynus",33.454,-118.5178,"Arthropoda","Insecta"
"18","Cal-IBIS",6,2008,"Santa Barbara","Coleoptera","Anobiidae","Tricorynus",NA,"Tricorynus",33.4865,-119.0302,"Arthropoda","Insecta"
"19","Cal-IBIS",9,2011,"Santa Cruz","Coleoptera","Anobiidae","Tricorynus",NA,"Tricorynus",34.017232,-119.786686,"Arthropoda","Insecta"
"20","Cal-IBIS",9,2011,"Santa Cruz","Coleoptera","Anobiidae","Tricorynus",NA,"Tricorynus",34.017232,-119.786686,"Arthropoda","Insecta"
