source,id,observed_on_string,observed_on,time_observed_at_split,year,month,day,time_observed_at_split2,time_observed_at_split3,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,island,latitude,longitude,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_town_name,place_county_name,place_state_name,place_country_name,place_admin1_name,place_admin2_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_phylum_name,taxon_class_name,acceptedOrder,acceptedFamily,acceptedGenus,acceptedName
iNaturalist,20155408,Tue Feb 05 2019 15:55:48 GMT-0800 (PST),2/5/2019 0:00,2/6/2019,2019,2,6,2:55:48,300,Pacific Time (US & Canada),213838,vireolanius,2019-02-06 18:15:13 +0300,2019-05-04 02:34:38 +0300,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/20155408,https://inaturalist-open-data.s3.amazonaws.com/photos/31090900/medium.jpg?1549466127,,,,4,0,FALSE,3,"San Clemente Island Underwater Range, , CA, US",San Clemente,33.00157581,-118.5545521,94,94,,,FALSE,,,,Los Angeles,California,United States,California,Los Angeles,Ambigolimax,Ambigolimax,Threeband Slugs,Mollusca,448395,Mollusca,Gastropoda,Stylommatophora,Limacidae,,
iNaturalist,20375203,Fri Feb 15 2019 10:20:50 GMT-0800 (PST),2/15/2019 0:00,2/15/2019,2019,2,15,21:20:50,300,Pacific Time (US & Canada),266196,shrike2,2019-02-16 03:39:43 +0300,2019-02-21 21:56:03 +0300,needs_id,CC-BY-NC-ND,https://www.inaturalist.org/observations/20375203,https://static.inaturalist.org/photos/31465138/medium.jpg?1550277705,,,,2,0,FALSE,3,"San Clemente Island Underwater Range, , CA, US",San Clemente,33.00235085,-118.5560432,15,15,,,FALSE,,,,Los Angeles,California,United States,California,Los Angeles,Ambigolimax,Ambigolimax,Threeband Slugs,Mollusca,448395,Mollusca,Gastropoda,Stylommatophora,Limacidae,,
iNaturalist,20858352,Thu Feb 28 2019 09:20:55 GMT-0800 (PST),2/28/2019 0:00,2/28/2019,2019,2,28,20:20:55,300,Pacific Time (US & Canada),266196,shrike2,2019-03-01 22:53:15 +0300,2019-03-06 08:21:52 +0300,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/20858352,https://static.inaturalist.org/photos/32179007/medium.jpg?1551469997,,,,2,0,FALSE,3,"San Clemente Island Underwater Range, , CA, US",San Clemente,33.00536203,-118.5538006,5,5,,,FALSE,,,,Los Angeles,California,United States,California,Los Angeles,Ambigolimax,Ambigolimax,Threeband Slugs,Mollusca,448395,Mollusca,Gastropoda,Stylommatophora,Limacidae,,
iNaturalist,20858369,Thu Feb 28 2019 09:21:03 GMT-0800 (PST),2/28/2019 0:00,2/28/2019,2019,2,28,20:21:03,300,Pacific Time (US & Canada),266196,shrike2,2019-03-01 22:54:03 +0300,2019-03-04 22:53:56 +0300,needs_id,CC-BY-NC-ND,https://www.inaturalist.org/observations/20858369,https://static.inaturalist.org/photos/32179042/medium.jpg?1551470045,,,,2,0,FALSE,3,"San Clemente Island Underwater Range, , CA, US",San Clemente,33.00536203,-118.5538006,1414,1414,,,FALSE,,,,Los Angeles,California,United States,California,Los Angeles,Ambigolimax,Ambigolimax,Threeband Slugs,Mollusca,448395,Mollusca,Gastropoda,Stylommatophora,Limacidae,,
iNaturalist,21230923,2019-03-06 1:35:57 PM PST,3/6/2019 0:00,3/7/2019,2019,3,7,0:35:57,300,Pacific Time (US & Canada),34488,pileated,2019-03-14 18:26:56 +0300,2020-04-23 21:20:49 +0300,needs_id,CC-BY,https://www.inaturalist.org/observations/21230923,https://inaturalist-open-data.s3.amazonaws.com/photos/32820654/medium.jpg?1552577217,,,,2,0,FALSE,2,"Los Angeles County, US-CA, US",San Clemente,32.99945987,-118.5530921,57,57,,,FALSE,,,,Los Angeles,California,United States,California,Los Angeles,Ambigolimax,Ambigolimax,Threeband Slugs,Mollusca,448395,Mollusca,Gastropoda,Stylommatophora,Limacidae,,
iNaturalist,21230934,2019-03-06 2:59:40 PM PST,3/6/2019 0:00,3/7/2019,2019,3,7,1:59:40,300,Pacific Time (US & Canada),34488,pileated,2019-03-14 18:27:19 +0300,2021-01-30 10:17:06 +0300,needs_id,CC-BY,https://www.inaturalist.org/observations/21230934,https://inaturalist-open-data.s3.amazonaws.com/photos/32820671/medium.jpeg?1552577241,,,,2,0,FALSE,2,"Los Angeles County, US-CA, US",San Clemente,32.99835968,-118.5529099,,,,,FALSE,gps,gps,,Los Angeles,California,United States,California,Los Angeles,Ambigolimax,Ambigolimax,Threeband Slugs,Mollusca,448395,Mollusca,Gastropoda,Stylommatophora,Limacidae,,
iNaturalist,21230935,2019-03-06 2:59:46 PM PST,3/6/2019 0:00,3/7/2019,2019,3,7,1:59:46,300,Pacific Time (US & Canada),34488,pileated,2019-03-14 18:27:25 +0300,2021-01-30 10:16:56 +0300,needs_id,CC-BY,https://www.inaturalist.org/observations/21230935,https://inaturalist-open-data.s3.amazonaws.com/photos/32820677/medium.jpeg?1552577246,,,,2,0,FALSE,2,"Los Angeles County, US-CA, US",San Clemente,32.99835968,-118.5529099,,,,,FALSE,gps,gps,,Los Angeles,California,United States,California,Los Angeles,Ambigolimax,Ambigolimax,Threeband Slugs,Mollusca,448395,Mollusca,Gastropoda,Stylommatophora,Limacidae,,
iNaturalist,21231061,2019-03-06 3:37:07 PM PST,3/6/2019 0:00,3/7/2019,2019,3,7,2:37:07,300,Pacific Time (US & Canada),34488,pileated,2019-03-14 18:32:09 +0300,2020-04-23 21:20:57 +0300,needs_id,CC-BY,https://www.inaturalist.org/observations/21231061,https://inaturalist-open-data.s3.amazonaws.com/photos/32820852/medium.jpg?1552577531,,,,2,0,FALSE,2,"Los Angeles County, US-CA, US",San Clemente,32.99835968,-118.5529099,,,,,FALSE,gps,gps,,Los Angeles,California,United States,California,Los Angeles,Ambigolimax,Ambigolimax,Threeband Slugs,Mollusca,448395,Mollusca,Gastropoda,Stylommatophora,Limacidae,,
iNaturalist,24082908,Mon Apr 29 2019 16:19:01 GMT-0700 (PDT),4/29/2019 0:00,4/30/2019,2019,4,30,2:19:01,300,Pacific Time (US & Canada),266196,shrike2,2019-04-30 03:38:41 +0300,2019-06-25 00:35:54 +0300,needs_id,CC-BY-NC-ND,https://www.inaturalist.org/observations/24082908,https://static.inaturalist.org/photos/37246213/medium.jpg?1556585017,,,,3,0,FALSE,3,"San Clemente Island Underwater Range, , CA, US",San Clemente,33.00205621,-118.5561811,10,10,,,FALSE,,,,Los Angeles,California,United States,California,Los Angeles,Ambigolimax,Ambigolimax,Threeband Slugs,Mollusca,448395,Mollusca,Gastropoda,Stylommatophora,Limacidae,,
iNaturalist,24840394,Thu May 09 2019 08:42:01 GMT-0700 (PDT),5/9/2019 0:00,5/9/2019,2019,5,9,18:42:01,300,Pacific Time (US & Canada),266196,shrike2,2019-05-09 18:54:45 +0300,2019-08-02 08:51:27 +0300,needs_id,CC-BY-NC-ND,https://www.inaturalist.org/observations/24840394,https://static.inaturalist.org/photos/38419929/medium.jpg?1557417302,,,,5,0,FALSE,3,"San Clemente Island Underwater Range, , CA, US",San Clemente,32.99601226,-118.5523109,19,19,,,FALSE,,,,Los Angeles,California,United States,California,Los Angeles,Ambigolimax,Ambigolimax,Threeband Slugs,Mollusca,448395,Mollusca,Gastropoda,Stylommatophora,Limacidae,,
iNaturalist,37081984,Sun Dec 29 2019 16:22:20 GMT-0800 (PST),12/29/2019 0:00,12/30/2019,2019,12,30,3:22:20,300,Pacific Time (US & Canada),266196,shrike2,2019-12-30 03:22:49 +0300,2019-12-30 10:30:33 +0300,needs_id,CC-BY-NC-ND,https://www.inaturalist.org/observations/37081984,https://static.inaturalist.org/photos/58727084/medium.jpg?1577665376,,,,2,0,FALSE,3,"San Clemente Island Underwater Range, CA, US",San Clemente,33.00215843,-118.5551008,5,5,,,FALSE,,,,Los Angeles,California,United States,California,Los Angeles,Threeband Slugs,Ambigolimax,Threeband Slugs,Mollusca,448395,Mollusca,Gastropoda,Stylommatophora,Limacidae,,
iNaturalist,37438309,Thu Jan 09 2020 11:36:34 GMT-0800 (PST),1/9/2020 0:00,1/9/2020,2020,1,9,22:36:34,300,Pacific Time (US & Canada),266196,shrike2,2020-01-10 00:56:47 +0300,2020-01-10 04:14:20 +0300,needs_id,CC-BY-NC-ND,https://www.inaturalist.org/observations/37438309,https://static.inaturalist.org/photos/59355974/medium.jpg?1578615472,,,,1,0,FALSE,3,"Los Angeles County, US-CA, US",San Clemente,32.94545527,-118.5349104,10,10,,,FALSE,,,,Los Angeles,California,United States,California,Los Angeles,Threeband Slugs,Ambigolimax,Threeband Slugs,Mollusca,448395,Mollusca,Gastropoda,Stylommatophora,Limacidae,,
iNaturalist,37465809,Fri Jan 10 2020 09:53:04 GMT-0800 (PST),1/10/2020 0:00,1/10/2020,2020,1,10,20:53:04,300,Pacific Time (US & Canada),266196,shrike2,2020-01-11 00:27:27 +0300,2020-01-11 00:45:20 +0300,needs_id,CC-BY-NC-ND,https://www.inaturalist.org/observations/37465809,https://static.inaturalist.org/photos/59398470/medium.jpg?1578691683,,,,1,0,FALSE,3,"Los Angeles County, US-CA, US",San Clemente,32.94364432,-118.5331541,5,5,,,FALSE,,,,Los Angeles,California,United States,California,Los Angeles,Threeband Slugs,Ambigolimax,Threeband Slugs,Mollusca,448395,Mollusca,Gastropoda,Stylommatophora,Limacidae,,
iNaturalist,37504529,Sat Jan 11 2020 12:48:47 GMT-0800 (PST),1/11/2020 0:00,1/11/2020,2020,1,11,23:48:47,300,Pacific Time (US & Canada),266196,shrike2,2020-01-12 03:30:23 +0300,2020-01-12 03:55:39 +0300,needs_id,CC-BY-NC-ND,https://www.inaturalist.org/observations/37504529,https://static.inaturalist.org/photos/59466550/medium.jpg?1578789052,,,,1,0,FALSE,3,"Los Angeles County, US-CA, US",San Clemente,32.99135985,-118.5546523,5,5,,,FALSE,,,,Los Angeles,California,United States,California,Los Angeles,Threeband Slugs,Ambigolimax,Threeband Slugs,Mollusca,448395,Mollusca,Gastropoda,Stylommatophora,Limacidae,,
iNaturalist,37504542,Sat Jan 11 2020 12:49:48 GMT-0800 (PST),1/11/2020 0:00,1/11/2020,2020,1,11,23:49:48,300,Pacific Time (US & Canada),266196,shrike2,2020-01-12 03:30:58 +0300,2020-01-12 03:45:46 +0300,needs_id,CC-BY-NC-ND,https://www.inaturalist.org/observations/37504542,https://static.inaturalist.org/photos/59466605/medium.jpg?1578789101,,,,1,0,FALSE,3,"Los Angeles County, US-CA, US",San Clemente,32.9913912,-118.5546755,5,5,,,FALSE,,,,Los Angeles,California,United States,California,Los Angeles,Threeband Slugs,Ambigolimax,Threeband Slugs,Mollusca,448395,Mollusca,Gastropoda,Stylommatophora,Limacidae,,
iNaturalist,37507645,Sat Jan 11 2020 13:03:08 GMT-0800 (PST),1/11/2020 0:00,1/12/2020,2020,1,12,0:03:08,300,Pacific Time (US & Canada),12809,cedric_lee,2020-01-12 05:08:24 +0300,2020-01-12 05:28:30 +0300,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/37507645,https://inaturalist-open-data.s3.amazonaws.com/photos/59472257/medium.jpg?1578794959,,,,1,0,FALSE,3,"Los Angeles County, US-CA, US",San Clemente,32.99137848,-118.5546106,48,48,,,FALSE,,,,Los Angeles,California,United States,California,Los Angeles,,Ambigolimax,Threeband Slugs,Mollusca,448395,Mollusca,Gastropoda,Stylommatophora,Limacidae,,
