"","Var1","Freq"
"1","Achatinidae",20
"2","Agriolimacidae",7
"3","Ampullariidae",1
"4","Ariolimacidae",17
"5","Assimineidae",3
"6","Binneyidae",2
"7","Camaenidae",1
"8","Ellobiidae",5
"9","Gastrodontidae",7
"10","Haplotrematidae",18
"11","Helicidae",146
"12","Helicinidae",2
"13","Helminthoglyptidae",419
"14","Helminthoglyptinae",4
"15","Limacidae",37
"16","Megomphicidae",1
"17","Milacidae",4
"18","Oreohelicidae",1
"19","Oreohelicidae ",1
"20","Oxychilidae",6
"21","Physidae",15
"22","Planorbidae",1
"23","Succineidae",78
"24","Valloniidae",4
"25","Vertiginidae",155
"26","Xanthonychidae",505
