id,source,institutio,collection,ownerInsti,collecti_1,basisOfRec,occurrence,catalogNum,otherCatal,kingdom,phylum,class,order_,acceptedOrder,family,acceptedFamily,scientific,taxonID,scientif_1,genus,acceptedGenus,specificEp,acceptedName,taxonRank,infraspeci,identified,dateIdenti,identifica,identifi_1,taxonRemar,identifi_2,typeStatus,recordedBy,recordNumb,eventDate,year,month,day,startDayOf,endDayOfYe,verbatimEv,occurren_1,habitat,fieldNumbe,informatio,dataGenera,dynamicPro,associated,reproducti,establishm,lifeStage,sex,individual,samplingPr,samplingEf,preparatio,country,stateProvi,county,municipali,locality,locationRe,island,decimalLat,decimalLon,geodeticDa,coordinate,verbatimCo,georeferen,georefer_1,georefer_2,georefer_3,georefer_4,minimumEle,maximumEle,minimumDep,maximumDep,verbatimDe,verbatimEl,dispositio,language,recordEnte,modified,rights,rightsHold,accessRigh,recordId,references
2380158,Cal-IBIS,CLO,ML, ,76106e1d-e895-4ce9-b896-91520f33f3af,MACHINE_OBSERVATION,b4b9e99a-c506-4a9c-a660-ac1e0c5d373f,455898, , , , , ,,Flabellinopsidae,,Flabellinopsis iodinea,945102,"(Cooper, 1862)",Flabellinopsis,,iodinea,, , , , , , , , , ,David O Brown, ,1/1/96 0:00,1996,1,1,1,0,1996,Age/Sex: Unknown Age Hermaphrodite (1). Embiotoca jacksoni and Oxyjulius also present., , , , , , , ,NATIVE, , ,0, , , , , , , ,"Channel Islands National Marine Sanctuary, off of Anacapa Island", ,Anacapa,34.01428,-119.3992, ,0, , , , ,requires verification, , , , , , , , ,en, ,11/4/15 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:deacad4b-bc29-43cb-98d9-a1ba36a99515,http://www.cal-ibis.org:80/collections/individual/index.php?occid=2380158
2380021,Cal-IBIS,AM,Malacology, ,76106e1d-e895-4ce9-b896-91520f33f3af,PRESERVED_SPECIMEN,71627930-61a6-4a83-b64c-d3a8e19cda71,C.518055,urn:lsid:ozcam.taxonomy.org.au:AM:Malacology:C.518055, , , , ,,Anabathridae,,Amphithalamus,22806,"Carpenter, 1864",Amphithalamus,, ,, , ,I.Loch, , , , , , , , ,9/23/69 0:00,1969,9,23,266,0,1969-09-23T00:00:00, , , , , , , , , , , ,0, , , , , , , , ,"ecatalogue.LocCollectionEventLocal: """"[MAL# 89523] U.S.A., California, Channel Ids, Middle Anacapa Is, S side (34Â° 00' 12"""" N, 119Â° 23' 53"""" W) 23/09/1969 - 23/09/1969, McLean, J. H.(Collector), SCUBA"""";",Anacapa,34.00341,-119.398, ,10000, , , , , , , , , , , , , , , ,1/22/21 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:6ce90469-2f00-4f82-8a3f-85331b9b3c21,http://www.cal-ibis.org:80/collections/individual/index.php?occid=2380021
2380019,Cal-IBIS,AM,Malacology, ,76106e1d-e895-4ce9-b896-91520f33f3af,PRESERVED_SPECIMEN,677c25a5-03b0-4ac8-add9-e92546ad7f6d,C.518056,urn:lsid:ozcam.taxonomy.org.au:AM:Malacology:C.518056, , , , ,,Anabathridae,,Amphithalamus,22806,"Carpenter, 1864",Amphithalamus,, ,, , ,I.Loch, , , , , , , , ,11/20/64 0:00,1964,11,20,325,0,1964-11-20T00:00:00, , , , , , , , , , , ,0, , , , , , , , ,"ecatalogue.LocCollectionEventLocal: """"[MAL# 89524] U.S.A., California, Channel Ids, Middle Anacapa Is, S side (34Â° 00' 12"""" N, 119Â° 23' 53"""" W) 20/11/1964 - 20/11/1964, Hochberg, F G - Santa Barbara Museum of Natural History(Collector), SCUBA"""";",Anacapa,34.00341,-119.398, ,10000, , , , , , , , , , , , , , , ,1/22/21 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:0ef9ce39-16fa-408a-a6d3-4d67cd024847,http://www.cal-ibis.org:80/collections/individual/index.php?occid=2380019
2374052,Cal-IBIS,GBIF,non-arthropods, ,76106e1d-e895-4ce9-b896-91520f33f3af,PRESERVED_SPECIMEN,KF270224, , , , , , ,,Tegulidae,,Tegula regina,416578,"Stearns, 1892",Tegula,,regina,, , ,David Kushner, , , , , , ,Melanie Ortiz, ,4/2/13 0:00,2013,4,2,92,0,2013-04-02T00:00:00, , , , , , , , , , , ,0, , , , , , , ,"USA:California, East Fish Camp/Anacapa Is.", ,Anacapa,34.01,-119.39, ,0, , , , , , , , , , , , , , , ,9/25/13 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:43b948e8-3475-482d-973e-2a6197386e84,http://www.cal-ibis.org:80/collections/individual/index.php?occid=2374052
2374037,Cal-IBIS,GBIF,non-arthropods, ,76106e1d-e895-4ce9-b896-91520f33f3af,PRESERVED_SPECIMEN,KF270233, , , , , , ,,Tegulidae,,Tegula regina,416578,"Stearns, 1892",Tegula,,regina,, , ,David Kushner, , , , , , ,David Rios, ,4/2/13 0:00,2013,4,2,92,0,2013-04-02T00:00:00, , , , , , , , , , , ,0, , , , , , , ,"USA:California, East Fish Camp/Anacapa Is.", ,Anacapa,34.01,-119.39, ,0, , , , , , , , , , , , , , , ,9/24/13 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:14cef1a5-e8c2-4b24-837c-1ed48ea723b7,http://www.cal-ibis.org:80/collections/individual/index.php?occid=2374037
2374028,Cal-IBIS,GBIF,non-arthropods, ,76106e1d-e895-4ce9-b896-91520f33f3af,PRESERVED_SPECIMEN,KF270234, , , , , , ,,Tegulidae,,Tegula regina,416578,"Stearns, 1892",Tegula,,regina,, , ,David Kushner, , , , , , ,Larry Zhang, ,4/2/13 0:00,2013,4,2,92,0,2013-04-02T00:00:00, , , , , , , , , , , ,0, , , , , , , ,"USA:California, East Fish Camp/Anacapa Is.", ,Anacapa,34.01,-119.39, ,0, , , , , , , , , , , , , , , ,9/24/13 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:ebc1d3b0-1a18-4138-8958-fc695d2b9e9b,http://www.cal-ibis.org:80/collections/individual/index.php?occid=2374028
2373948,Cal-IBIS,GBIF,non-arthropods, ,76106e1d-e895-4ce9-b896-91520f33f3af,PRESERVED_SPECIMEN,KF270235, , , , , , ,,Tegulidae,,Tegula regina,416578,"Stearns, 1892",Tegula,,regina,, , ,David Kushner, , , , , , ,Ami Ballmer, ,4/2/13 0:00,2013,4,2,92,0,2013-04-02T00:00:00, , , , , , , , , , , ,0, , , , , , , ,"USA:California, East Fish Camp/Anacapa Is.", ,Anacapa,34.01,-119.39, ,0, , , , , , , , , , , , , , , ,9/24/13 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:f1429270-d62a-4df0-8cc3-6a56ff26239a,http://www.cal-ibis.org:80/collections/individual/index.php?occid=2373948
2373882,Cal-IBIS,GBIF,non-arthropods, ,76106e1d-e895-4ce9-b896-91520f33f3af,PRESERVED_SPECIMEN,KF270226, , , , , , ,,Tegulidae,,Tegula regina,416578,"Stearns, 1892",Tegula,,regina,, , ,David Kushner, , , , , , ,Nicole KIm, ,4/2/13 0:00,2013,4,2,92,0,2013-04-02T00:00:00, , , , , , , , , , , ,0, , , , , , , ,"USA:California, East Fish Camp/Anacapa Is.", ,Anacapa,34.01,-119.39, ,0, , , , , , , , , , , , , , , ,9/25/13 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:8ee6dc9e-7f40-488f-ba72-07a797290626,http://www.cal-ibis.org:80/collections/individual/index.php?occid=2373882
2373881,Cal-IBIS,GBIF,non-arthropods, ,76106e1d-e895-4ce9-b896-91520f33f3af,PRESERVED_SPECIMEN,KF270225, , , , , , ,,Tegulidae,,Tegula regina,416578,"Stearns, 1892",Tegula,,regina,, , ,David Kushner, , , , , , ,Hana Chop, ,4/2/13 0:00,2013,4,2,92,0,2013-04-02T00:00:00, , , , , , , , , , , ,0, , , , , , , ,"USA:California, East Fish Camp/Anacapa Is.", ,Anacapa,34.01,-119.39, ,0, , , , , , , , , , , , , , , ,9/25/13 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:af4f76a9-0a99-4cc7-b2cf-288f92493158,http://www.cal-ibis.org:80/collections/individual/index.php?occid=2373881
2373862,Cal-IBIS,GBIF,non-arthropods, ,76106e1d-e895-4ce9-b896-91520f33f3af,PRESERVED_SPECIMEN,KF270237, , , , , , ,,Tegulidae,,Tegula regina,416578,"Stearns, 1892",Tegula,,regina,, , ,David Kushner, , , , , , ,Caroline Kim, ,4/2/13 0:00,2013,4,2,92,0,2013-04-02T00:00:00, , , , , , , , , , , ,0, , , , , , , ,"USA:California, East Fish Camp/Anacapa Is.", ,Anacapa,34.01,-119.39, ,0, , , , , , , , , , , , , , , ,9/24/13 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:8dfaeb8b-a7a5-47f2-a10d-baa16f09e210,http://www.cal-ibis.org:80/collections/individual/index.php?occid=2373862
