source,month,year,island,acceptedOrder,acceptedFamily,acceptedGenus,acceptedName,latitude,longitude
iNaturalist,2,2019,San Clemente,Stylommatophora,Limacidae,NA,NA,33.00157581,-118.5545521
iNaturalist,2,2019,San Clemente,Stylommatophora,Limacidae,NA,NA,33.00235085,-118.5560432
iNaturalist,2,2019,San Clemente,Stylommatophora,Limacidae,NA,NA,33.00536203,-118.5538006
iNaturalist,2,2019,San Clemente,Stylommatophora,Limacidae,NA,NA,33.00536203,-118.5538006
iNaturalist,3,2019,San Clemente,Stylommatophora,Limacidae,NA,NA,32.99945987,-118.5530921
iNaturalist,3,2019,San Clemente,Stylommatophora,Limacidae,NA,NA,32.99835968,-118.5529099
iNaturalist,3,2019,San Clemente,Stylommatophora,Limacidae,NA,NA,32.99835968,-118.5529099
iNaturalist,3,2019,San Clemente,Stylommatophora,Limacidae,NA,NA,32.99835968,-118.5529099
iNaturalist,4,2019,San Clemente,Stylommatophora,Limacidae,NA,NA,33.00205621,-118.5561811
iNaturalist,5,2019,San Clemente,Stylommatophora,Limacidae,NA,NA,32.99601226,-118.5523109
iNaturalist,12,2019,San Clemente,Stylommatophora,Limacidae,NA,NA,33.00215843,-118.5551008
iNaturalist,1,2020,San Clemente,Stylommatophora,Limacidae,NA,NA,32.94545527,-118.5349104
iNaturalist,1,2020,San Clemente,Stylommatophora,Limacidae,NA,NA,32.94364432,-118.5331541
iNaturalist,1,2020,San Clemente,Stylommatophora,Limacidae,NA,NA,32.99135985,-118.5546523
iNaturalist,1,2020,San Clemente,Stylommatophora,Limacidae,NA,NA,32.9913912,-118.5546755
iNaturalist,1,2020,San Clemente,Stylommatophora,Limacidae,NA,NA,32.99137848,-118.5546106
iNaturalist,1,2020,San Clemente,Stylommatophora,Limacidae,NA,NA,32.99760508,-118.5556448
iNaturalist,1,2020,San Clemente,Stylommatophora,Limacidae,NA,NA,32.99802808,-118.5543049
iNaturalist,1,2020,San Clemente,Stylommatophora,Limacidae,NA,NA,33.00475447,-118.5529343
iNaturalist,2,2020,San Clemente,Stylommatophora,Limacidae,NA,NA,32.99884936,-118.5535322
iNaturalist,2,2020,San Clemente,Stylommatophora,Limacidae,NA,NA,33.00229124,-118.5551117
iNaturalist,2,2020,San Clemente,Stylommatophora,Limacidae,NA,NA,33.0269305,-118.584895
iNaturalist,2,2020,San Clemente,Stylommatophora,Limacidae,NA,NA,33.02646478,-118.5869418
iNaturalist,3,2020,San Clemente,Stylommatophora,Limacidae,NA,NA,33.00198055,-118.554795
iNaturalist,7,2014,Santa Catalina,Stylommatophora,Limacidae,NA,NA,33.342819,-118.328228
iNaturalist,5,2019,Santa Catalina,Stylommatophora,Limacidae,NA,NA,33.35565815,-118.4375909
iNaturalist,11,2017,Santa Cruz,Stylommatophora,Limacidae,NA,NA,34.04995283,-119.5618967
iNaturalist,1,2020,San Clemente,Stylommatophora,Limacidae,NA,NA,32.99802988,-118.5560639
iNaturalist,1,2020,San Clemente,Stylommatophora,Limacidae,NA,NA,32.99590768,-118.5537351
iNaturalist,7,2018,Santa Cruz,NA,Ariolimacidae,NA,NA,34.01891383,-119.68135
iNaturalist,7,2018,Santa Cruz,NA,Ariolimacidae,NA,NA,34.0188445,-119.6811667
iNaturalist,4,2012,Santa Cruz,NA,Ariolimacidae,NA,NA,33.997422,-119.717225
iNaturalist,4,2012,Santa Cruz,NA,Ariolimacidae,NA,NA,33.997422,-119.717225
iNaturalist,3,2019,Santa Cruz,NA,Ariolimacidae,NA,NA,33.99902437,-119.7342411
iNaturalist,4,2020,Santa Cruz,NA,Ariolimacidae,NA,NA,34.00483588,-119.7118485
iNaturalist,NA,NA,Santa Rosa,NA,Ariolimacidae,NA,NA,34.006093,-120.092278
iNaturalist,5,2016,Santa Rosa,NA,Ariolimacidae,NA,NA,34.01093333,-120.0940167
iNaturalist,5,2018,Santa Rosa,NA,Ariolimacidae,NA,NA,34.01264191,-120.0966187
iNaturalist,10,2018,Santa Rosa,NA,Ariolimacidae,NA,NA,34.00515,-120.0915222
iNaturalist,5,2019,Santa Rosa,NA,Ariolimacidae,NA,NA,33.96677399,-120.1227493
iNaturalist,6,2020,Santa Rosa,NA,Ariolimacidae,NA,NA,34.01501577,-120.0978636
iNaturalist,6,2017,Santa Rosa,NA,Ariolimacidae,NA,NA,34.01079145,-120.0966904
iNaturalist,4,2018,Santa Rosa,NA,Ariolimacidae,NA,NA,34.00468889,-120.0913083
iNaturalist,4,2018,Santa Rosa,NA,Ariolimacidae,NA,NA,34.01080833,-120.095475
iNaturalist,4,2021,Santa Rosa,NA,Ariolimacidae,NA,NA,34.00751945,-120.0918972
iNaturalist,5,2021,Santa Rosa,NA,Ariolimacidae,NA,NA,34.00831112,-120.0919583
iNaturalist,11,2019,San Nicolas,NA,Binneyidae,NA,NA,33.20384565,-119.5377939
iNaturalist,1,2020,Santa Barbara,NA,Binneyidae,NA,NA,33.44081303,-119.1060969
iNaturalist,3,2019,San Nicolas,Stylommatophora,Succineidae,NA,NA,33.24993611,-119.4588611
iNaturalist,8,2014,San Nicolas,Stylommatophora,Succineidae,NA,NA,33.261912,-119.49128
iNaturalist,2,2019,San Nicolas,Stylommatophora,Succineidae,NA,NA,33.217755,-119.4643033
iNaturalist,6,2019,San Nicolas,Stylommatophora,Succineidae,NA,NA,33.22125244,-119.4497375
iNaturalist,6,2019,San Nicolas,Stylommatophora,Succineidae,NA,NA,33.24750868,-119.5064415
iNaturalist,11,2019,San Nicolas,Stylommatophora,Succineidae,NA,NA,33.24545288,-119.4510117
iNaturalist,11,2019,San Nicolas,Stylommatophora,Succineidae,NA,NA,33.22774887,-119.4364853
iNaturalist,1,2017,San Clemente,Stylommatophora,Helicidae,NA,NA,33.01553056,-118.5772028
iNaturalist,1,2017,San Clemente,Stylommatophora,Helicidae,NA,NA,33.01611667,-118.5931917
iNaturalist,4,2017,San Clemente,Stylommatophora,Helicidae,NA,NA,33.00217089,-118.5550444
iNaturalist,12,2018,San Clemente,Stylommatophora,Helicidae,NA,NA,33.02398859,-118.5900881
iNaturalist,2,2019,San Clemente,Stylommatophora,Helicidae,NA,NA,32.8928564,-118.4848759
iNaturalist,2,2019,San Clemente,Stylommatophora,Helicidae,NA,NA,33.0023991,-118.5560132
iNaturalist,2,2019,San Clemente,Stylommatophora,Helicidae,NA,NA,32.94546998,-118.5292019
iNaturalist,2,2019,San Clemente,Stylommatophora,Helicidae,NA,NA,33.01646126,-118.5963036
iNaturalist,2,2019,San Clemente,Stylommatophora,Helicidae,NA,NA,33.01645003,-118.5964672
iNaturalist,3,2019,San Clemente,Stylommatophora,Helicidae,NA,NA,32.99664146,-118.5566181
iNaturalist,NA,NA,San Clemente,Stylommatophora,Helicidae,NA,NA,33.00229939,-118.5553397
iNaturalist,3,2019,San Clemente,Stylommatophora,Helicidae,NA,NA,32.99871193,-118.5545322
