id,source,institutio,collection,ownerInsti,collecti_1,basisOfRec,occurrence,catalogNum,otherCatal,kingdom,phylum,class,order_,family,acceptedFamily,scientific,taxonID,scientif_1,genus,acceptedGenus,acceptedName,specificEp,taxonRank,infraspeci,identified,dateIdenti,identifica,identifi_1,taxonRemar,identifi_2,typeStatus,recordedBy,recordNumb,eventDate,year,month,day,startDayOf,endDayOfYe,verbatimEv,occurren_1,habitat,fieldNumbe,informatio,dataGenera,dynamicPro,associated,reproducti,establishm,lifeStage,sex,individual,samplingPr,samplingEf,preparatio,country,stateProvi,county,municipali,island,locality,ArcMap_IslandName,locationRe,decimalLat,decimalLon,geodeticDa,coordinate,verbatimCo,georeferen,georefer_1,georefer_2,georefer_3,georefer_4,minimumEle,maximumEle,minimumDep,maximumDep,verbatimDe,verbatimEl,dispositio,language,recordEnte,modified,rights,rightsHold,accessRigh,recordId,references
1575927,Cal-IBIS,UMMZ,ummzi, ,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,0393e1f6-95eb-4e7f-910c-30e9771c4e07,UMMZODO-0283, ,Animalia,Arthropoda,Insecta,Odonata,AESHNIDAE,Aeshnidae,Aeshna walkeri,83999,"Kennedy, 1917",Aeshna,Aeshna,Aeshna walkeri,walkeri, , ,C.H. Kennedy, , , , ,0,|null|,C.H. Kennedy, ,1/8/15 0:00,1915,1,8,8,0,1/8/15, , , , , , , , , ,exuviae, ,0, , ,Vial or Jar - 19,United States,California,Santa Cruz, ,Santa Cruz,Santa Cruz Island,Santa Cruz, ,34.012509,-119.730634, ,0, , , , , , ,0, , , , , , , , ,11/4/20 17:35,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:ee0ef414-ce4e-4406-a2fc-41f8735940ee,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1575927
1575926,Cal-IBIS,UMMZ,ummzi, ,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,2d8f5297-57ec-474d-8289-9c9963096c43,UMMZODO-0154, ,Animalia,Arthropoda,Insecta,Odonata,AESHNIDAE,Aeshnidae,Aeshna walkeri,83999,"Kennedy, 1917",Aeshna,Aeshna,Aeshna walkeri,walkeri, , ,C.H. Kennedy, , , , ,0,|null|,C.H. Kennedy, ,8/1/15 0:00,1915,8,1,213,0,8/1/15, , , , , , , , , ,exuviae, ,0, , ,Vial or Jar - 19,United States,California,Santa Cruz, ,Santa Cruz,Santa Cruz Island,Santa Cruz, ,34.012509,-119.730634, ,0, , , , , , ,0, , , , , , , , ,11/4/20 17:35,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:0c1f9285-7c72-4e52-af6f-d46ab3f142ca,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1575926
1575928,Cal-IBIS,UMMZ,ummzi, ,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,e3b89b1c-f0aa-42f0-9328-f47e7da2f819,UMMZODO-0742, ,Animalia,Arthropoda,Insecta,Odonata,AESHNIDAE,Aeshnidae,Aeshna walkeri,83999,"Kennedy, 1917",Aeshna,Aeshna,Aeshna walkeri,walkeri, , ,C.H. Kennedy, , , , ,0,|null|,C.H. Kennedy, ,1/8/15 0:00,1915,1,8,8,0,1/8/15, , , , , , , , , ,exuviae, ,0, , ,Vial or Jar - 2,United States,California,Santa Cruz, ,Santa Cruz,Santa Cruz Island,Santa Cruz, ,34.012509,-119.730634, ,0, , , , , , ,0, , , , , , , , ,11/4/20 17:35,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:9fd45901-93b8-452c-82b8-ee659b46695a,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1575928
1575925,Cal-IBIS,UMMZ,ummzi, ,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,eab29262-fad5-4caf-a5d0-b74da803b5a3,UMMZODO-0025, ,Animalia,Arthropoda,Insecta,Odonata,AESHNIDAE,Aeshnidae,Aeshna walkeri,83999,"Kennedy, 1917",Aeshna,Aeshna,Aeshna walkeri,walkeri, , , , , , , ,0,|null|, , ,,,,0,0,0, , , , , , , , , , ,exuviae, ,0, , ,Vial or Jar - 5,United States,California,Santa Cruz, ,Santa Cruz,"Santa Cruz Island, Frys Harbor",Santa Cruz, ,34.054746,-119.754857, ,0, , , , , , ,0, , , , , , , , ,11/4/20 17:35,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:9f56d5d5-394d-4dd4-8b80-c2e749bd87a1,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1575925
1573041,Cal-IBIS,USNM,Entomology, ,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,http://n2t.net/ark:/65665/374cc99b0-1965-4555-99d4-c6a5ed4320c6,USNMENT487766, ,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Aeshnidae,Aeshna walkeri,83999,"Kennedy, 1917",Aeshna,Aeshna,Aeshna walkeri,walkeri, , ,"Kennedy, C. H.", , , , ,0, ,C. Kennedy, ,7/23/15 0:00,1915,7,23,204,204,7/23/15, , , , , , , , , ,Adult, ,1, , ,Pinned,United States,California,Santa Barbara, ,Santa Cruz,"Frys Harbor, Santa Cruz Island", , ,0,0, ,0,",", , , , , ,0, , , , , , , , ,10/17/18 5:44,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:20dfdd60-311c-48be-83be-9afd972312be,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1573041
1573114,Cal-IBIS,USNM,Entomology, ,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,http://n2t.net/ark:/65665/3a407a739-4213-4979-9fb3-c435a5c92e97,USNMENT487764, ,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Aeshnidae,Aeshna walkeri,83999,"Kennedy, 1917",Aeshna,Aeshna,Aeshna walkeri,walkeri, , ,"Kennedy, C. H.", , , , ,0, ,C. Kennedy, ,7/29/15 0:00,1915,7,29,210,210,7/29/15, , , , , , , , , ,Adult, ,1, , ,Pinned,United States,California,Santa Barbara, ,Santa Cruz,"Frys Harbor, Santa Cruz Island", , ,0,0, ,0,",", , , , , ,0, , , , , , , , ,10/17/18 5:44,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:3b2e2866-8d57-4b9f-9335-97911bf108c7,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1573114
1573056,Cal-IBIS,USNM,Entomology, ,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,http://n2t.net/ark:/65665/3ab901950-2c8b-4031-9598-e9881aad2ea1,USNMENT487765, ,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Aeshnidae,Aeshna walkeri,83999,"Kennedy, 1917",Aeshna,Aeshna,Aeshna walkeri,walkeri, , ,"Kennedy, C. H.", , , , ,0, ,C. Kennedy, ,7/29/15 0:00,1915,7,29,210,210,7/29/15, , , , , , , , , ,Adult, ,1, , ,Pinned,United States,California,Santa Barbara, ,Santa Cruz,"Frys Harbor, Santa Cruz Island", , ,0,0, ,0,",", , , , , ,0, , , , , , , , ,10/17/18 5:44,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:cabbbfac-b19e-4d54-af4f-2f497e83d60b,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1573056
1573131,Cal-IBIS,USNM,Entomology, ,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,http://n2t.net/ark:/65665/3cd138ff3-2874-4bd2-95e6-2b5c0dbcc25e,USNMENT487767, ,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Aeshnidae,Aeshna walkeri,83999,"Kennedy, 1917",Aeshna,Aeshna,Aeshna walkeri,walkeri, , ,"Kennedy, C. H.", , , , ,0, ,C. Kennedy, ,7/29/15 0:00,1915,7,29,210,210,7/29/15, , , , , , , , , ,Adult, ,1, , ,Pinned,United States,California,Santa Barbara, ,Santa Cruz,"Frys Harbor, Santa Cruz Island", , ,0,0, ,0,",", , , , , ,0, , , , , , , , ,10/17/18 5:44,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:d19f632c-6c7e-4a59-9ea6-1b85545705bf,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1573131
1578344,Cal-IBIS,CAS,ENT, ,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,79c65312-ef44-4d05-be9c-80a1b6a15ea0,8128822, ,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Aeshnidae,Anax junius,92552,"(Drury, 1773)",Anax,Anax,Anax junius,junius, , , , , , , ,0, ,"M. Willows, Jr.", ,8/27/32 0:00,1932,8,27,240,0,DMY: 27-8-1932,taken on ship, , , , , , , , , , ,1, , , ,United States,California,Ventura, ,San Nicolas,San Nicolas Island,San Nicolas, ,33.2483,-119.50803, ,0,"33.2483, -119.50803", , , , , ,0, , , , , , , ,Hoa Francisco Ngo,2012-00-00 00:00:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:906e7718-07ec-4211-a478-30ef270439b8,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1578344
1578346,Cal-IBIS,CAS,ENT, ,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,af2b78e8-968d-4a28-a4ea-a0a161e1836b,8128841, ,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Aeshnidae,Anax junius,92552,"(Drury, 1773)",Anax,Anax,Anax junius,junius, , , , , , , ,0, ,"M. Willows, Jr.", ,8/27/32 0:00,1932,8,27,240,0,DMY: 27-8-1932,taken on ship, , , , , , , , , , ,1, , , ,United States,California,Ventura, ,San Nicolas,San Nicolas Island,San Nicolas, ,33.2483,-119.50803, ,0,"33.2483, -119.50803", , , , , ,0, , , , , , , ,Hoa Francisco Ngo,2012-00-00 00:00:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:5adc6885-6d5d-4d1a-862e-7ce20e6e8a1f,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1578346
