id,observed_on_string,source,year,month,observed_on,time_observed_at,time_zone,user_id,observed_on,,,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,island,latitude,longitude,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_order_name,acceptedOrder,taxon_family_name,acceptedFamily,taxon_genus_name,acceptedGenus,taxon_species_name,acceptedName,taxon_subspecies_name,Notes
56512424,2020/08/14 8:59 AM PDT,iNaturalist,2020,8,8/14/20 0:00,2020-08-14 15:59:00 UTC,Pacific Time (US & Canada),213838,8/14/20,12:00:00,AM,vireolanius,2020-08-15 14:06:10 UTC,2020-08-15 14:12:10 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/56512424,https://inaturalist-open-data.s3.amazonaws.com/photos/90064592/medium.jpg?1597500042,,,,0,0,FALSE,,"cave pond, san clemente island, ca",San Clemente,32.873537,-118.447583,151,151,,,FALSE,,manual,Darners,Aeshnidae,Darners,Insecta,51469,Odonata,Odonata,Aeshnidae,Aeshnidae,,,,,,
15000631,2018/07/11 4:20 PM PDT,iNaturalist,2018,7,7/11/18 0:00,2018-07-11 23:20:00 UTC,Pacific Time (US & Canada),266196,7/11/18,12:00:00,AM,shrike2,2018-07-31 23:43:49 UTC,2020-09-18 01:25:00 UTC,needs_id,CC-BY-NC-ND,https://www.inaturalist.org/observations/15000631,https://inaturalist-open-data.s3.amazonaws.com/photos/22379917/medium.jpg?1533080386,,,,1,0,FALSE,,"Los Angeles County, CA, USA",San Clemente,32.92261906,-118.500446,1046,1046,,,FALSE,,,Darners,Aeshnidae,Darners,Insecta,51469,Odonata,Odonata,Aeshnidae,Aeshnidae,,,,,,
14092032,2018/06/11 4:37 PM PDT,iNaturalist,2018,6,6/11/18 0:00,2018-06-11 23:37:00 UTC,Pacific Time (US & Canada),213838,6/11/18,12:00:00,AM,vireolanius,2018-07-06 02:13:56 UTC,2018-07-07 21:37:26 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/14092032,https://inaturalist-open-data.s3.amazonaws.com/photos/20866134/medium.jpg?1530843199,,,,1,0,FALSE,,"san clemente island, ca",San Clemente,32.930444,-118.507166,274,274,,,FALSE,,manual,Darners,Aeshnidae,Darners,Insecta,51469,Odonata,Odonata,Aeshnidae,Aeshnidae,,,,,,
17864545,2018/09/20 9:27 AM PDT,iNaturalist,2018,9,9/20/18 0:00,2018-09-20 16:27:00 UTC,Pacific Time (US & Canada),213838,9/20/18,12:00:00,AM,vireolanius,2018-10-27 00:00:07 UTC,2018-10-27 00:11:12 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/17864545,https://inaturalist-open-data.s3.amazonaws.com/photos/27273515/medium.jpg?1540598392,,,,0,0,FALSE,,"san clemente island, ca",San Clemente,32.929632,-118.506347,137,137,,,FALSE,,manual,Darners,Aeshnidae,Darners,Insecta,51469,Odonata,Odonata,Aeshnidae,Aeshnidae,,,,,,
5884692,Thu Apr 20 2017 14:06:28 GMT-0700 (PDT),iNaturalist,2017,4,4/20/17 0:00,2017-04-20 21:06:28 UTC,Pacific Time (US & Canada),280979,4/20/17,12:00:00,AM,emshaph,2017-04-21 05:19:02 UTC,2020-05-16 15:09:21 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/5884692,https://inaturalist-open-data.s3.amazonaws.com/photos/7334122/medium.jpg?1492751970,,,,1,0,FALSE,3,"Santa Catalina Island, Avalon, CA, US",Santa Catalina,33.46213324,-118.5456924,22,22,,,FALSE,,,Darners,Aeshnidae,Darners,Insecta,51469,Odonata,Odonata,Aeshnidae,Aeshnidae,,,,,,
1472749,5/16/12,iNaturalist,2012,5,5/16/12 0:00,,Pacific Time (US & Canada),95810,5/16/12,12:00:00,AM,kiloueka,2015-05-10 09:13:45 UTC,2016-08-09 01:19:55 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1472749,https://inaturalist-open-data.s3.amazonaws.com/photos/1825855/medium.png?1431249235,,,,2,0,FALSE,,Haypress Reservoir,Santa Catalina,33.352872,-118.361079,199,199,,open,FALSE,,,Common Green Darner,Anax junius,Common Green Darner,Insecta,67731,Odonata,Odonata,Aeshnidae,Aeshnidae,Anax,Anax,Anax junius,Anax junius,,
57554384,2020/08/18 8:33 AM PDT,iNaturalist,2020,8,8/18/20 0:00,2020-08-18 15:33:00 UTC,Pacific Time (US & Canada),266196,8/18/20,12:00:00,AM,shrike2,2020-08-25 16:13:42 UTC,2020-08-25 16:53:00 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/57554384,https://static.inaturalist.org/photos/91812432/medium.jpeg?1598371890,,,,1,0,FALSE,,"Los Angeles County, CA, USA",San Clemente,32.92991111,-118.5066028,,,,open,FALSE,,,Common Green Darner,Anax junius,Common Green Darner,Insecta,67731,Odonata,Odonata,Aeshnidae,Aeshnidae,Anax,Anax,Anax junius,Anax junius,,
61720305,2020/09/23 11:56 AM PDT,iNaturalist,2020,9,9/23/20 0:00,2020-09-23 18:56:00 UTC,Pacific Time (US & Canada),266196,9/23/20,12:00:00,AM,shrike2,2020-10-04 21:45:47 UTC,2020-10-04 22:59:47 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/61720305,https://static.inaturalist.org/photos/98792987/medium.jpeg?1601847866,,,,1,0,FALSE,,"Los Angeles County, CA, USA",San Clemente,32.92956389,-118.5073194,,,,open,FALSE,,,Common Green Darner,Anax junius,Common Green Darner,Insecta,67731,Odonata,Odonata,Aeshnidae,Aeshnidae,Anax,Anax,Anax junius,Anax junius,,
12493495,Mon May 07 2018 08:04:31 GMT-0700 (PDT),iNaturalist,2018,5,5/7/18 0:00,2018-05-07 15:04:31 UTC,Pacific Time (US & Canada),266196,5/7/18,12:00:00,AM,shrike2,2018-05-15 20:47:37 UTC,2018-07-23 05:45:38 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/12493495,https://inaturalist-open-data.s3.amazonaws.com/photos/18033777/medium.jpg?1526417276,,,,2,0,FALSE,3,"Los Angeles County, US-CA, US",San Clemente,32.92966448,-118.5064816,5,5,,open,FALSE,,,Common Green Darner,Anax junius,Common Green Darner,Insecta,67731,Odonata,Odonata,Aeshnidae,Aeshnidae,Anax,Anax,Anax junius,Anax junius,,
7029768,2017-07-12 10:03:29 AM PDT,iNaturalist,2017,7,7/12/17 0:00,2017-07-12 17:03:29 UTC,Pacific Time (US & Canada),392423,7/12/17,12:00:00,AM,bjdion,2017-07-12 23:15:03 UTC,2017-10-15 22:40:50 UTC,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/7029768,https://inaturalist-open-data.s3.amazonaws.com/photos/9017286/medium.jpeg?1499901397,,,,2,0,FALSE,2,"Los Angeles County, US-CA, US",Santa Catalina,33.34222312,-118.4265316,6,6,,open,FALSE,,,Common Green Darner,Anax junius,Common Green Darner,Insecta,67731,Odonata,Odonata,Aeshnidae,Aeshnidae,Anax,Anax,Anax junius,Anax junius,,
