,acceptedName...1,id,institutio,collection,ownerInsti,collecti_1,basisOfRec,occurrence,catalogNum,otherCatal,kingdom,phylum,class,order_,family,scientificName,acceptedName...17,taxonID,scientif_1,genus,specificEp,taxonRank,infraspeci,identified,dateIdenti,identifica,identifi_1,taxonRemar,identifi_2,typeStatus,recordedBy,recordNumb,eventDate,year,month,day,startDayOf,endDayOfYe,verbatimEv,occurren_1,habitat,fieldNumbe,informatio,dataGenera,dynamicPro,associated,reproducti,establishm,lifeStage,sex,individual,samplingPr,samplingEf,preparation,country,stateProvi,county,municipali,ISLAND,locality,ArcMap_IslandNames,locationRe,decimalLat,decimalLon,geodeticDa,coordinate,verbatimCo,georeferen,georefer_1,georefer_2,georefer_3,georefer_4,minimumEle,maximumEle,minimumDep,maximumDep,verbatimDe,verbatimEl,dispositio,language,recordEnte,modified,rights,rightsHold,accessRigh,recordId,references,order,acceptedFamily,acceptedGenus,acceptedName
1,Acrididae,1574892,UCSB,IZC,,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,0c57cd0e-4756-4b1f-9ef7-5c3fe272838f,UCSB-IZC00031168,,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Acrididae,Acrididae,45411,"MacLeay, 1819",,,,,,,,,,0,,,0,9/18/1975,1975,9,18,261,,18 Sept. 1975,,,0,,,,,,,,,1,,,pinned,United States,California,Santa Barbara,,Santa Cruz,Santa Cruz Island,Santa Cruz,,33.998239,-119.725508,WGS84,20600,,entan (2019-09-19 15:25:08),,georef batch tool 2019-09-19; GeoLocate,reviewed - high confidence,,0,0,,,,,,,SandyCui,2/7/2020 0:00,http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:d08b05a5-15dd-4cec-ae67-e96a43819267,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1574892,Orthoptera,Acrididae,,
2,Acrididae,1574888,UCSB,IZC,,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,0cf1a862-dd8d-470c-8a2b-aeb71de38daa,UCSB-IZC00031347,,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Acrididae,Acrididae,45411,"MacLeay, 1819",,,,,,,,,,0,,,0,6/1/1976,1976,6,1,153,,Jun-76,,,0,,,,,,,,,1,,,pinned,United States,California,Santa Barbara,,Santa Cruz,Santa Cruz Island,Santa Cruz,,33.998239,-119.725508,WGS84,20600,,entan (2019-09-19 15:25:08),,georef batch tool 2019-09-19; GeoLocate,reviewed - high confidence,,0,0,,,,,,,SandyCui,2/7/2020 0:00,http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:1f3400c9-0ab1-489f-9ea7-79ddf9ed1b2d,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1574888,Orthoptera,Acrididae,,
3,Acrididae,1574880,UCSB,IZC,,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,0d1a4afb-379b-4f91-b68a-1e3e6d5d4722,UCSB-IZC00031359,,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Acrididae,Acrididae,45411,"MacLeay, 1819",,,,,,,,,,0,,,0,9/18/1975,1975,9,18,261,,18 Sept. 1975,,,0,,,,,,,,,1,,,pinned,United States,California,Santa Barbara,,Santa Cruz,Santa Cruz Island,Santa Cruz,,33.998239,-119.725508,WGS84,20600,,entan (2019-09-19 15:25:08),,georef batch tool 2019-09-19; GeoLocate,reviewed - high confidence,,0,0,,,,,,,SandyCui,2/7/2020 0:00,http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:3e237f54-96f6-4995-ac2f-265f0e827fe6,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1574880,Orthoptera,Acrididae,,
4,Acrididae,1574996,UCSB,IZC,,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,0df3b2ff-31fd-416b-abc1-22df82a35d97,UCSB-IZC00015592,,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Acrididae,Acrididae,45411,"MacLeay, 1819",,,,,,,,,,0,,T. Celmer,0,1970-05-00,1970,5,0,0,,May-70,,,0,,,,,,,,,1,,,pinned,United States,California,Santa Barbara,,Santa Cruz,Santa Cruz Island,Santa Cruz,,33.998239,-119.725508,WGS84,20600,,entan (2019-09-19 15:25:08),,georef batch tool 2019-09-19; GeoLocate,reviewed - high confidence,,0,0,,,,,,,clchung,2/7/2020 0:00,http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:0581d54a-de83-4bc4-b70a-14fe83ecc70c,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1574996,Orthoptera,Acrididae,,
5,Acrididae,1574878,UCSB,IZC,,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,127490b9-9597-4cad-bfb5-6f79a6c3fb50,UCSB-IZC00031177,,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Acrididae,Acrididae,45411,"MacLeay, 1819",,,,,,,,,,0,,,0,1976-07-00,1976,7,0,0,,Jul-76,,,0,,,,,,,,,1,,,pinned,United States,California,Santa Barbara,,Santa Cruz,Santa Cruz Island,Santa Cruz,,33.998239,-119.725508,WGS84,20600,,entan (2019-09-19 15:25:08),,georef batch tool 2019-09-19; GeoLocate,reviewed - high confidence,,0,0,,,,,,,SandyCui,2/7/2020 0:00,http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:114683f1-734f-4c3b-b146-52549146d452,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1574878,Orthoptera,Acrididae,,
6,Acrididae,1574882,UCSB,IZC,,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,241563ee-48f0-4685-9263-59dada24cd28,UCSB-IZC00031375,,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Acrididae,Acrididae,45411,"MacLeay, 1819",,,,,,,,,,0,,,0,7/1/1982,1982,7,1,182,,1-Jul-82,,,0,,,,,,,,,1,,,pinned,United States,California,Santa Barbara,,Santa Cruz,Santa Cruz Island,Santa Cruz,,33.998239,-119.725508,WGS84,20600,,entan (2019-09-19 15:25:08),,georef batch tool 2019-09-19; GeoLocate,reviewed - high confidence,,0,0,,,,,,,SandyCui,2/7/2020 0:00,http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:845e2f07-b47e-4de2-ac46-1db7ac06bddb,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1574882,Orthoptera,Acrididae,,
7,Acrididae,1574877,UCSB,IZC,,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,25cafce4-44f1-4756-a528-4958cd0c4cf5,UCSB-IZC00031132,,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Acrididae,Acrididae,45411,"MacLeay, 1819",,,,,,,,,,0,,,0,1976-06-00,1976,6,0,0,,Jun-76,,,0,,,,,,,,,1,,,pinned,United States,California,Santa Barbara,,Santa Cruz,Santa Cruz Island,Santa Cruz,,33.998239,-119.725508,WGS84,20600,,entan (2019-09-19 15:25:08),,georef batch tool 2019-09-19; GeoLocate,reviewed - high confidence,,0,0,,,,,,,SandyCui,2/7/2020 0:00,http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:2693dd4b-862f-4220-a804-3042bada5aa7,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1574877,Orthoptera,Acrididae,,
8,Acrididae,1574885,UCSB,IZC,,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,2aa9b85b-b4de-4278-9f16-12cea86de41b,UCSB-IZC00031331,,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Acrididae,Acrididae,45411,"MacLeay, 1819",,,,,,,,,,0,,,0,7/29/1981,1981,7,29,210,,29-Jul-81,,,0,,,,,,,,,1,,,pinned,United States,California,Santa Barbara,,Santa Cruz,Santa Cruz Island,Santa Cruz,,33.998239,-119.725508,WGS84,20600,,entan (2019-09-19 15:25:08),,georef batch tool 2019-09-19; GeoLocate,reviewed - high confidence,,0,0,,,,,,,SandyCui,2/7/2020 0:00,http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:819c130f-5d81-45cf-b07a-e998e5f5d2d2,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1574885,Orthoptera,Acrididae,,
9,Acrididae,1574886,UCSB,IZC,,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,2dc42f98-3fdc-4e1b-971b-505aa575b2f8,UCSB-IZC00031087,,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Acrididae,Acrididae,45411,"MacLeay, 1819",,,,,,,,,,0,,,0,7/1/1982,1982,7,1,182,,1-Jul-82,,,0,,,,,,,,,1,,,pinned,United States,California,Santa Barbara,,Santa Cruz,Santa Cruz Island,Santa Cruz,,33.998239,-119.725508,WGS84,20600,,entan (2019-09-19 15:25:08),,georef batch tool 2019-09-19; GeoLocate,reviewed - high confidence,,0,0,,,,,,,SandyCui,2/7/2020 0:00,http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:c0fbe160-e446-411d-a5b1-bb807b7c8262,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1574886,Orthoptera,Acrididae,,
10,Acrididae,1574893,UCSB,IZC,,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,3238dff7-0336-4c25-8d9e-950dd548b264,UCSB-IZC00031099,,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Acrididae,Acrididae,45411,"MacLeay, 1819",,,,,,,,,,0,,,0,1976-03-00,1976,3,0,0,,Mar-76,,,0,,,,,,,,,1,,,pinned,United States,California,Santa Barbara,,Santa Cruz,Santa Cruz Island,Santa Cruz,,33.998239,-119.725508,WGS84,20600,,entan (2019-09-19 15:25:08),,georef batch tool 2019-09-19; GeoLocate,reviewed - high confidence,,0,0,,,,,,,SandyCui,2/7/2020 0:00,http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:e35e91e0-7deb-4ce2-8153-8ff17f5dbdac,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1574893,Orthoptera,Acrididae,,
