"","id","observed_o","month","year","observed_1","time_obser","time_zone","user_id","user_login","created_at","updated_at","quality_gr","license","url","image_url","sound_url","tag_list","descriptio","num_identi","num_iden_1","captive_cu","oauth_appl","place_gues","island","latitude","longitude","positional","public_pos","geoprivacy","taxon_geop","coordinate","positionin","position_1","place_coun","place_stat","place_co_1","species_gu","scientificName","common_nam","iconic_tax","taxon_id","taxon_orde","taxon_fami","taxon_genu","taxon_spec","taxon_subs","order","acceptedFamily","acceptedGenus","acceptedName"
"1",258535,"7/18/2012 19:47",7,2012,"7/18/2012 0:00","2012-07-19 02:47:02 UTC","Pacific Time (US & Canada)",16131,"kschnei","2013-05-07 23:04:57 UTC","2021-05-08 00:27:07 UTC","research","CC-BY-NC","http://www.inaturalist.org/observations/258535","https://inaturalist-open-data.s3.amazonaws.com/photos/320787/medium.jpg?1444592889",,,"Gray Bird Grasshopper (<i>Schistocerca nitens</i>), Avalon, Catalina Island, Los Angeles County, California - 18 July 2012.  Attracted to our hotel lights at night, this was a very large grasshopper (about 80 millimeters or just over 3 inches long).",4,0,FALSE,,"Avalon, California, United States","Santa Catalina",33.340334,-118.333686,,,,,FALSE,,,"Los Angeles","California","United States","Gray Bird Grasshopper","Schistocerca nitens","Gray Bird Grasshopper","Insecta",52158,"Orthoptera","Acrididae","Schistocerca","Schistocerca nitens",,"Orthoptera","Acrididae","Schistocerca","Schistocerca nitens"
"2",1472734,"4/29/2012 12:13",4,2012,"4/29/2012 0:00","2012-04-29 19:13:08 UTC","Pacific Time (US & Canada)",95810,"kiloueka","2015-05-10 09:13:00 UTC","2018-12-15 04:38:08 UTC","needs_id","CC-BY-NC","http://www.inaturalist.org/observations/1472734","https://inaturalist-open-data.s3.amazonaws.com/photos/1825840/medium.JPG?1431249183",,,"Juvenile
",1,0,FALSE,,"Haypress Reservoir","Santa Catalina",33.353194,-118.359963,,,,,FALSE,,,"Los Angeles","California","United States","Spurthroat Grasshoppers","Melanoplus",,"Insecta",63523,"Orthoptera","Acrididae","Melanoplus",,,"Orthoptera","Acrididae","Melanoplus",
"3",1472740,"4/10/2012 14:48",4,2012,"4/10/2012 0:00","2012-04-10 21:48:08 UTC","Pacific Time (US & Canada)",95810,"kiloueka","2015-05-10 09:13:27 UTC","2021-07-03 11:13:13 UTC","research","CC-BY-NC","http://www.inaturalist.org/observations/1472740","https://inaturalist-open-data.s3.amazonaws.com/photos/1825846/medium.JPG?1431249211",,,,3,0,FALSE,,"Avalon, Ca","Santa Catalina",33.342819,-118.328228,3273,3273,,,FALSE,,,"Los Angeles","California","United States","Gray Bird Grasshopper","Schistocerca nitens","Gray Bird Grasshopper","Insecta",52158,"Orthoptera","Acrididae","Schistocerca","Schistocerca nitens",,"Orthoptera","Acrididae","Schistocerca","Schistocerca nitens"
"4",1472751,"3/23/2014 14:56",3,2014,"3/23/2014 0:00","2014-03-23 21:56:06 UTC","Pacific Time (US & Canada)",95810,"kiloueka","2015-05-10 09:14:00 UTC","2018-12-15 04:37:51 UTC","needs_id","CC-BY-NC","http://www.inaturalist.org/observations/1472751","https://inaturalist-open-data.s3.amazonaws.com/photos/1825857/medium.JPG?1431249247",,,,3,0,FALSE,,"Haypress Reservoir","Santa Catalina",33.352872,-118.361079,199,199,,,FALSE,,,"Los Angeles","California","United States","Gryllini","Gryllini",,"Insecta",523728,"Orthoptera","Gryllidae",,,,"Orthoptera","Gryllidae",,
"5",1472775,"7/9/2012 13:53",7,2012,"7/9/2012 0:00","2012-07-09 20:53:05 UTC","Pacific Time (US & Canada)",95810,"kiloueka","2015-05-10 09:17:02 UTC","2018-12-15 04:37:30 UTC","needs_id","CC-BY-NC","http://www.inaturalist.org/observations/1472775","https://inaturalist-open-data.s3.amazonaws.com/photos/1825881/medium.JPG?1431249433",,,,1,0,FALSE,,"Haypress Reservoir","Santa Catalina",33.352854,-118.359898,,,,,FALSE,,,"Los Angeles","California","United States","Spurthroat Grasshoppers","Melanoplus",,"Insecta",63523,"Orthoptera","Acrididae","Melanoplus",,,"Orthoptera","Acrididae","Melanoplus",
"6",1786376,"Mon Jul 20 2015 21:30:41 GMT-0700 (PDT)",7,2015,"7/20/2015 0:00","2015-07-21 04:30:41 UTC","Pacific Time (US & Canada)",13979,"robberfly","2015-07-21 15:05:21 UTC","2021-05-07 21:19:19 UTC","research","CC-BY-NC","http://www.inaturalist.org/observations/1786376","https://inaturalist-open-data.s3.amazonaws.com/photos/2162818/medium.jpg?1437491147",,,,2,0,FALSE,3,"Channel Islands National Park, Channel Islands National Pk, CA, US","Santa Cruz",33.997138,-119.725655,500,500,,,FALSE,,,"Santa Barbara","California","United States","Mexican Bush Katydid","Scudderia mexicana","Mexican Bush Katydid","Insecta",153211,"Orthoptera","Tettigoniidae","Scudderia","Scudderia mexicana",,"Orthoptera","Tettigoniidae","Scudderia","Scudderia mexicana"
"7",1786770,"7/20/2015 15:52",7,2015,"7/20/2015 0:00","2015-07-20 22:52:37 UTC","Pacific Time (US & Canada)",1,"kueda","2015-07-21 17:03:11 UTC","2020-03-12 20:36:46 UTC","research","CC0","http://www.inaturalist.org/observations/1786770","https://inaturalist-open-data.s3.amazonaws.com/photos/2163330/medium.jpg?1437498199",,"Acrididae","Possibly <a href=""""http://bugguide.net/node/view/218104""""><i>Trimerotropis pseudofasciata</i></a>. I did not get pics of the legs.",3,0,FALSE,,"Santa Cruz Island Reserve, Channel Islands, Channel Islands National Park, Santa Barbara, UC Natural Reserve System, California, United States","Santa Cruz",33.997095,-119.7290117,,,,,FALSE,,,"Santa Barbara","California","United States","Caerulean-winged Grasshopper","Trimerotropis pseudofasciata","Caerulean-winged Grasshopper","Insecta",194285,"Orthoptera","Acrididae","Trimerotropis","Trimerotropis pseudofasciata",,"Orthoptera","Acrididae","Trimerotropis","Trimerotropis pseudofasciata"
"8",1787761,"Tue Jul 21 2015 09:11:36 GMT-0700 (PDT)",7,2015,"7/21/2015 0:00","2015-07-21 16:11:36 UTC","Pacific Time (US & Canada)",13979,"robberfly","2015-07-21 22:20:53 UTC","2021-05-07 21:19:10 UTC","research","CC-BY-NC","http://www.inaturalist.org/observations/1787761","https://inaturalist-open-data.s3.amazonaws.com/photos/2165056/medium.jpg?1437517478",,,"One of the biggest I've ever seen. 4 inches?",2,0,FALSE,3,"Channel Islands National Park, Channel Islands National Pk, CA, US","Santa Cruz",33.997112,-119.725655,500,500,,,FALSE,,,"Santa Barbara","California","United States","Gray Bird Grasshopper","Schistocerca nitens","Gray Bird Grasshopper","Insecta",52158,"Orthoptera","Acrididae","Schistocerca","Schistocerca nitens",,"Orthoptera","Acrididae","Schistocerca","Schistocerca nitens"
"9",1789968,"7/20/2015 21:25",7,2015,"7/20/2015 0:00","2015-07-21 04:25:35 UTC","Pacific Time (US & Canada)",1,"kueda","2015-07-22 16:58:34 UTC","2021-05-07 21:18:48 UTC","research","CC0","http://www.inaturalist.org/observations/1789968","https://inaturalist-open-data.s3.amazonaws.com/photos/2167946/medium.jpg?1437584334",,"Channel Islands, Santa Cruz Island, Tettigoniidae",,2,0,FALSE,,"Santa Cruz Island Fieldstation, Santa Barbara County, CA, USA","Santa Cruz",33.997173,-119.72586,146,146,,,FALSE,,"manual","Santa Barbara","California","United States","Mexican Bush Katydid","Scudderia mexicana","Mexican Bush Katydid","Insecta",153211,"Orthoptera","Tettigoniidae","Scudderia","Scudderia mexicana",,"Orthoptera","Tettigoniidae","Scudderia","Scudderia mexicana"
"10",1790038,"Tue Jul 21 2015 22:45:02 GMT-0700 (PDT)",7,2015,"7/21/2015 0:00","2015-07-22 05:45:02 UTC","Pacific Time (US & Canada)",13979,"robberfly","2015-07-22 17:16:18 UTC","2021-05-06 23:12:42 UTC","research","CC-BY-NC","http://www.inaturalist.org/observations/1790038","https://inaturalist-open-data.s3.amazonaws.com/photos/2168051/medium.jpg?1437585449",,,"There is an endemic, flightless shield-backed on the island, but I don't think this is it..",2,0,FALSE,3,"Channel Islands National Park, Channel Islands National Pk, CA, US","Santa Cruz",33.997537,-119.73092,500,500,,,FALSE,,,"Santa Barbara","California","United States","Aglaothorax morsei santacruzae","Aglaothorax morsei santacruzae",,"Insecta",470077,"Orthoptera","Tettigoniidae","Aglaothorax","Aglaothorax morsei","Aglaothorax morsei santacruzae","Orthoptera","Tettigoniidae","Aglaothorax","Aglaothorax morsei santacruzae"
"11",1790044,"Wed Jul 22 2015 08:47:29 GMT-0700 (PDT)",7,2015,"7/22/2015 0:00","2015-07-22 15:47:29 UTC","Pacific Time (US & Canada)",13979,"robberfly","2015-07-22 17:16:00 UTC","2021-05-07 21:18:16 UTC","research","CC-BY-NC","http://www.inaturalist.org/observations/1790044","https://inaturalist-open-data.s3.amazonaws.com/photos/2168064/medium.jpg?1437585508",,,,2,0,FALSE,3,"Channel Islands National Park, Channel Islands National Pk, CA, US","Santa Cruz",33.99717833,-119.7258383,,,,,FALSE,,,"Santa Barbara","California","United States","Mexican Bush Katydid","Scudderia mexicana","Mexican Bush Katydid","Insecta",153211,"Orthoptera","Tettigoniidae","Scudderia","Scudderia mexicana",,"Orthoptera","Tettigoniidae","Scudderia","Scudderia mexicana"
"12",1791788,"7/21/2015 17:22",7,2015,"7/21/2015 0:00","2015-07-22 00:22:31 UTC","Pacific Time (US & Canada)",1,"kueda","2015-07-23 03:57:08 UTC","2020-03-12 22:35:40 UTC","research","CC0","http://www.inaturalist.org/observations/1791788","https://inaturalist-open-data.s3.amazonaws.com/photos/2170652/medium.jpg?1437623853",,"Channel Islands","Presumably the same as http://www.inaturalist.org/observations/1786770",3,0,FALSE,,"Santa Cruz Island Reserve, Channel Islands, Channel Islands National Park, Santa Barbara, UC Natural Reserve System, California, United States","Santa Cruz",33.99667706,-119.7416036,,,,,FALSE,,,"Santa Barbara","California","United States","Caerulean-winged Grasshopper","Trimerotropis pseudofasciata","Caerulean-winged Grasshopper","Insecta",194285,"Orthoptera","Acrididae","Trimerotropis","Trimerotropis pseudofasciata",,"Orthoptera","Acrididae","Trimerotropis","Trimerotropis pseudofasciata"
