Institution Accession Number ,Country,State,County,Island,Locality Detail,Collector(s),Order,Family,Subfamily,Genus,Subgenus,Species,Subspecies,scientificName,original_date,month,day_arabic,year,TO Date Collected,day_messy,month_messy,Drawer,Survey,Sex,Collecting Remarks,Type,Curation Remarks,Stage,Elevation
LACM ENT 424496,USA,CA,Santa Barbara,Santa Cruz,,,Orthoptera,Tetrigidae,,Paratettix,,mexicanus,,Paratettix mexicanus ,16.viii.1939,8,16,1939,,16,viii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424497,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Orthoptera,Tetrigidae,,Paratettix,,mexicanus,,Paratettix mexicanus ,15.viii.1939,8,15,1939,,15,viii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424498,USA,CA,Santa Barbara,Santa Cruz,,,Orthoptera,Tetrigidae,,Paratettix,,mexicanus,,Paratettix mexicanus ,14.viii.1939,8,14,1939,,14,viii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424499,USA,CA,Santa Barbara,Santa Cruz,,,Orthoptera,Tetrigidae,,Paratettix,,mexicanus,,Paratettix mexicanus ,13.viii.1939,8,13,1939,,13,viii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424500,USA,CA,Santa Barbara,Santa Cruz,,,Orthoptera,Tetrigidae,,Paratettix,,mexicanus,,Paratettix mexicanus ,16.viii.1939,8,16,1939,,16,viii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424501,USA,CA,Santa Barbara,Santa Cruz,,,Orthoptera,Tetrigidae,,Paratettix,,mexicanus,,Paratettix mexicanus ,16.viii.1939,8,16,1939,,16,viii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424502,USA,CA,Santa Barbara,Santa Cruz,,,Orthoptera,Tetrigidae,,Paratettix,,mexicanus,,Paratettix mexicanus ,14.viii.1939,8,14,1939,,14,viii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424503,USA,CA,Los Angeles,Santa Catalina,Ben Weston Beach,"CD Nagano, JN Hogue",Orthoptera,Tetrigidae,,Paratettix,,mexicanus,,Paratettix mexicanus ,8.viii.1980,8,8,1980,10.viii.1980,8,viii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424504,USA,CA,Los Angeles,Santa Catalina,Ben Weston Beach,"CD Nagano, JN Hogue",Orthoptera,Tetrigidae,,Paratettix,,mexicanus,,Paratettix mexicanus ,8.viii.1980,8,8,1980,10.viii.1980,8,viii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424505,USA,CA,Los Angeles,Santa Catalina,Ben Weston Beach,"CD Nagano, JN Hogue",Orthoptera,Tetrigidae,,Paratettix,,mexicanus,,Paratettix mexicanus ,8.viii.1980,8,8,1980,10.viii.1980,8,viii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424506,USA,CA,Los Angeles,Santa Catalina,Ben Weston Beach,"CD Nagano, JN Hogue",Orthoptera,Tetrigidae,,Paratettix,,mexicanus,,Paratettix mexicanus ,8.viii.1980,8,8,1980,10.viii.1980,8,viii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424507,USA,CA,Los Angeles,Santa Catalina,Ben Weston Beach,"CD Nagano, JN Hogue",Orthoptera,Tetrigidae,,Paratettix,,mexicanus,,Paratettix mexicanus ,8.viii.1980,8,8,1980,10.viii.1980,8,viii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424508,USA,CA,Los Angeles,Santa Catalina,Ben Weston Beach,"CD Nagano, JN Hogue",Orthoptera,Tetrigidae,,Paratettix,,mexicanus,,Paratettix mexicanus ,8.viii.1980,8,8,1980,10.viii.1980,8,viii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424509,USA,CA,Los Angeles,Santa Catalina,Ben Weston Beach,"CD Nagano, JN Hogue",Orthoptera,Tetrigidae,,Paratettix,,mexicanus,,Paratettix mexicanus ,8.viii.1980,8,8,1980,10.viii.1980,8,viii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424510,USA,CA,Los Angeles,Santa Catalina,Ben Weston Beach,"CD Nagano, JN Hogue",Orthoptera,Tetrigidae,,Paratettix,,mexicanus,,Paratettix mexicanus ,8.viii.1980,8,8,1980,10.viii.1980,8,viii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424511,USA,CA,Los Angeles,Santa Catalina,Ben Weston Beach,"CD Nagano, JN Hogue",Orthoptera,Tetrigidae,,Paratettix,,mexicanus,,Paratettix mexicanus ,8.viii.1980,8,8,1980,10.viii.1980,8,viii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424512,USA,CA,Los Angeles,Santa Catalina,Ben Weston Beach,"CD Nagano, JN Hogue",Orthoptera,Tetrigidae,,Paratettix,,mexicanus,,Paratettix mexicanus ,8.viii.1980,8,8,1980,10.viii.1980,8,viii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424513,USA,CA,Los Angeles,Santa Catalina,Ben Weston Beach,"CD Nagano, JN Hogue",Orthoptera,Tetrigidae,,Paratettix,,mexicanus,,Paratettix mexicanus ,8.viii.1980,8,8,1980,10.viii.1980,8,viii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424514,USA,CA,Los Angeles,Santa Catalina,Ben Weston Beach,"CD Nagano, JN Hogue",Orthoptera,Tetrigidae,,Paratettix,,mexicanus,,Paratettix mexicanus ,8.viii.1980,8,8,1980,10.viii.1980,8,viii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424515,USA,CA,Los Angeles,Santa Catalina,Ben Weston Beach,"CD Nagano, JN Hogue",Orthoptera,Tetrigidae,,Paratettix,,mexicanus,,Paratettix mexicanus ,8.viii.1980,8,8,1980,10.viii.1980,8,viii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424516,USA,CA,Los Angeles,Santa Catalina,Ben Weston Beach,"CD Nagano, JN Hogue",Orthoptera,Tetrigidae,,Paratettix,,mexicanus,,Paratettix mexicanus ,8.viii.1980,8,8,1980,10.viii.1980,8,viii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424517,USA,CA,Los Angeles,Santa Catalina,Ben Weston Beach,"CD Nagano, JN Hogue",Orthoptera,Tetrigidae,,Paratettix,,mexicanus,,Paratettix mexicanus ,8.viii.1980,8,8,1980,10.viii.1980,8,viii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424518,USA,CA,Los Angeles,Santa Catalina,Ben Weston Beach,"CD Nagano, JN Hogue",Orthoptera,Tetrigidae,,Paratettix,,mexicanus,,Paratettix mexicanus ,8.viii.1980,8,8,1980,10.viii.1980,8,viii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424519,USA,CA,Los Angeles,Santa Catalina,Ben Weston Beach,"CD Nagano, JN Hogue",Orthoptera,Tetrigidae,,Paratettix,,mexicanus,,Paratettix mexicanus ,8.viii.1980,8,8,1980,10.viii.1980,8,viii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424520,USA,CA,Los Angeles,Santa Catalina,Ben Weston Beach,"CD Nagano, JN Hogue",Orthoptera,Tetrigidae,,Paratettix,,mexicanus,,Paratettix mexicanus ,8.viii.1980,8,8,1980,10.viii.1980,8,viii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424521,USA,CA,Los Angeles,Santa Catalina,Ben Weston Beach,"CD Nagano, JN Hogue",Orthoptera,Tetrigidae,,Paratettix,,mexicanus,,Paratettix mexicanus ,8.viii.1980,8,8,1980,10.viii.1980,8,viii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424522,USA,CA,Los Angeles,Santa Catalina,Ben Weston Beach,"CD Nagano, JN Hogue",Orthoptera,Tetrigidae,,Paratettix,,mexicanus,,Paratettix mexicanus ,8.viii.1980,8,8,1980,10.viii.1980,8,viii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424523,USA,CA,Los Angeles,Santa Catalina,Ben Weston Beach,"CD Nagano, JN Hogue",Orthoptera,Tetrigidae,,Paratettix,,mexicanus,,Paratettix mexicanus ,8.viii.1980,8,8,1980,10.viii.1980,8,viii,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424524,USA,CA,Los Angeles,Santa Catalina,Toyon Canyon,S. Bennett,Orthoptera,Tetrigidae,,Paratettix,,mexicanus,,Paratettix mexicanus ,4.x.1983,10,4,1983,,4,x,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424525,USA,CA,Los Angeles,Santa Catalina,Toyon Bay,S. Bennett,Orthoptera,Tetrigidae,,Paratettix,,mexicanus,,Paratettix mexicanus ,22.v.1982,5,22,1982,,22,v,26P-04616,Channel Islands Survey,,,,,,
LACM ENT 424526,USA,CA,Los Angeles,Santa Catalina,"Catalina Island Marine Institute, Toyon Bay",S. Bennett,Orthoptera,Tetrigidae,,Paratettix,,mexicanus,,Paratettix mexicanus ,9.x.1983,10,9,1983,,9,x,26P-04616,Channel Islands Survey,,Blacklight,,,,
LACM ENT 424527,USA,CA,Los Angeles,Santa Catalina,Toyon Canyon,S. Bennett,Orthoptera,Acrididae,,Schistocerca,,nitens,nitens,Schistocerca nitens nitens,13.xi.1981,11,13,1981,,13,xi,26P-04616,Channel Islands Survey,F,,,,,
LACM ENT 424528,USA,CA,Ventura,San Nicolas,Sea Lion Beach,"S Miller, K Cheesman",Orthoptera,Acrididae,,Schistocerca,,nitens,nitens,Schistocerca nitens nitens,29.xii.1979,12,29,1979,,29,xii,26P-04616,Channel Islands Survey,F,,,,,
