"","source","order.x","family","genus","specificEp","scientificName","yearpub","PUBL","year","month","ANA","BAR","CAT","CLE","CRU","MIG","NIC","ROS","order.y","acceptedFamily","acceptedGenus","acceptedName"
"1","lit","Orthoptera","Acrididae","Camnula","pellucida","Camnula pellucida",1876,"App. JJ Ann. Rept. Chief Eng.",,,,,,,"x",,,"x","Orthoptera","Acrididae","Camnula","Camnula pellucida"
"2","lit","Orthoptera","Acrididae","Camnula","pellucida","Camnula pellucida",1910,"Proc. Acad. Nat. Sci. Phil.",1907,8,,,"x",,,,,,"Orthoptera","Acrididae","Camnula","Camnula pellucida"
"3","lit","Orthoptera","Acrididae","Camnula","pellucida","Camnula pellucida",1940,"Proc. Sixth Pac. Sci. Cong.",,,,,,,,"x",,,"Orthoptera","Acrididae","Camnula","Camnula pellucida"
"4","lit","Orthoptera","Acrididae","Camnula","pellucida","Camnula pellucida",1982,"Univ. Calif. Publ. Ent.",,,,,"x",,"x","x","x","x","Orthoptera","Acrididae","Camnula","Camnula pellucida"
"5","lit","Orthoptera","Acrididae","Chloealtis","gracilis","Chloealtis gracilis",1982,"Univ. Calif. Publ. Ent.",,,,,,,"x",,,,"Orthoptera","Acrididae","Chloealtis","Chloealtis gracilis"
"6","lit","Orthoptera","Acrididae","Dissosteira","pictipennis","Dissosteira pictipennis",1876,"App. JJ Ann. Rept. Chief Eng.",,,,,,,"x",,,,"Orthoptera","Acrididae","Dissosteira","Dissosteira pictipennis"
"7","lit","Orthoptera","Acrididae","Dissosteira","pictipennis","Dissosteira pictipennis",1908,"Proc. U.S. Natl. Mus.",1906,6,,,"x",,,,,,"Orthoptera","Acrididae","Dissosteira","Dissosteira pictipennis"
"8","lit","Orthoptera","Acrididae","Dissosteira","pictipennis","Dissosteira pictipennis",1910,"Proc. Acad. Nat. Sci. Phil.",1907,8,,,"x",,,,,,"Orthoptera","Acrididae","Dissosteira","Dissosteira pictipennis"
"9","lit","Orthoptera","Acrididae","Dissosteira","pictipennis","Dissosteira pictipennis",1982,"Univ. Calif. Publ. Ent.",,,,,"x",,"x",,,"x","Orthoptera","Acrididae","Dissosteira","Dissosteira pictipennis"
"10","lit","Orthoptera","Acrididae","Encoptolophus","robustus","Encoptolophus robustus",1982,"Univ. Calif. Publ. Ent.",,,,,,,"x",,,"x",,"Acrididae","Nebulatettix ","Nebulatettix robustus"
"11","lit","Orthoptera","Acrididae","Leprus","intermedius","Leprus intermedius",1900,"Psyche",,,,,,,,,,"x","Orthoptera","Acrididae","Leprus","Leprus intermedius"
"12","lit","Orthoptera","Acrididae","Leprus","intermedius","Leprus intermedius",1908,"Proc. U.S. Natl. Mus.",1906,6,,,"x",,,,,,"Orthoptera","Acrididae","Leprus","Leprus intermedius"
"13","lit","Orthoptera","Acrididae","Leprus","intermedius","Leprus intermedius",1910,"Proc. Acad. Nat. Sci. Phil.",1907,8,,,"x",,,,,"x","Orthoptera","Acrididae","Leprus","Leprus intermedius"
"14","lit","Orthoptera","Acrididae","Leprus","intermedius","Leprus intermedius",1963,"How Know Grasshoppers",,,,,,,,,,,"Orthoptera","Acrididae","Leprus","Leprus intermedius"
"15","lit","Orthoptera","Acrididae","Leprus","intermedius","Leprus intermedius",1968,"Bull. Calif. Insect Survey",,,,,"x",,,,,,"Orthoptera","Acrididae","Leprus","Leprus intermedius"
"16","lit","Orthoptera","Acrididae","Leprus","intermedius","Leprus intermedius",1982,"Univ. Calif. Publ. Ent.",,,,,"x","x","x",,,"x","Orthoptera","Acrididae","Leprus","Leprus intermedius"
"17","lit","Orthoptera","Acrididae","Leprus","intermedius","Leprus intermedius",1984,"N. Amer. Grasshoppers",,,,,,,,,,,"Orthoptera","Acrididae","Leprus","Leprus intermedius"
"18","lit","Orthoptera","Acrididae","Melanoplus","cinereus cyanipes","Melanoplus cinereus cyanipes",1910,"Proc. Acad. Nat. Sci. Phil.",1907,8,,,"x",,,,,,"Orthoptera","Acrididae","Melanoplus","Melanoplus cinereus cyanipes"
"19","lit","Orthoptera","Acrididae","Melanoplus","cinereus cyanipes","Melanoplus cinereus cyanipes",1916,"Ent. News",1915,8,,,,,,,,,"Orthoptera","Acrididae","Melanoplus","Melanoplus cinereus cyanipes"
"20","lit","Orthoptera","Acrididae","Melanoplus","cinereus cyanipes","Melanoplus cinereus cyanipes",1982,"Univ. Calif. Publ. Ent.",,,"x",,"x",,"x",,,"x","Orthoptera","Acrididae","Melanoplus","Melanoplus cinereus cyanipes"
"21","lit","Orthoptera","Acrididae","Melanoplus","devastator","Melanoplus devastator",1908,"Proc. U.S. Natl. Mus.",1906,6,,,"x",,,,,,"Orthoptera","Acrididae","Melanoplus","Melanoplus devastator"
"22","lit","Orthoptera","Acrididae","Melanoplus","devastator","Melanoplus devastator",1910,"Proc. Acad. Nat. Sci. Phil.",1907,8,,,"x",,,,,,"Orthoptera","Acrididae","Melanoplus","Melanoplus devastator"
