scientificName,acceptedFamily,acceptedGenus,acceptedName
Trimerotropis pseudofasciata,Acrididae,Trimerotropis,Trimerotropis pseudofasciata
Trimerotropis pallidipennis,Acrididae,Trimerotropis,Trimerotropis pallidipennis
Leprus intermedius,Acrididae,Leprus,Leprus intermedius
Trimerotropis fontana,Acrididae,Trimerotropis,Trimerotropis fontana
Acrididae,Acrididae,,
Schistocerca nitens nitens,Acrididae,Schistocerca,Schistocerca nitens nitens
Oedipodinae,Acrididae,,
Chortophagini,Acrididae,,
Trimerotropini,Acrididae,,
Gomphocerinae,Acrididae,,
Cnemotettix,Anostostomatidae,Cnemotettix,
Gryllus,Gryllidae,Gryllus,
Oecanthus argentinus,Gryllidae,Oecanthus,Oecanthus argentinus
Gryllini,Gryllidae,,
Gryllinae,Gryllidae,,
Oecanthinae,Gryllidae,,
Hoplosphyrum boreale,Mogoplistidae,Hoplosphyrum,Hoplosphyrum boreale
Pristoceuthophilus marmoratus,Raphidophoridae,Pristoceuthophilus,Pristoceuthophilus marmoratus
Cnemotettix pulvillifer,Stenopelmatidae,Cnemotettix,Cnemotettix pulvillifer
Stenopelmatus,Stenopelmatidae,Stenopelmatus,
Scudderia,Tettigoniidae,Scudderia,
Phaneropterinae,Tettigoniidae,,
Tettigoniidae,Tettigoniidae,,
Stenopelmatus longispinus,,,
Schistocerca nitens,,,
Melanoplus,,,
Scudderia mexicana,,,
Aglaothorax morsei santacruzae,,,
Ammopelmatus,,,
Trimerotropis,,,
Orthoptera,,,
Gryllus lineaticeps,,,
Camnula pellucida,,,
Acridoidea,,,
Morsea islandica,,,
Chloealtis gracilis,,,
Schistocerca,,,
Melanoplus cinereus cyanipes,,,
Ceuthophilus,,,
Trimerotropis santabarbara,,,
Cnemotettix caudulus,,,
Pristoceuthophilus,,,
Oedaleonotus phryneicus,,,
Ensifera,,,
Gammarotettix genitalis,,,
Psoloessa texana,,,
Neduba propsti,,,
Oecanthus,,,
Acrididea,,,
Platylyra californica,,,
Melanoplus devastator,,,
Conozoa nicola,,,
Myrmecophilus,,,
Cibolacris parviceps,,,
Cnemotettix miniatus,,,
Grylloidea,,,
Capnobotes fuliginosus,,,
Paratettix mexicanus,,,
Dissosteira pictipennis,,,
Microtes occidentalis,,,
Trimerotropis pallidipennis pallidipennis,,,
Eunemobius carolinus,,,
Oecanthus californicus,,,
Aglaothorax propsti,,,
Idiostatus aequalis,,,
Ceuthophilus californianus,,,
Cnemotettix spinulus,,,
Stenopelmatus fuscus,,,
Pseudosermyle straminea,,,
Paropomala,,,
