Genus,AcceptedName,APGFamily
Abies,Abies magnifica A. Murray bis var. shastensis Lemmon,Pinaceae
Abies,Abies magnifica A. Murray bis var. magnifica,Pinaceae
Abies,Abies magnifica A. Murray bis var. critchfieldii Lanner,Pinaceae
Abies,Abies concolor (Gordon & Glendinning) Hildebrand var. concolor,Pinaceae
Abies,Abies concolor (Gordon & Glendinning) Hildebrand var. lowiana (Gordon & Glendinning) Lemmon,Pinaceae
Abies,Abies procera Rehder,Pinaceae
Abies,Abies magnifica A. Murray bis,Pinaceae
Abies,Abies lasiocarpa (Hooker) Nuttall var. lasiocarpa,Pinaceae
Abies,Abies lasiocarpa (Hooker) Nuttall,Pinaceae
Abies,Abies grandis D. Don,Pinaceae
Abies,Abies concolor (Gordon & Glendinning) Hildebrand,Pinaceae
Abies,Abies bracteata (D. Don) A. Poiteau,Pinaceae
Abies,Abies amabilis J. Forbes,Pinaceae
Abronia,Abronia nana S. Watson var. covillei (Heimerl) Munz,Nyctaginaceae
Abronia,Tripterocalyx micranthus (Torrey) Hooker,Nyctaginaceae
Abronia,Abronia umbellata Lamarck subsp. breviflora (Standley) Munz,Nyctaginaceae
Abronia,Abronia villosa S. Watson var. villosa,Nyctaginaceae
Abronia,Abronia villosa S. Watson var. aurita (Abrams) Jepson,Nyctaginaceae
Abronia,Abronia villosa S. Watson var. aurita (Abrams) Jepson,Nyctaginaceae
Abronia,Abronia villosa S. Watson,Nyctaginaceae
Abronia,Abronia umbellata Lamarck subsp. umbellata,Nyctaginaceae
Abronia,Abronia umbellata Lamarck subsp. breviflora (Standley) Munz,Nyctaginaceae
Abronia,Tripterocalyx crux-maltae (Kellogg) Standley,Nyctaginaceae
Abronia,Abronia umbellata Lamarck,Nyctaginaceae
Abronia,Abronia turbinata S. Watson,Nyctaginaceae
Abronia,Abronia turbinata S. Watson,Nyctaginaceae
Abronia,Abronia nana S. Watson var. covillei (Heimerl) Munz,Nyctaginaceae
Abronia,Abronia nana S. Watson,Nyctaginaceae
Abronia,Abronia maritima S. Watson,Nyctaginaceae
Abronia,Abronia latifolia Eschscholz,Nyctaginaceae
Abronia,Abronia alpina Brandegee,Nyctaginaceae
Abronia,Abronia pogonantha Heimerl,Nyctaginaceae
Abutilon,Abutilon parvulum A. Gray,Malvaceae
Abutilon,Horsfordia newberryi (S. Watson) A. Gray,Malvaceae
Abutilon,Abutilon theophrasti  Medikus,Malvaceae
Abutilon,Abutilon palmeri A. Gray,Malvaceae
Acacia,Acacia podalyriifolia G. Don,Fabaceae
Acacia,Acacia redolens Maslin,Fabaceae
Acacia,Acacia redolens Maslin,Fabaceae
Acacia,Acacia melanoxylon Aiton f.,Fabaceae
Acacia,Acacia baileyana F. Mueller,Fabaceae
Acacia,Acacia cyclops G. Don,Fabaceae
Acacia,Acacia dealbata Link,Fabaceae
Acacia,Acacia dealbata Link,Fabaceae
Acacia,Acacia decurrens Willdenow,Fabaceae
Acacia,Vachellia farnesiana (L.) Wight & Arnott,Fabaceae
Acacia,Vachellia farnesiana (L.) Wight & Arnott var. minuta (M.E. Jones) Seigler & Ebinger,Fabaceae
Acacia,Senegalia greggii (A. Gray) Britton & Rose,Fabaceae
Acacia,Senegalia greggii (A. Gray) Britton & Rose,Fabaceae
Acacia,Acacia longifolia (Andr.) Willdenow,Fabaceae
Acacia,Acacia mearnsii de Wildeman,Fabaceae
Acacia,Acacia paradoxa de Candolle,Fabaceae
Acacia,Acacia pycnantha Bentham,Fabaceae
Acacia,Acacia retinodes Schlechtendal,Fabaceae
Acacia,Acacia verticillata (L'Hér.) Willdenow,Fabaceae
Acacia,Acacia mearnsii de Wildeman,Fabaceae
Acaena,Acaena novae-zelandiae Kirk,Rosaceae
Acaena,Acaena pinnatifida Ruiz & Pavón var. californica (Bitter) Jepson,Rosaceae
Acaena,Acaena pinnatifida Ruiz & Pavón,Rosaceae
Acaena,Acaena pallida (Kirk) H.H. Allan,Rosaceae
Acalypha,Acalypha californica Bentham,Euphorbiaceae
Acamptopappus,Acamptopappus sphaerocephalus (Harvey & A. Gray) A. Gray var. sphaerocephalus,Asteraceae
Acamptopappus,Acamptopappus sphaerocephalus (Harvey & A. Gray) A. Gray var. hirtellus Blake,Asteraceae
Acamptopappus,Acamptopappus shockleyi A. Gray,Asteraceae
Acamptopappus,Acamptopappus sphaerocephalus (Harvey & A. Gray) A. Gray,Asteraceae
Acanthomintha,Acanthomintha duttonii (Abrams) Jokerst,Lamiaceae
Acanthomintha,Acanthomintha duttonii (Abrams) Jokerst,Lamiaceae
Acanthomintha,Acanthomintha obovata Jepson subsp. obovata,Lamiaceae
Acanthomintha,Acanthomintha obovata Jepson subsp. cordata Jokerst,Lamiaceae
Acanthomintha,Acanthomintha obovata Jepson,Lamiaceae
Acanthomintha,Acanthomintha lanceolata Curran,Lamiaceae
Acanthomintha,Acanthomintha ilicifolia (A. Gray) A. Gray,Lamiaceae
Acanthoscyphus,Acanthoscyphus parishii (Parry) Small,Polygonaceae
Acanthoscyphus,Acanthoscyphus parishii (Parry) Small var. abramsii (E. A. McGregor) Reveal,Polygonaceae
Acanthoscyphus,Acanthoscyphus parishii (Parry) Small var. cienegensis (Ertter) Reveal,Polygonaceae
Acanthoscyphus,Acanthoscyphus parishii (Parry) Small var. goodmaniana (Ertter) Reveal,Polygonaceae
Acanthoscyphus,Acanthoscyphus parishii (Parry) Small var. parishii,Polygonaceae
Acanthus,Acanthus mollis L.,Acanthaceae
Acer,Acer glabrum Torrey var. glabrum,Sapindaceae
Acer,Acer negundo L.,Sapindaceae
Acer,Acer campestre L.,Sapindaceae
Acer,Acer circinatum Pursh,Sapindaceae
Acer,Acer glabrum Torrey var. diffusum (Greene) Smiley,Sapindaceae
Acer,Acer glabrum Torrey var. diffusum (Greene) Smiley,Sapindaceae
Acer,Acer saccharinum L.,Sapindaceae
Acer,Acer glabrum Torrey var. glabrum,Sapindaceae
Acer,Acer glabrum Torrey var. glabrum,Sapindaceae
Acer,Acer negundo L.,Sapindaceae
Acer,Acer macrophyllum Pursh,Sapindaceae
Acer,Acer glabrum Torrey,Sapindaceae
Acer,Acer glabrum Torrey var. glabrum,Sapindaceae
Achillea,Achillea filipendulina Lamarck,Asteraceae
Achillea,Achillea millefolium L.,Asteraceae
Achlys,Achlys californica Fukuda & Baker,Berberidaceae
Achlys,Achlys triphylla (Smith) de Candolle,Berberidaceae
Achnatherum,Achnatherum webberi (Thurber) Barkworth,Poaceae
Achnatherum,Achnatherum parishii (Vasey) Barkworth,Poaceae
Achnatherum,Jarava plumosa (Sprengel) S.W.L. Jacobs & J. Everett,Poaceae
Achnatherum,Achnatherum thurberianum (Piper) Barkworth,Poaceae
Achnatherum,Achnatherum lemmonii (Swallen) Barkworth var. lemmonii,Poaceae
Achnatherum,Achnatherum lemmonii (Swallen) Barkworth var. pubescens (Crampton) Barkworth,Poaceae
Achnatherum,Achnatherum lettermanii (Vasey) Barkworth,Poaceae
Achnatherum,Achnatherum nelsonii (Scribner) Barkworth,Poaceae
