"","Var1","Freq"
"1","Actinemys marmorata",1
"2","Coluber constrictor mormon",32
"3","Crotalus oreganus helleri",73
"4","Diadophis punctatus",15
"5","Diadophis punctatus modestus",5
"6","Elgaria multicarinata",581
"7","Hypsiglena ochrorhyncha klauberi",1
"8","Lampropeltis getulus californiae",31
"9","Pituophis catenifer",18
"10","Pituophis catenifer annectens",25
"11","Pituophis catenifer pumilus",89
"12","Plestiodon skiltonianus",17
"13","Sceloporus occidentalis becki",330
"14","Thamnophis elegans",1
"15","Thamnophis hammondii",3
"16","Trachemys scripta",2
"17","Uta stansburiana",1894
"18","Xantusia riversiana reticulata",1825
"19","Xantusia riversiana riversiana",279
