source,id,month,year,observed_o,observed_1,time_obser,time_zone,user_id,user_login,created_at,updated_at,quality_gr,license,url,image_url,sound_url,tag_list,descriptio,num_identi,num_iden_1,captive_cu,oauth_appl,island,place_gues,latitude,longitude,positional,public_pos,geoprivacy,taxon_geop,coordinate,positionin,position_1,species_gu,acceptedFamily,acceptedGenus,acceptedName,scientific,common_nam,iconic_tax,taxon_id
iNaturalist,38274647,4,1985,4/1/85,4/1/85, ,Pacific Time (US & Canada),14811,snakeinmypocket,2020-02-03 22:32:35 UTC,2021-03-09 05:51:15 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/38274647,https://inaturalist-open-data.s3.amazonaws.com/photos/60805615/medium.jpeg?1580769108, , , ,5,0,FALSE,0,Santa Cruz,"Santa Barbara County, CA, USA",33.99737017,-119.7172306,31,31, ,open,FALSE, , ,Western Yellow-bellied Racer,Colubridae,Coluber,Coluber constrictor mormon,Coluber constrictor mormon,Western Yellow-bellied Racer,Reptilia,200661
iNaturalist,51490911,6,2020,Mon Jun 29 2020 09:30:38 GMT-0700 (PDT),6/29/20,2020-06-29 16:30:38 UTC,Pacific Time (US & Canada),2135101,zccas,2020-06-30 17:18:56 UTC,2021-03-09 05:51:34 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/51490911,https://inaturalist-open-data.s3.amazonaws.com/photos/81813847/medium.jpg?1593537544, , , ,3,0,FALSE,3,Santa Cruz,"Channel Islands National Park, CA, US",34.02458618,-119.8729855,14953,14953, ,open,FALSE, , ,Western Yellow-bellied Racer,Colubridae,Coluber,Coluber constrictor mormon,Coluber constrictor mormon,Western Yellow-bellied Racer,Reptilia,200661
iNaturalist,1635831,6,2010,6/16/10 21:18,6/16/10,2010-06-17 02:18:55 UTC,Central Time (US & Canada),105431,shaunmichael,2015-06-15 18:56:25 UTC,2021-07-06 22:46:27 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1635831,https://static.inaturalist.org/photos/2006562/medium.jpg?1434394614, , ,"This is the Rattlesnake common on Catalina Island, thought to be C. viridis, however research is ongoing because it is more venomous than mainland snakes. Eating a Rat, which both were in my house.",5,0,FALSE,0,Santa Catalina,Middle Ranch CA,33.356539,-118.439386,175,175, , ,FALSE, , ,Southern Pacific Rattlesnake,Viperidae,Crotalus,Crotalus oreganus helleri,Crotalus oreganus helleri,Southern Pacific Rattlesnake,Reptilia,30713
iNaturalist,6146968,5,2017,Mon May 08 2017 13:52:39 GMT-0700 (PDT),5/8/17,2017-05-08 20:52:39 UTC,Pacific Time (US & Canada),280979,emshaph,2017-05-09 03:09:46 UTC,2018-11-20 19:26:18 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/6146968,https://inaturalist-open-data.s3.amazonaws.com/photos/7704002/medium.jpg?1494299428, , , ,5,0,FALSE,3,Santa Catalina,"W End Rd, Avalon, CA, US",33.45081038,-118.5126441,22,22, , ,FALSE, , ,Southern Pacific Rattlesnake,Viperidae,Crotalus,Crotalus oreganus helleri,Crotalus oreganus helleri,Southern Pacific Rattlesnake,Reptilia,30713
iNaturalist,6472755,6,2017,2017-06-02 4:05:34 PM PDT,6/2/17,2017-06-02 23:05:34 UTC,Pacific Time (US & Canada),392423,bjdion,2017-06-02 23:06:37 UTC,2018-11-20 19:29:44 UTC,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/6472755,https://inaturalist-open-data.s3.amazonaws.com/photos/8185132/medium.jpeg?1496446231, , , ,3,0,FALSE,2,Santa Catalina,"100-114 Chimes Tower Road Avalon, CA 90704",33.34825744,-118.3283584,33,33, , ,FALSE,gps,gps,Southern Pacific Rattlesnake,Viperidae,Crotalus,Crotalus oreganus helleri,Crotalus oreganus helleri,Southern Pacific Rattlesnake,Reptilia,30713
iNaturalist,6972743,4,2017,Wed Apr 26 2017 10:29:12 GMT-0700 (PDT),4/26/17,2017-04-26 17:29:12 UTC,Pacific Time (US & Canada),81668,monicatydlaska,2017-07-08 22:58:35 UTC,2019-03-25 16:46:19 UTC,research, ,https://www.inaturalist.org/observations/6972743,https://static.inaturalist.org/photos/8920657/medium.jpg?1499554763, , , ,7,0,FALSE,3,Santa Catalina,"Cape Canyon Trl, Avalon, CA, US",33.3577225,-118.4310578,24,24, , ,FALSE, , ,Southern Pacific Rattlesnake,Viperidae,Crotalus,Crotalus oreganus helleri,Crotalus oreganus helleri,Southern Pacific Rattlesnake,Reptilia,30713
iNaturalist,8405665,10,2017,2017-10-14 3:47:55 PM PDT,10/14/17,2017-10-14 22:47:55 UTC,Pacific Time (US & Canada),392423,bjdion,2017-10-14 22:59:13 UTC,2021-05-07 13:02:49 UTC,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/8405665,https://inaturalist-open-data.s3.amazonaws.com/photos/11185037/medium.jpeg?1508021956, , ,Baby rattlesnake eating a western side-blotched lizard,13,0,FALSE,2,Santa Catalina,"Little Fishermans Cove, Avalon, CA 90704, USA",33.44227828,-118.4906884,65,65, , ,FALSE,gps,gps,Southern Pacific Rattlesnake,Viperidae,Crotalus,Crotalus oreganus helleri,Crotalus oreganus helleri,Southern Pacific Rattlesnake,Reptilia,30713
iNaturalist,8461512,10,2017,2017-10-18 10:58:07 AM PDT,10/18/17,2017-10-18 17:58:07 UTC,Pacific Time (US & Canada),392423,bjdion,2017-10-19 03:10:33 UTC,2019-03-19 00:17:43 UTC,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/8461512,https://inaturalist-open-data.s3.amazonaws.com/photos/11278868/medium.jpeg?1508382640, , ,"Super angry, wouldn't get out from under my truck. Very aggressive guy.",6,0,FALSE,2,Santa Catalina,"Krbt Station Rd, Avalon, CA 90704, USA",33.36042343,-118.3725267,258,258, , ,FALSE,gps,gps,Southern Pacific Rattlesnake,Viperidae,Crotalus,Crotalus oreganus helleri,Crotalus oreganus helleri,Southern Pacific Rattlesnake,Reptilia,30713
iNaturalist,15219322,8,2018,Tue Aug 07 2018 22:25:55 GMT-0700 (PDT),8/7/18,2018-08-08 05:25:55 UTC,Pacific Time (US & Canada),206963,kfistanic,2018-08-08 05:31:38 UTC,2019-04-23 04:15:22 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/15219322,https://inaturalist-open-data.s3.amazonaws.com/photos/22770912/medium.jpg?1533706302, , , ,3,0,FALSE,3,Santa Catalina,"2–98 Big Fishermans Cv, , CA, US",33.44506167,-118.4815,65,65, , ,FALSE, , ,Southern Pacific Rattlesnake,Viperidae,Crotalus,Crotalus oreganus helleri,Crotalus oreganus helleri,Southern Pacific Rattlesnake,Reptilia,30713
iNaturalist,22212538,4,2019,2019-04-07 3:38:48 PM PDT,4/7/19,2019-04-07 22:38:48 UTC,Pacific Time (US & Canada),86100,naturenate,2019-04-08 22:15:05 UTC,2019-04-08 23:18:01 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/22212538,https://static.inaturalist.org/photos/34393975/medium.jpeg?1554761708, , ,"Neonate hit within the last hour.  We drove this road about an hour prior and would have seen it if it had been hit on the first pass.  Very fresh.  GPS approximate, found on the eastern half of middle ranch road",2,0,FALSE,2,Santa Catalina,"Middle Ranch Rd, Avalon, CA 90704, USA",33.3484969,-118.4142655,175,175, , ,FALSE,gps,gps,Southern Pacific Rattlesnake,Viperidae,Crotalus,Crotalus oreganus helleri,Crotalus oreganus helleri,Southern Pacific Rattlesnake,Reptilia,30713
