,source,month,year,island,class,acceptedFamily,acceptedGenus,acceptedName,latitude,longitude
1,iNaturalist,4,1985,Santa Cruz,Reptilia,Colubridae,Coluber,Coluber constrictor mormon,33.99737017,-119.7172306
2,iNaturalist,6,2020,Santa Cruz,Reptilia,Colubridae,Coluber,Coluber constrictor mormon,34.02458618,-119.8729855
3,iNaturalist,6,2010,Santa Catalina,Reptilia,Viperidae,Crotalus,Crotalus oreganus helleri,33.356539,-118.439386
4,iNaturalist,5,2017,Santa Catalina,Reptilia,Viperidae,Crotalus,Crotalus oreganus helleri,33.45081038,-118.5126441
5,iNaturalist,6,2017,Santa Catalina,Reptilia,Viperidae,Crotalus,Crotalus oreganus helleri,33.34825744,-118.3283584
6,iNaturalist,4,2017,Santa Catalina,Reptilia,Viperidae,Crotalus,Crotalus oreganus helleri,33.3577225,-118.4310578
7,iNaturalist,10,2017,Santa Catalina,Reptilia,Viperidae,Crotalus,Crotalus oreganus helleri,33.44227828,-118.4906884
8,iNaturalist,10,2017,Santa Catalina,Reptilia,Viperidae,Crotalus,Crotalus oreganus helleri,33.36042343,-118.3725267
9,iNaturalist,8,2018,Santa Catalina,Reptilia,Viperidae,Crotalus,Crotalus oreganus helleri,33.44506167,-118.4815
10,iNaturalist,4,2019,Santa Catalina,Reptilia,Viperidae,Crotalus,Crotalus oreganus helleri,33.3484969,-118.4142655
11,iNaturalist,4,2019,Santa Catalina,Reptilia,Viperidae,Crotalus,Crotalus oreganus helleri,33.36077499,-118.4575195
12,iNaturalist,4,2019,Santa Catalina,Reptilia,Viperidae,Crotalus,Crotalus oreganus helleri,33.328595,-118.3415333
13,iNaturalist,4,2019,Santa Catalina,Reptilia,Viperidae,Crotalus,Crotalus oreganus helleri,33.40061667,-118.4059
14,iNaturalist,4,2019,Santa Catalina,Reptilia,Viperidae,Crotalus,Crotalus oreganus helleri,33.46206419,-118.5625656
15,iNaturalist,4,2018,Santa Catalina,Reptilia,Viperidae,Crotalus,Crotalus oreganus helleri,33.36279167,-118.359825
16,iNaturalist,4,2019,Santa Catalina,Reptilia,Viperidae,Crotalus,Crotalus oreganus helleri,33.40064333,-118.4061267
17,iNaturalist,5,2019,Santa Catalina,Reptilia,Viperidae,Crotalus,Crotalus oreganus helleri,33.32503,-118.340775
18,iNaturalist,6,2019,Santa Catalina,Reptilia,Viperidae,Crotalus,Crotalus oreganus helleri,33.36750031,-118.4727783
19,iNaturalist,6,2019,Santa Catalina,Reptilia,Viperidae,Crotalus,Crotalus oreganus helleri,33.46959466,-118.552699
20,iNaturalist,7,2019,Santa Catalina,Reptilia,Viperidae,Crotalus,Crotalus oreganus helleri,33.39750271,-118.4321699
21,iNaturalist,8,2019,Santa Catalina,Reptilia,Viperidae,Crotalus,Crotalus oreganus helleri,33.35563667,-118.4324717
22,iNaturalist,11,2019,Santa Catalina,Reptilia,Viperidae,Crotalus,Crotalus oreganus helleri,33.30851327,-118.3359424
23,iNaturalist,3,2020,Santa Catalina,Reptilia,Viperidae,Crotalus,Crotalus oreganus helleri,33.38136667,-118.4731917
24,iNaturalist,5,2020,Santa Catalina,Reptilia,Viperidae,Crotalus,Crotalus oreganus helleri,33.34961155,-118.4004747
25,iNaturalist,10,2020,Santa Catalina,Reptilia,Viperidae,Crotalus,Crotalus oreganus helleri,33.38448736,-118.4732225
26,iNaturalist,10,2020,Santa Catalina,Reptilia,Viperidae,Crotalus,Crotalus oreganus helleri,33.457625,-118.517045
27,iNaturalist,10,2020,Santa Catalina,Reptilia,Viperidae,Crotalus,Crotalus oreganus helleri,33.41152,-118.477845
28,iNaturalist,4,2021,Santa Catalina,Reptilia,Viperidae,Crotalus,Crotalus oreganus helleri,33.43858487,-118.4980526
29,iNaturalist,4,2021,Santa Catalina,Reptilia,Viperidae,Crotalus,Crotalus oreganus helleri,33.28805661,-118.5502736
30,iNaturalist,5,2021,Santa Catalina,Reptilia,Viperidae,Crotalus,Crotalus oreganus helleri,33.42646333,-118.425155
31,iNaturalist,8,2019,Santa Catalina,Reptilia,Viperidae,Crotalus,Crotalus oreganus helleri,33.35564167,-118.4324417
32,iNaturalist,5,2021,Santa Catalina,Reptilia,Viperidae,Crotalus,Crotalus oreganus helleri,33.39146508,-118.4544258
33,iNaturalist,3,2018,Santa Catalina,Reptilia,Colubridae,Diadophis,Diadophis punctatus,33.46714674,-118.5340057
34,iNaturalist,4,2018,Santa Catalina,Reptilia,Colubridae,Diadophis,Diadophis punctatus,33.35099411,-118.3294983
35,iNaturalist,4,2019,Santa Catalina,Reptilia,Colubridae,Diadophis,Diadophis punctatus,33.37656667,-118.3959883
36,iNaturalist,4,2019,Santa Catalina,Reptilia,Colubridae,Diadophis,Diadophis punctatus,33.35479736,-118.3911591
37,iNaturalist,4,2019,Santa Catalina,Reptilia,Colubridae,Diadophis,Diadophis punctatus,33.35258102,-118.4232559
38,iNaturalist,4,2019,Santa Catalina,Reptilia,Colubridae,Diadophis,Diadophis punctatus,33.376595,-118.39594
39,iNaturalist,5,2019,Santa Catalina,Reptilia,Colubridae,Diadophis,Diadophis punctatus,33.350575,-118.32853
40,iNaturalist,5,2019,Santa Catalina,Reptilia,Colubridae,Diadophis,Diadophis punctatus,33.3656,-118.349395
41,iNaturalist,10,2014,San Nicolas,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,33.254855,-119.4858467
42,iNaturalist,11,2016,San Nicolas,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,33.22717833,-119.437395
43,iNaturalist,7,2018,San Nicolas,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,33.246452,-119.499169
44,iNaturalist,10,2012,San Nicolas,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,33.23606333,-119.5037067
45,iNaturalist,8,2014,San Nicolas,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,33.26561111,-119.5209444
46,iNaturalist,1,2019,San Nicolas,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,33.25552833,-119.485475
47,iNaturalist,6,2019,San Nicolas,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,33.25541306,-119.4839554
48,iNaturalist,3,2017,Santa Catalina,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,33.38592515,-118.2885174
49,iNaturalist,4,2017,Santa Catalina,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,33.3562131,-118.435774
50,iNaturalist,6,2017,Santa Catalina,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,33.32987,-118.3352367
51,iNaturalist,7,2017,Santa Catalina,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,33.342378,-118.428947
52,iNaturalist,8,2017,Santa Catalina,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,33.32840066,-118.3392288
53,iNaturalist,3,2018,Santa Catalina,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,33.35050492,-118.428854
54,iNaturalist,3,2018,Santa Catalina,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,33.35546111,-118.43715
55,iNaturalist,8,2018,Santa Catalina,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,33.32668577,-118.3404256
56,iNaturalist,3,2019,Santa Catalina,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,33.3421936,-118.3281631
57,iNaturalist,4,2019,Santa Catalina,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,33.38833667,-118.4489283
58,iNaturalist,4,2019,Santa Catalina,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,33.35717392,-118.3890457
59,iNaturalist,4,2019,Santa Catalina,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,33.3526535,-118.4217224
60,iNaturalist,4,2019,Santa Catalina,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,33.38547134,-118.47258
61,iNaturalist,4,2019,Santa Catalina,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,33.385988,-118.4682886
62,iNaturalist,4,2019,Santa Catalina,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,33.32864667,-118.3418917
63,iNaturalist,4,2019,Santa Catalina,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,33.32812333,-118.3397017
64,iNaturalist,4,2019,Santa Catalina,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,33.32817833,-118.3398933
65,iNaturalist,4,2019,Santa Catalina,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,33.35712896,-118.3599153
66,iNaturalist,4,2019,Santa Catalina,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,33.38574667,-118.4063867
67,iNaturalist,4,2019,Santa Catalina,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,33.3854,-118.40784
68,iNaturalist,4,2019,Santa Catalina,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,33.38545167,-118.40883
69,iNaturalist,4,2019,Santa Catalina,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,33.39500167,-118.41167
70,iNaturalist,4,2019,Santa Catalina,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,33.38551333,-118.4085483
71,iNaturalist,4,2019,Santa Catalina,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,33.366585,-118.3487817
72,iNaturalist,4,2019,Santa Catalina,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,33.36606667,-118.3501467
73,iNaturalist,5,2019,Santa Catalina,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,33.355745,-118.4385
74,iNaturalist,7,2019,Santa Catalina,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,33.36699336,-118.3511676
75,iNaturalist,8,2019,Santa Catalina,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,33.44073346,-118.5015082
76,iNaturalist,8,2019,Santa Catalina,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,33.44060833,-118.4908533
77,iNaturalist,2,2020,Santa Catalina,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,33.3509172,-118.3295998
78,iNaturalist,3,2020,Santa Catalina,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,33.34474245,-118.3286154
79,iNaturalist,6,2019,Santa Catalina,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,33.40403333,-118.3702617
80,iNaturalist,9,2020,Santa Catalina,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,33.35105143,-118.3298637
81,iNaturalist,3,2021,Santa Catalina,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,33.40133397,-118.3698089
82,iNaturalist,5,2021,Santa Catalina,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,33.33995796,-118.3298483
83,iNaturalist,6,2021,Santa Catalina,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,33.46853556,-118.5330982
84,iNaturalist,1,2010,Santa Cruz,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,34.048695,-119.558555
85,iNaturalist,3,2016,Santa Cruz,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,34.019186,-119.68972
86,iNaturalist,11,2015,Santa Cruz,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,34.004801,-119.749535
87,iNaturalist,3,2017,Santa Cruz,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,34.00516328,-119.750707
88,iNaturalist,3,2017,Santa Cruz,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,33.99696667,-119.7285467
89,iNaturalist,3,2017,Santa Cruz,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,34.03423889,-119.5666583
90,iNaturalist,3,2017,Santa Cruz,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,34.03424389,-119.5666163
91,iNaturalist,3,2017,Santa Cruz,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,34.01936033,-119.6796891
92,iNaturalist,8,2017,Santa Cruz,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,34.04988883,-119.5567167
93,iNaturalist,9,2017,Santa Cruz,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,34.04587217,-119.56772
94,iNaturalist,8,2017,Santa Cruz,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,34.0496055,-119.5566867
95,iNaturalist,10,2017,Santa Cruz,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,34.0194055,-119.6848967
96,iNaturalist,3,2018,Santa Cruz,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,33.99141333,-119.7111133
97,iNaturalist,5,2018,Santa Cruz,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,33.99530333,-119.7039133
98,iNaturalist,7,2018,Santa Cruz,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,34.05148333,-119.5641556
99,iNaturalist,4,2018,Santa Cruz,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,34.03154333,-119.7961017
100,iNaturalist,3,2017,Santa Cruz,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,33.99694667,-119.7286083
101,iNaturalist,12,2018,Santa Cruz,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,34.00749915,-119.7864651
102,iNaturalist,12,2018,Santa Cruz,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,34.00851256,-119.6550097
103,iNaturalist,12,2018,Santa Cruz,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,34.00599493,-119.6057774
104,iNaturalist,2,2019,Santa Cruz,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,33.99150658,-119.7067851
105,iNaturalist,4,2019,Santa Cruz,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,34.0192445,-119.6848967
106,iNaturalist,3,2011,Santa Cruz,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,34.02027216,-119.6926019
107,iNaturalist,12,2019,Santa Cruz,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,33.99634552,-119.7220078
108,iNaturalist,12,2019,Santa Cruz,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,33.99620833,-119.722
109,iNaturalist,7,2019,Santa Cruz,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,34.05114722,-119.5687167
110,iNaturalist,7,2019,Santa Cruz,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,34.050053,-119.580512
111,iNaturalist,4,2020,Santa Cruz,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,33.99218023,-119.726605
112,iNaturalist,4,2020,Santa Cruz,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,34.00387991,-119.7061338
113,iNaturalist,7,2014,Santa Cruz,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,34.02325833,-119.8726361
114,iNaturalist,6,2008,Santa Cruz,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,33.99602735,-119.7190836
115,iNaturalist,6,2020,Santa Cruz,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,34.018675,-119.6836833
116,iNaturalist,7,2020,Santa Cruz,Reptilia,Anguidae,Elgaria,Elgaria multicarinata,34.01870833,-119.6838917
